player_id,position,team,age,games,innings,fielding_pct,errors,putouts,assists,double_plays,all_star,gold_glove
P0128,2B,Dodgers,23,32,202.7,0.976,4,93,52,16,1,0
P0129,1B,Mets,38,42,333.3,0.998,5,94,55,19,0,0
P0130,Pitcher,Yankees,39,115,142.8,0.983,5,119,41,20,0,0
P0131,1B,Yankees,27,131,1112.3,0.978,5,92,43,10,0,0
P0132,2B,Red Sox,33,56,77.6,0.988,6,96,56,11,0,0
P0133,Pitcher,Cubs,34,106,145.5,0.978,6,114,47,9,0,0
P0134,SS,Giants,27,43,331.4,0.981,4,116,56,12,0,0
P0135,SS,Giants,31,153,686.1,0.973,9,111,45,16,1,0
P0136,2B,Phillies,29,156,454.5,0.972,10,101,42,13,0,0
P0137,SS,Dodgers,38,133,141.3,0.977,5,82,57,15,1,0
P0138,3B,Astros,33,127,984.1,1.006,11,98,37,18,0,0
P0139,OF,Yankees,32,58,420.5,0.988,5,110,50,12,0,0
P0140,3B,Phillies,25,28,62.5,0.996,6,71,49,14,0,0
P0141,Pitcher,Phillies,34,135,35.2,0.99,4,98,51,13,0,0
P0142,OF,Braves,29,152,662.0,0.992,5,95,43,15,0,0
P0143,3B,Cubs,23,43,164.3,0.986,2,119,51,16,0,0
P0144,DH,Braves,28,104,356.9,0.998,1,91,55,14,0,0
P0145,1B,Red Sox,35,145,535.9,0.992,5,93,45,15,0,0
P0146,1B,Giants,26,121,876.7,0.977,5,85,40,20,1,0
P0147,Pitcher,Cardinals,27,103,215.9,0.989,8,92,57,26,0,0
P0148,SS,Astros,34,83,557.4,0.993,9,94,53,10,1,0
P0149,3B,Yankees,27,116,515.5,0.988,3,105,43,18,0,0
P0150,3B,Astros,39,82,365.4,0.994,3,131,48,17,0,0
P0151,1B,Red Sox,31,117,569.1,0.976,4,123,39,16,0,1
P0152,1B,Cardinals,36,46,294.8,0.975,7,107,43,17,0,1
P0153,2B,Braves,38,156,717.9,0.984,5,98,49,14,1,0
P0154,Pitcher,Mets,30,58,67.9,0.99,3,91,44,14,0,0
P0155,Catcher,Braves,31,101,751.5,0.971,5,117,51,13,0,0
P0156,3B,Dodgers,32,142,943.4,0.987,5,94,50,15,0,0
P0157,SS,Cardinals,39,140,431.5,0.982,4,105,45,12,0,0
P0158,OF,Phillies,34,74,201.9,0.982,6,115,58,15,0,0
P0159,DH,Red Sox,30,48,224.3,1.001,7,101,48,20,0,0
P0160,Catcher,Mets,31,47,163.9,0.979,3,108,54,18,0,0
P0161,Pitcher,Dodgers,37,67,145.1,0.982,5,100,37,16,0,0
P0162,Pitcher,Cardinals,30,139,173.0,0.977,4,101,57,15,0,0
P0163,Catcher,Red Sox,37,155,1242.9,0.993,3,96,51,11,0,0
P0164,SS,Cubs,32,141,535.7,0.963,6,85,52,15,0,0
P0165,2B,Yankees,24,63,437.1,0.981,10,107,43,12,0,0
P0166,2B,Yankees,23,159,723.6,0.98,7,101,49,17,1,0
P0167,OF,Cubs,27,103,740.5,0.979,6,112,48,15,0,0
P0168,Catcher,Dodgers,29,94,705.2,0.99,7,99,46,20,1,0
P0169,3B,Red Sox,27,133,884.4,0.977,1,120,48,8,0,0
P0170,3B,Mets,37,106,893.1,0.981,10,99,54,23,0,0
P0171,OF,Mets,30,102,712.2,0.981,2,99,36,14,0,0
P0172,2B,Astros,34,85,474.4,0.998,5,83,53,11,0,0
P0173,1B,Red Sox,26,138,821.4,0.981,7,89,37,11,1,0
P0174,1B,Astros,31,58,227.6,0.976,6,85,54,10,0,0
P0175,DH,Red Sox,33,131,313.6,0.983,5,95,43,10,0,0
P0176,Catcher,Giants,39,96,665.6,0.995,7,108,42,16,0,0
P0177,OF,Astros,34,139,345.0,0.976,6,96,47,16,0,0
P0178,Pitcher,Mets,28,146,80.0,0.978,0,113,53,10,0,0
P0179,Catcher,Astros,39,128,1095.3,0.992,2,108,52,15,0,0
P0180,SS,Dodgers,34,113,297.8,0.987,6,98,42,14,1,0
P0181,SS,Mets,29,91,762.5,0.994,2,104,51,13,0,0
P0182,DH,Mets,38,134,503.9,1.001,4,103,46,18,0,0
P0183,2B,Phillies,38,124,468.1,0.999,4,99,42,17,0,0
P0184,OF,Dodgers,24,137,862.5,0.982,7,91,48,21,0,0
P0185,Pitcher,Dodgers,24,141,144.7,0.987,3,122,55,16,0,0
P0186,2B,Braves,25,110,929.8,0.988,6,111,39,15,0,0
P0187,Pitcher,Dodgers,22,123,36.2,0.989,3,120,47,14,0,0
P0188,OF,Phillies,31,98,741.4,1.006,5,83,50,11,0,0
P0189,1B,Yankees,24,79,154.0,0.987,3,89,55,14,0,0
P0190,2B,Red Sox,38,119,767.6,0.989,3,98,51,12,0,0
P0191,DH,Cubs,34,109,255.7,0.987,9,97,51,14,0,0
P0192,3B,Cardinals,35,127,512.1,0.995,7,74,70,18,0,0
P0193,SS,Yankees,37,30,139.1,0.983,3,114,50,18,0,0
P0194,Catcher,Phillies,35,77,286.8,0.971,2,95,44,23,0,0
P0195,Catcher,Mets,31,73,197.8,0.983,8,101,55,15,0,0
P0196,1B,Yankees,38,139,427.4,0.985,2,78,45,13,0,0
P0197,3B,Red Sox,36,38,103.7,0.978,5,89,52,19,0,0
P0198,2B,Cubs,36,92,261.3,0.975,7,107,54,17,0,0
P0199,3B,Dodgers,31,149,886.6,0.985,2,93,39,15,0,0
P0200,DH,Yankees,36,125,916.5,1.006,3,87,56,10,0,0
P0201,Pitcher,Astros,30,137,71.6,0.996,3,118,49,8,1,0
P0202,Pitcher,Red Sox,25,149,156.1,0.988,6,84,47,14,0,0
P0203,SS,Cubs,22,37,209.0,0.993,3,98,58,10,0,0
P0204,2B,Dodgers,26,128,1043.7,0.977,4,95,41,16,0,0
P0205,3B,Mets,29,148,520.9,0.985,8,105,41,10,0,0
P0206,Pitcher,Braves,25,38,168.7,0.988,2,93,52,11,0,0
P0207,Catcher,Braves,32,96,511.8,0.987,4,100,44,16,0,0
P0208,SS,Astros,28,30,247.9,0.976,14,94,51,13,0,0
P0209,3B,Red Sox,22,33,75.7,0.964,4,105,53,10,0,0
P0210,SS,Cubs,22,20,46.0,0.978,4,75,39,12,0,0
P0211,DH,Mets,39,35,191.3,0.982,5,94,62,13,0,0
P0212,Catcher,Braves,34,153,1036.8,0.994,3,119,50,24,0,0
P0213,OF,Yankees,32,136,614.6,0.972,4,98,57,16,0,0
P0214,2B,Cardinals,31,44,200.8,1.0,1,113,48,15,0,0
P0215,3B,Phillies,31,58,231.4,0.989,7,99,43,18,0,0
P0216,2B,Yankees,31,129,597.8,0.979,7,106,39,17,1,0
P0217,DH,Mets,29,87,210.2,1.0,3,89,54,15,1,0
P0218,Pitcher,Braves,32,54,91.7,0.992,7,90,45,13,1,0
P0219,3B,Phillies,24,117,727.5,1.005,6,107,49,14,0,0
P0220,1B,Braves,34,106,312.7,0.98,4,111,49,17,0,0
P0221,3B,Phillies,29,131,267.8,0.966,4,97,44,13,0,0
P0222,Pitcher,Astros,39,135,107.4,0.979,3,113,60,19,0,0
P0223,Pitcher,Phillies,22,99,67.7,0.977,5,89,43,14,1,0
P0224,Pitcher,Mets,25,35,93.2,0.974,6,107,41,13,0,1
P0225,3B,Phillies,34,139,601.9,0.992,5,83,47,10,0,0
P0226,3B,Dodgers,34,141,789.7,0.983,5,92,45,13,0,0
P0227,Pitcher,Red Sox,27,119,101.6,0.98,3,94,59,10,0,0
P0228,Pitcher,Braves,38,94,127.0,0.983,4,123,53,13,0,0
P0229,OF,Astros,25,54,431.2,0.983,5,107,52,17,0,0
P0230,3B,Yankees,39,69,238.1,1.003,4,106,59,11,0,0
P0231,3B,Dodgers,39,57,85.8,0.979,9,93,63,18,0,0
P0232,DH,Red Sox,30,85,85.2,0.961,5,98,50,13,0,0
P0233,2B,Cardinals,37,53,75.8,0.998,6,109,44,9,0,1
P0234,2B,Phillies,27,147,1210.3,0.981,4,90,36,13,0,0
P0235,1B,Mets,31,117,903.2,0.998,8,108,59,11,0,0
P0236,1B,Cardinals,29,45,229.2,0.975,8,97,42,11,0,0
P0237,DH,Mets,22,77,130.9,0.972,4,75,48,10,0,0
P0238,OF,Phillies,24,98,590.8,0.967,13,101,48,17,0,0
P0239,DH,Yankees,35,149,599.8,0.959,2,102,55,9,0,0
P0240,Pitcher,Yankees,26,76,31.1,0.99,4,128,55,20,0,0
P0241,DH,Cubs,26,64,231.9,0.998,5,92,44,22,0,0
P0242,Catcher,Giants,24,61,331.1,0.978,9,101,55,14,0,0
P0243,2B,Braves,30,97,520.5,0.978,9,106,49,11,1,0
P0244,OF,Braves,38,67,362.2,0.976,8,86,57,14,0,0
P0245,1B,Giants,32,120,865.7,0.982,5,91,46,20,0,0
P0246,SS,Phillies,33,57,297.6,0.989,3,94,51,11,0,0
P0247,3B,Red Sox,23,31,220.0,0.972,7,110,38,17,0,0
P0248,Catcher,Braves,28,156,565.2,0.989,3,117,51,15,0,0
P0249,3B,Mets,28,52,230.5,0.98,3,102,31,19,1,0
P0250,3B,Dodgers,39,103,473.0,0.991,4,96,52,12,0,0
P0251,OF,Cardinals,37,84,148.3,0.975,3,94,50,18,0,0
P0252,OF,Giants,28,45,351.3,0.983,4,101,55,13,0,0
P0253,2B,Red Sox,36,104,414.3,0.992,8,110,46,15,0,0
P0254,1B,Giants,23,129,321.9,0.975,5,91,46,12,0,0
P0255,DH,Astros,25,44,186.6,0.992,8,92,62,12,0,0
P0256,1B,Astros,24,109,630.3,0.972,5,106,50,18,0,0
P0257,2B,Cubs,24,132,219.9,0.984,4,111,50,15,0,0
P0258,SS,Cubs,25,71,623.8,0.996,1,82,57,14,1,0
P0259,Catcher,Cardinals,29,111,964.7,0.998,1,97,49,16,0,0
P0260,1B,Yankees,25,141,424.0,0.992,7,101,45,19,0,0
P0261,1B,Mets,29,86,588.2,0.979,3,106,45,19,0,0
P0262,SS,Phillies,31,78,413.4,0.983,1,98,45,15,0,0
P0263,3B,Cubs,30,70,128.1,0.98,4,115,44,13,0,0
P0264,2B,Yankees,38,128,644.6,0.982,1,104,49,16,0,0
P0265,2B,Astros,23,90,369.9,0.981,6,111,60,11,0,0
P0266,OF,Cubs,36,107,226.0,0.979,4,108,56,17,0,1
P0267,1B,Braves,28,138,146.6,0.988,7,86,50,12,0,0
P0268,2B,Cardinals,26,156,427.4,0.985,6,94,50,13,0,0
P0269,Pitcher,Dodgers,34,85,92.6,0.995,7,105,62,18,0,0
P0270,3B,Phillies,32,145,1176.2,0.993,4,100,43,13,0,0
P0271,Pitcher,Cardinals,35,89,87.3,0.988,3,93,44,15,0,0
P0272,2B,Dodgers,22,35,64.2,0.993,4,104,58,8,1,0
P0273,Catcher,Giants,27,72,552.9,0.979,6,119,54,28,0,0
P0274,Pitcher,Red Sox,24,122,175.9,0.988,4,103,59,12,0,0
P0275,DH,Yankees,24,152,584.0,0.996,4,98,37,19,0,0
P0276,1B,Astros,29,116,626.9,0.998,5,112,47,9,0,0
P0277,2B,Cardinals,26,105,901.1,0.975,4,93,55,12,0,0
P0278,1B,Yankees,31,144,1080.4,0.982,7,93,42,11,0,0
P0279,Pitcher,Astros,31,54,215.5,0.978,9,116,58,12,0,0
P0280,Catcher,Mets,28,151,810.2,0.979,4,110,51,15,0,0
P0281,3B,Cubs,26,119,277.8,0.998,5,99,51,17,0,0
P0282,OF,Phillies,36,21,39.0,0.972,9,89,55,8,0,0
P0283,SS,Mets,36,153,1033.5,0.984,5,103,45,12,0,0
P0284,2B,Dodgers,33,152,317.1,0.982,4,93,47,16,0,0
P0285,OF,Braves,30,149,232.5,0.992,6,104,47,19,0,0
P0286,Catcher,Yankees,25,30,181.2,0.986,2,92,55,15,0,0
P0287,Pitcher,Red Sox,26,94,174.8,0.986,2,98,49,12,0,0
P0288,3B,Phillies,26,45,260.1,0.982,3,106,61,15,0,0
P0289,SS,Dodgers,27,125,843.7,0.983,4,123,53,10,0,0
P0290,Pitcher,Phillies,30,98,119.0,1.011,5,112,53,14,0,0
P0291,Pitcher,Cubs,26,148,157.9,0.994,2,107,43,12,0,1
P0292,Catcher,Yankees,23,85,547.6,0.988,5,104,47,19,0,0
P0293,DH,Cubs,34,36,297.4,0.99,5,88,52,6,1,0
P0294,1B,Dodgers,28,120,909.8,0.99,2,100,54,18,0,0
P0295,1B,Giants,34,159,932.1,0.987,3,86,64,15,0,0
P0296,3B,Phillies,28,108,193.7,0.978,3,107,53,19,0,0
P0297,Pitcher,Phillies,39,68,103.2,0.98,4,102,43,13,0,0
P0298,3B,Braves,34,52,398.1,0.984,6,95,46,14,1,0
P0299,Catcher,Astros,33,54,247.2,0.984,4,106,48,13,0,0
P0300,OF,Phillies,35,65,491.9,0.989,3,100,40,16,0,0
