student_id,age,gender,level,major,gpa_cumulative,enrollment_year,scholarship,housing,is_dropout,final_grade
STU_0032,26,F,Sophomore,Arts,2.3,2020,0,Off-Campus,0,66.8
STU_0033,18,F,Freshman,Arts,2.19,2022,0,On-Campus,0,65.2
STU_0034,20,F,Junior,Undeclared,2.9,2023,0,Commuter,0,66.7
STU_0035,18,M,Sophomore,Business,2.8,2023,0,Off-Campus,0,73.9
STU_0036,22,F,Freshman,Business,1.7,2022,1,Commuter,0,62.4
STU_0037,22,M,Sophomore,Undeclared,2.21,2022,0,Off-Campus,1,57.8
STU_0038,23,F,Sophomore,Science,1.74,2022,0,On-Campus,0,62.0
STU_0039,24,F,Junior,Undeclared,2.2,2021,1,Off-Campus,0,61.8
STU_0040,27,M,Junior,Education,2.08,2021,1,Commuter,1,60.7
STU_0041,24,M,Senior,Science,1.97,2023,1,Commuter,1,66.1
STU_0042,19,F,Senior,Business,3.15,2023,0,On-Campus,1,73.8
STU_0043,23,F,Sophomore,Undeclared,2.51,2021,1,On-Campus,1,72.2
STU_0044,25,M,Freshman,Engineering,3.22,2023,0,Off-Campus,0,74.7
STU_0045,21,F,Freshman,Education,4.0,2023,0,Commuter,0,77.5
STU_0046,18,F,Junior,Arts,3.24,2022,0,Off-Campus,0,76.6
STU_0047,22,F,Freshman,Science,3.15,2020,0,Commuter,0,78.4
STU_0048,23,F,Sophomore,Undeclared,3.41,2020,0,On-Campus,0,73.0
STU_0049,23,M,Senior,Education,1.74,2023,0,On-Campus,0,60.2
STU_0050,22,M,Sophomore,Business,2.46,2020,0,Commuter,0,72.4
STU_0051,27,F,Freshman,Science,2.42,2021,0,On-Campus,0,73.6
STU_0052,21,F,Junior,Education,3.57,2023,0,Off-Campus,1,83.9
STU_0053,25,M,Sophomore,Engineering,3.48,2023,0,On-Campus,0,88.7
STU_0054,21,F,Junior,Arts,3.88,2023,0,Off-Campus,0,86.8
STU_0055,28,M,Sophomore,Arts,3.6,2023,1,On-Campus,0,78.5
STU_0056,19,M,Freshman,Undeclared,3.11,2022,0,On-Campus,0,83.9
STU_0057,27,F,Junior,Education,2.36,2020,0,Commuter,1,78.1
STU_0058,22,M,Freshman,Engineering,2.55,2020,0,Off-Campus,1,60.4
STU_0059,18,M,Junior,Arts,1.55,2022,0,Commuter,1,55.7
STU_0060,18,M,Junior,Business,1.95,2020,1,On-Campus,0,70.7
STU_0061,21,F,Sophomore,Engineering,1.72,2022,0,On-Campus,1,64.3
STU_0062,26,M,Senior,Business,2.21,2023,1,Commuter,0,60.5
STU_0063,22,M,Junior,Education,3.59,2020,1,Commuter,1,77.8
STU_0064,22,F,Junior,Education,4.0,2021,0,Off-Campus,1,73.1
STU_0065,28,M,Sophomore,Education,3.23,2020,1,Off-Campus,0,78.9
STU_0066,19,M,Freshman,Engineering,3.75,2021,0,Off-Campus,1,73.8
STU_0067,18,F,Freshman,Education,2.3,2020,0,Off-Campus,0,50.0
STU_0068,24,F,Freshman,Arts,2.65,2022,0,Off-Campus,0,62.9
STU_0069,29,F,Junior,Business,3.03,2020,0,On-Campus,1,73.7
STU_0070,18,M,Sophomore,Business,2.22,2023,0,Off-Campus,0,63.8
STU_0071,22,F,Senior,Education,2.96,2020,0,Off-Campus,0,74.3
STU_0072,18,F,Freshman,Engineering,2.81,2022,0,Off-Campus,0,69.4
STU_0073,28,F,Junior,Engineering,2.19,2020,0,On-Campus,0,69.8
STU_0074,29,F,Sophomore,Science,2.64,2023,0,Commuter,0,63.2
STU_0075,18,M,Senior,Undeclared,3.47,2023,0,On-Campus,0,70.7
STU_0076,19,M,Freshman,Undeclared,2.4,2023,0,Commuter,1,70.4
STU_0077,19,M,Freshman,Undeclared,3.63,2023,1,On-Campus,0,78.0
STU_0078,23,M,Junior,Engineering,2.47,2022,0,On-Campus,0,69.7
STU_0079,22,F,Freshman,Engineering,2.95,2020,1,Commuter,0,75.6
STU_0080,22,M,Junior,Education,2.46,2021,1,On-Campus,0,66.9
STU_0081,18,M,Sophomore,Undeclared,2.19,2020,0,Off-Campus,1,55.5
STU_0082,27,F,Sophomore,Science,2.33,2021,1,Off-Campus,0,65.9
STU_0083,29,M,Senior,Undeclared,2.41,2022,1,Off-Campus,0,60.3
STU_0084,24,F,Junior,Arts,4.0,2023,0,On-Campus,0,82.2
STU_0085,28,M,Junior,Undeclared,2.61,2021,0,Commuter,1,67.9
STU_0086,20,M,Freshman,Science,3.3,2020,1,Off-Campus,1,73.3
STU_0087,29,F,Senior,Engineering,3.07,2020,0,On-Campus,1,70.1
STU_0088,20,M,Junior,Arts,2.78,2020,0,Off-Campus,1,66.8
STU_0089,25,F,Sophomore,Business,3.32,2022,0,Commuter,0,68.9
STU_0090,20,M,Junior,Arts,2.6,2020,0,On-Campus,0,66.9
STU_0091,18,M,Freshman,Undeclared,1.8,2021,0,On-Campus,0,48.9
STU_0092,26,M,Sophomore,Science,2.67,2020,0,Off-Campus,0,76.0
STU_0093,18,F,Freshman,Education,2.92,2022,0,Off-Campus,0,75.7
STU_0094,25,F,Junior,Undeclared,2.82,2020,0,On-Campus,1,77.6
STU_0095,24,F,Freshman,Arts,2.55,2022,0,On-Campus,1,60.8
STU_0096,24,M,Sophomore,Science,3.43,2020,0,On-Campus,1,77.6
STU_0097,21,M,Freshman,Engineering,3.54,2020,0,Off-Campus,0,71.4
STU_0098,29,M,Junior,Engineering,3.26,2021,0,On-Campus,0,62.5
STU_0099,28,F,Junior,Science,1.34,2020,0,On-Campus,0,54.4
STU_0100,28,F,Freshman,Business,2.78,2021,1,On-Campus,1,65.3
STU_0101,20,M,Senior,Arts,2.99,2022,1,Off-Campus,0,73.8
STU_0102,23,M,Senior,Undeclared,2.76,2021,0,Off-Campus,1,69.5
STU_0103,25,F,Senior,Arts,3.45,2021,1,Off-Campus,1,75.0
STU_0104,18,F,Freshman,Business,2.27,2022,1,Commuter,1,69.2
STU_0105,28,M,Freshman,Undeclared,4.0,2020,0,Off-Campus,0,79.1
STU_0106,29,F,Sophomore,Science,1.67,2020,0,On-Campus,1,55.7
STU_0107,18,M,Freshman,Engineering,2.29,2022,1,On-Campus,0,63.4
STU_0108,29,F,Senior,Business,4.0,2021,1,Commuter,0,79.7
STU_0109,20,M,Freshman,Arts,3.14,2023,1,Commuter,0,67.8
STU_0110,20,M,Junior,Business,3.91,2020,1,Off-Campus,0,88.1
STU_0111,26,M,Sophomore,Business,4.0,2023,0,On-Campus,0,74.3
STU_0112,18,M,Sophomore,Undeclared,3.38,2022,0,On-Campus,0,77.8
STU_0113,22,F,Senior,Science,2.97,2021,1,Off-Campus,0,72.0
STU_0114,18,F,Sophomore,Business,1.73,2021,1,Commuter,0,64.2
STU_0115,22,M,Freshman,Engineering,3.86,2022,1,On-Campus,0,87.4
STU_0116,25,F,Sophomore,Business,3.08,2023,0,Off-Campus,0,72.4
STU_0117,29,M,Sophomore,Business,3.41,2022,0,Off-Campus,0,85.6
STU_0118,28,F,Junior,Business,3.75,2021,0,On-Campus,0,78.4
STU_0119,28,F,Sophomore,Science,2.61,2023,1,Commuter,0,68.8
STU_0120,22,F,Junior,Business,2.49,2020,1,On-Campus,1,62.4
STU_0121,26,F,Junior,Science,2.57,2021,1,On-Campus,0,78.6
STU_0122,24,M,Senior,Undeclared,2.47,2023,0,On-Campus,0,61.6
STU_0123,21,M,Junior,Science,3.4,2022,1,Off-Campus,0,75.3
STU_0124,18,F,Sophomore,Arts,1.18,2022,0,Commuter,1,48.5
STU_0125,24,F,Freshman,Engineering,3.36,2020,1,On-Campus,0,61.1
STU_0126,22,M,Freshman,Science,2.69,2022,1,Off-Campus,1,81.6
STU_0127,29,M,Junior,Undeclared,2.8,2020,0,On-Campus,0,76.2
STU_0128,18,M,Sophomore,Arts,2.91,2020,0,Off-Campus,0,62.2
STU_0129,20,M,Freshman,Undeclared,4.0,2020,0,Off-Campus,0,71.6
STU_0130,25,M,Freshman,Engineering,4.0,2022,1,On-Campus,0,83.6
STU_0131,19,F,Freshman,Undeclared,3.66,2022,0,Off-Campus,0,80.9
STU_0132,26,M,Freshman,Undeclared,1.28,2020,0,Off-Campus,1,56.8
STU_0133,20,F,Freshman,Science,2.81,2021,1,On-Campus,0,69.0
STU_0134,24,F,Junior,Education,2.84,2021,0,On-Campus,0,63.8
STU_0135,20,F,Freshman,Arts,3.76,2020,1,On-Campus,0,78.5
STU_0136,20,M,Freshman,Science,3.47,2022,0,Off-Campus,1,81.3
STU_0137,26,F,Sophomore,Undeclared,2.54,2021,1,On-Campus,0,67.7
STU_0138,24,F,Senior,Arts,3.13,2023,0,On-Campus,0,78.0
STU_0139,26,M,Freshman,Science,3.23,2021,1,Off-Campus,0,85.1
STU_0140,28,F,Freshman,Education,1.96,2021,0,Commuter,1,58.9
STU_0141,18,M,Sophomore,Science,3.52,2022,0,On-Campus,0,78.1
STU_0142,28,F,Freshman,Undeclared,3.13,2021,0,Off-Campus,0,59.4
STU_0143,18,F,Freshman,Education,3.78,2021,0,On-Campus,0,85.2
STU_0144,22,F,Junior,Arts,2.45,2022,0,On-Campus,0,59.1
STU_0145,18,M,Freshman,Business,3.2,2021,0,Commuter,0,80.2
STU_0146,27,F,Freshman,Engineering,1.57,2022,0,Off-Campus,1,53.7
STU_0147,28,M,Freshman,Undeclared,3.06,2021,0,On-Campus,0,79.0
STU_0148,28,F,Junior,Engineering,2.07,2021,0,On-Campus,1,68.8
STU_0149,29,M,Freshman,Business,3.24,2022,0,Commuter,0,78.3
STU_0150,27,M,Senior,Engineering,1.7,2022,0,On-Campus,0,58.7
STU_0151,25,M,Senior,Arts,3.19,2021,0,Commuter,0,70.4
STU_0152,28,F,Senior,Business,3.56,2020,1,On-Campus,1,82.0
STU_0153,24,F,Junior,Engineering,3.37,2021,0,Off-Campus,0,86.2
STU_0154,28,M,Freshman,Science,2.89,2020,0,Commuter,0,70.5
STU_0155,28,F,Senior,Science,3.74,2023,0,On-Campus,0,69.4
STU_0156,28,F,Freshman,Education,3.71,2021,1,On-Campus,0,84.1
STU_0157,21,M,Sophomore,Engineering,3.66,2020,1,Off-Campus,0,83.6
STU_0158,27,F,Freshman,Arts,3.39,2021,0,On-Campus,1,76.9
STU_0159,28,M,Sophomore,Arts,4.0,2023,1,Commuter,0,99.5
STU_0160,22,M,Sophomore,Business,2.34,2021,0,Off-Campus,0,63.4
STU_0161,21,F,Freshman,Science,1.45,2023,0,Commuter,1,54.0
STU_0162,28,F,Junior,Education,1.95,2021,1,Commuter,1,59.7
STU_0163,19,M,Junior,Undeclared,2.73,2023,1,Off-Campus,0,73.1
STU_0164,27,M,Junior,Education,2.84,2021,0,On-Campus,1,67.2
STU_0165,22,M,Senior,Undeclared,1.93,2020,1,Commuter,0,69.4
STU_0166,20,F,Freshman,Science,3.2,2021,0,On-Campus,1,81.9
STU_0167,25,M,Senior,Undeclared,4.0,2021,1,Off-Campus,0,65.9
STU_0168,29,M,Sophomore,Arts,3.46,2020,0,Commuter,0,84.9
STU_0169,22,M,Freshman,Engineering,2.68,2022,0,Off-Campus,1,67.2
STU_0170,23,M,Freshman,Science,2.24,2023,0,Commuter,0,64.3
STU_0171,25,M,Senior,Science,4.0,2021,0,Off-Campus,0,74.7
STU_0172,18,F,Sophomore,Education,2.43,2023,1,Off-Campus,0,67.5
STU_0173,26,M,Senior,Arts,3.15,2021,0,Off-Campus,0,69.0
STU_0174,28,M,Freshman,Education,3.4,2021,0,Commuter,0,74.7
STU_0175,22,F,Freshman,Arts,3.9,2023,0,On-Campus,0,92.0
STU_0176,26,M,Junior,Engineering,3.04,2023,0,Off-Campus,0,79.3
STU_0177,23,M,Sophomore,Arts,2.97,2023,1,On-Campus,0,76.8
STU_0178,23,F,Freshman,Education,3.9,2023,0,On-Campus,0,79.7
STU_0179,29,F,Sophomore,Engineering,2.64,2021,0,On-Campus,0,63.5
STU_0180,29,F,Senior,Education,4.0,2022,0,Commuter,0,79.9
STU_0181,18,F,Freshman,Arts,3.6,2022,0,Off-Campus,0,82.9
STU_0182,21,M,Freshman,Education,2.48,2022,0,On-Campus,0,73.9
STU_0183,28,F,Junior,Education,3.12,2023,0,On-Campus,1,80.6
STU_0184,25,F,Senior,Business,3.2,2020,1,Off-Campus,0,75.8
STU_0185,20,M,Junior,Undeclared,1.51,2021,1,On-Campus,0,61.4
STU_0186,26,F,Freshman,Engineering,2.4,2023,0,Off-Campus,1,65.0
STU_0187,26,M,Sophomore,Business,3.94,2022,0,On-Campus,0,82.9
STU_0188,27,M,Freshman,Business,1.06,2023,1,Off-Campus,1,59.5
STU_0189,29,F,Freshman,Engineering,1.85,2020,0,Off-Campus,1,55.8
STU_0190,25,F,Sophomore,Science,2.58,2022,1,On-Campus,0,75.3
STU_0191,19,F,Sophomore,Undeclared,3.65,2023,1,On-Campus,0,76.5
STU_0192,18,F,Sophomore,Engineering,3.32,2020,0,On-Campus,0,73.0
STU_0193,21,M,Sophomore,Business,2.65,2023,0,Off-Campus,0,77.2
STU_0194,18,M,Senior,Undeclared,2.82,2023,0,On-Campus,1,68.0
STU_0195,27,F,Senior,Science,3.05,2020,1,On-Campus,1,68.5
STU_0196,19,F,Senior,Engineering,2.89,2023,1,Off-Campus,0,63.7
STU_0197,24,M,Junior,Arts,2.88,2021,1,Off-Campus,0,66.2
STU_0198,27,F,Freshman,Business,3.47,2022,1,Off-Campus,0,73.5
STU_0199,20,F,Junior,Engineering,2.55,2020,0,Commuter,0,74.0
STU_0200,29,F,Junior,Arts,1.38,2021,1,On-Campus,1,63.9
STU_0201,28,M,Senior,Engineering,2.68,2020,0,On-Campus,0,75.7
STU_0202,18,F,Freshman,Business,2.27,2020,1,Off-Campus,0,54.1
STU_0203,29,F,Sophomore,Business,2.82,2021,1,Off-Campus,0,64.4
STU_0204,19,F,Sophomore,Education,3.91,2023,1,Commuter,0,76.2
STU_0205,20,M,Sophomore,Science,2.18,2022,0,Off-Campus,0,71.7
STU_0206,27,F,Junior,Arts,1.85,2023,1,On-Campus,0,64.0
STU_0207,19,M,Freshman,Undeclared,2.31,2020,0,Commuter,0,55.0
STU_0208,21,F,Sophomore,Engineering,2.7,2022,0,On-Campus,1,72.5
STU_0209,20,M,Senior,Science,2.81,2023,0,Commuter,0,64.2
STU_0210,27,M,Sophomore,Arts,2.73,2021,0,Off-Campus,1,68.3
STU_0211,26,M,Sophomore,Undeclared,4.0,2023,1,On-Campus,1,79.6
STU_0212,28,M,Freshman,Engineering,1.92,2022,0,Off-Campus,1,60.0
STU_0213,25,F,Senior,Business,2.92,2022,0,On-Campus,0,65.1
STU_0214,21,F,Freshman,Education,3.56,2020,0,On-Campus,0,80.6
STU_0215,22,M,Freshman,Arts,2.39,2021,0,Off-Campus,0,53.2
STU_0216,19,M,Junior,Undeclared,2.81,2021,1,Off-Campus,0,71.9
STU_0217,19,M,Freshman,Arts,2.19,2023,0,On-Campus,1,62.8
STU_0218,24,F,Senior,Business,3.08,2021,0,Off-Campus,0,82.9
STU_0219,22,M,Freshman,Undeclared,3.18,2022,1,On-Campus,1,73.6
STU_0220,18,F,Freshman,Science,2.16,2023,1,Commuter,1,59.2
STU_0221,21,M,Freshman,Engineering,3.23,2021,0,Off-Campus,0,84.3
STU_0222,19,F,Freshman,Business,2.9,2023,0,Commuter,0,69.9
STU_0223,26,M,Sophomore,Education,3.93,2023,0,Commuter,0,81.1
STU_0224,23,F,Senior,Arts,3.12,2021,1,On-Campus,0,67.8
STU_0225,25,F,Senior,Engineering,2.68,2022,0,Off-Campus,0,50.2
STU_0226,29,M,Junior,Arts,2.81,2020,0,Off-Campus,0,64.5
STU_0227,27,M,Sophomore,Undeclared,3.95,2021,1,Off-Campus,1,92.1
STU_0228,23,F,Sophomore,Science,3.51,2020,1,On-Campus,0,82.5
STU_0229,29,F,Freshman,Education,3.77,2021,1,Off-Campus,0,81.7
STU_0230,24,M,Sophomore,Education,3.19,2022,1,On-Campus,0,80.5
STU_0231,28,M,Senior,Business,2.27,2020,0,Off-Campus,0,71.7
STU_0232,29,M,Junior,Education,2.6,2023,0,Off-Campus,0,66.2
STU_0233,21,F,Junior,Engineering,2.71,2022,1,Commuter,0,78.3
STU_0234,27,M,Freshman,Engineering,2.69,2021,1,Off-Campus,0,76.1
STU_0235,18,F,Freshman,Undeclared,2.89,2022,0,Off-Campus,0,65.5
STU_0236,26,F,Sophomore,Business,2.5,2020,0,On-Campus,0,73.4
STU_0237,25,F,Sophomore,Science,1.93,2020,0,Off-Campus,0,55.1
STU_0238,26,F,Senior,Science,2.31,2022,0,Off-Campus,1,65.8
STU_0239,20,F,Junior,Engineering,2.55,2020,0,On-Campus,0,65.7
STU_0240,27,M,Freshman,Arts,3.12,2021,0,On-Campus,0,74.7
STU_0241,24,M,Freshman,Arts,2.37,2020,1,Off-Campus,1,61.8
STU_0242,20,F,Senior,Business,4.0,2021,0,Commuter,0,93.3
STU_0243,25,M,Junior,Business,2.03,2020,0,Off-Campus,0,65.4
STU_0244,22,F,Senior,Business,2.3,2022,0,On-Campus,1,60.1
STU_0245,23,F,Junior,Arts,1.98,2021,0,On-Campus,0,72.5
STU_0246,19,M,Sophomore,Arts,1.94,2021,0,Off-Campus,0,63.0
STU_0247,26,M,Freshman,Education,2.16,2020,1,On-Campus,0,67.2
STU_0248,20,F,Sophomore,Business,2.86,2021,0,On-Campus,1,65.9
STU_0249,21,F,Freshman,Education,2.27,2021,0,Off-Campus,1,71.7
STU_0250,22,F,Freshman,Engineering,3.35,2023,1,Off-Campus,0,77.2
STU_0251,24,F,Freshman,Engineering,1.99,2021,1,Off-Campus,1,58.8
STU_0252,24,F,Sophomore,Business,1.72,2023,1,On-Campus,0,64.9
STU_0253,29,M,Junior,Undeclared,2.82,2020,0,Commuter,0,71.6
STU_0254,23,M,Sophomore,Science,1.07,2023,0,Commuter,1,58.5
STU_0255,19,M,Sophomore,Arts,2.07,2023,0,Commuter,1,59.1
STU_0256,23,M,Junior,Education,3.72,2023,0,On-Campus,0,82.0
STU_0257,21,M,Senior,Undeclared,2.24,2020,0,On-Campus,1,70.9
STU_0258,29,F,Senior,Business,3.05,2023,0,On-Campus,0,76.8
STU_0259,29,M,Sophomore,Science,1.95,2021,0,On-Campus,0,56.5
STU_0260,20,F,Sophomore,Education,3.22,2021,0,Off-Campus,0,63.0
STU_0261,24,M,Junior,Engineering,2.3,2022,0,On-Campus,1,66.0
STU_0262,22,M,Sophomore,Engineering,3.4,2023,0,Off-Campus,1,80.4
STU_0263,22,F,Sophomore,Science,4.0,2022,0,Off-Campus,0,92.6
STU_0264,23,M,Senior,Education,2.06,2021,0,On-Campus,0,60.1
STU_0265,22,F,Sophomore,Undeclared,2.1,2020,0,On-Campus,1,62.9
STU_0266,22,F,Freshman,Education,3.21,2020,1,Off-Campus,0,81.8
STU_0267,28,M,Freshman,Business,1.58,2020,0,On-Campus,0,58.4
STU_0268,19,F,Sophomore,Business,2.8,2022,0,On-Campus,0,74.8
STU_0269,27,M,Sophomore,Education,3.13,2021,0,On-Campus,0,64.2
STU_0270,29,F,Senior,Science,2.92,2020,1,Off-Campus,0,66.3
STU_0271,25,M,Sophomore,Undeclared,2.35,2023,1,On-Campus,0,66.4
STU_0272,25,M,Senior,Education,2.92,2023,0,Off-Campus,1,75.3
STU_0273,25,M,Freshman,Arts,1.86,2022,1,Commuter,0,56.2
STU_0274,28,F,Junior,Arts,2.12,2020,0,Commuter,0,68.1
STU_0275,23,M,Freshman,Science,3.5,2020,1,Off-Campus,0,82.9
STU_0276,21,F,Freshman,Business,2.27,2020,0,Off-Campus,0,65.0
STU_0277,27,M,Freshman,Science,2.75,2021,0,Off-Campus,0,68.6
STU_0278,19,M,Junior,Business,2.05,2021,0,Commuter,0,66.4
STU_0279,25,M,Freshman,Engineering,1.28,2021,1,On-Campus,1,49.0
STU_0280,18,F,Freshman,Arts,3.48,2020,0,Commuter,0,77.7
STU_0281,29,M,Senior,Engineering,4.0,2021,0,Commuter,0,74.2
STU_0282,28,F,Junior,Business,3.28,2021,1,On-Campus,0,61.1
STU_0283,19,F,Sophomore,Education,3.08,2022,1,Off-Campus,0,79.6
STU_0284,23,M,Freshman,Business,2.34,2020,0,Off-Campus,1,57.2
STU_0285,24,M,Freshman,Arts,2.91,2020,1,On-Campus,1,64.5
STU_0286,29,M,Sophomore,Engineering,2.2,2022,1,On-Campus,1,66.6
STU_0287,19,M,Sophomore,Science,3.57,2021,0,On-Campus,0,85.0
STU_0288,26,F,Sophomore,Education,2.2,2023,0,Commuter,0,76.6
STU_0289,26,F,Freshman,Engineering,3.34,2023,0,On-Campus,0,77.5
STU_0290,27,F,Senior,Education,3.59,2022,0,Off-Campus,0,73.2
STU_0291,27,M,Senior,Arts,2.52,2020,0,Off-Campus,0,70.5
STU_0292,20,F,Sophomore,Undeclared,2.51,2020,0,Off-Campus,0,59.0
STU_0293,25,F,Junior,Undeclared,3.92,2023,1,Off-Campus,0,90.5
STU_0294,25,M,Freshman,Undeclared,3.89,2023,1,Off-Campus,0,85.4
STU_0295,21,F,Junior,Arts,2.3,2021,0,On-Campus,0,72.6
STU_0296,26,F,Senior,Arts,1.49,2021,0,Off-Campus,1,59.1
STU_0297,23,M,Junior,Arts,2.54,2020,1,On-Campus,0,69.0
STU_0298,19,M,Junior,Science,3.56,2020,1,Off-Campus,1,76.9
STU_0299,18,M,Junior,Undeclared,3.03,2021,1,On-Campus,0,61.7
STU_0300,21,M,Sophomore,Education,2.7,2020,0,Off-Campus,0,56.5
STU_0301,24,M,Freshman,Business,0.79,2020,0,On-Campus,1,43.4
STU_0302,29,M,Freshman,Business,2.69,2022,1,Off-Campus,0,62.4
STU_0303,27,F,Freshman,Business,3.42,2021,0,Commuter,1,68.4
STU_0304,23,F,Sophomore,Education,2.32,2020,0,On-Campus,0,60.0
STU_0305,28,M,Freshman,Science,1.88,2022,0,Commuter,1,58.0
STU_0306,21,F,Freshman,Arts,2.03,2022,1,On-Campus,1,70.9
STU_0307,26,M,Senior,Undeclared,2.02,2023,0,On-Campus,1,61.8
STU_0308,26,M,Senior,Business,3.2,2020,0,Off-Campus,0,71.8
STU_0309,24,F,Sophomore,Engineering,3.51,2020,0,Off-Campus,1,73.4
STU_0310,18,M,Sophomore,Undeclared,4.0,2021,0,Off-Campus,1,79.5
STU_0311,22,F,Sophomore,Education,2.01,2021,0,Off-Campus,1,62.7
STU_0312,29,F,Junior,Undeclared,3.26,2022,0,Commuter,0,72.1
STU_0313,18,F,Sophomore,Arts,3.39,2021,0,Commuter,0,74.5
STU_0314,23,F,Sophomore,Education,2.55,2023,0,Commuter,1,76.8
STU_0315,27,M,Junior,Business,3.42,2020,0,Commuter,1,64.9
STU_0316,28,F,Sophomore,Engineering,2.75,2022,1,Commuter,1,65.2
STU_0317,25,F,Freshman,Science,3.69,2020,0,Commuter,0,78.6
STU_0318,25,F,Sophomore,Undeclared,2.3,2021,0,Off-Campus,1,59.5
STU_0319,20,M,Freshman,Arts,2.57,2023,0,Off-Campus,0,88.0
STU_0320,21,F,Senior,Education,2.52,2021,1,Commuter,0,80.0
STU_0321,24,F,Freshman,Arts,2.79,2020,0,Off-Campus,0,72.3
STU_0322,27,M,Freshman,Undeclared,3.01,2022,0,On-Campus,0,66.2
STU_0323,21,M,Junior,Engineering,2.45,2021,1,On-Campus,0,65.8
STU_0324,23,F,Senior,Business,3.19,2021,1,On-Campus,0,68.7
STU_0325,29,M,Sophomore,Business,2.74,2022,1,Off-Campus,0,76.7
STU_0326,25,F,Freshman,Business,1.23,2021,1,Off-Campus,1,43.1
STU_0327,19,F,Senior,Arts,2.0,2023,0,Commuter,0,65.1
STU_0328,20,M,Sophomore,Arts,4.0,2023,1,On-Campus,0,80.0
STU_0329,24,F,Sophomore,Business,2.52,2023,0,On-Campus,1,57.8
STU_0330,26,M,Sophomore,Science,3.17,2021,0,On-Campus,0,73.4
STU_0331,21,F,Junior,Education,2.66,2020,1,Off-Campus,0,71.2
STU_0332,23,M,Freshman,Engineering,3.01,2022,0,On-Campus,0,73.8
STU_0333,21,M,Sophomore,Undeclared,1.28,2021,1,Off-Campus,1,47.8
STU_0334,27,F,Freshman,Undeclared,3.39,2022,0,Off-Campus,0,77.9
STU_0335,27,M,Senior,Arts,3.42,2023,0,Off-Campus,0,76.5
STU_0336,21,F,Freshman,Education,2.43,2020,0,On-Campus,1,57.8
STU_0337,28,M,Sophomore,Engineering,2.06,2021,0,On-Campus,0,60.8
STU_0338,26,M,Senior,Science,2.05,2021,0,Commuter,1,63.5
STU_0339,18,F,Junior,Education,2.86,2023,1,Off-Campus,1,70.0
STU_0340,22,M,Junior,Business,2.47,2023,0,On-Campus,0,66.7
STU_0341,20,M,Senior,Business,2.02,2022,1,Off-Campus,1,66.9
STU_0342,23,F,Junior,Arts,2.72,2020,1,On-Campus,0,68.1
STU_0343,21,F,Sophomore,Business,2.17,2022,1,Off-Campus,0,66.5
STU_0344,23,M,Junior,Undeclared,2.15,2021,0,Off-Campus,1,59.7
STU_0345,29,F,Freshman,Arts,1.82,2022,0,Off-Campus,0,58.5
STU_0346,23,M,Junior,Education,2.74,2021,0,Commuter,0,74.0
STU_0347,27,M,Senior,Engineering,3.02,2021,0,On-Campus,1,74.6
