trip_id,route,vehicle,distance_km,base_time_min,traffic_level,weather_severity,driver_experience_years,actual_delay_min,on_time
T0143,Route_C,Van,130.7,323.5,0,1,13,20.1,1
T0144,Route_B,Motorcycle,83.9,197.8,2,1,6,144.8,0
T0145,Route_A,Truck,127.0,359.4,1,0,7,102.7,0
T0146,Route_C,Motorcycle,41.2,85.5,2,0,14,35.7,0
T0147,Route_D,Truck,154.6,325.1,0,1,8,23.5,1
T0148,Route_F,Truck,70.6,161.2,1,0,13,0.0,1
T0149,Route_F,SUV,61.0,118.6,0,0,1,6.6,1
T0150,Route_D,SUV,191.5,516.5,0,1,7,37.0,1
T0151,Route_F,SUV,96.1,232.7,0,3,11,138.2,0
T0152,Route_F,Truck,167.0,280.6,0,0,9,0.0,1
T0153,Route_A,Van,157.0,318.0,0,3,1,295.8,0
T0154,Route_A,Truck,55.7,126.7,0,3,3,87.0,0
T0155,Route_C,Van,126.5,331.6,0,2,5,112.3,0
T0156,Route_A,Motorcycle,191.4,534.5,2,1,5,406.9,0
T0157,Route_C,Motorcycle,59.9,112.5,0,1,10,17.4,0
T0158,Route_E,SUV,19.8,55.1,0,1,13,2.4,1
T0159,Route_C,Van,116.4,290.2,1,2,1,233.3,0
T0160,Route_D,Truck,35.7,62.1,0,0,5,1.9,1
T0161,Route_B,SUV,125.6,330.3,0,2,10,133.4,0
T0162,Route_B,Van,164.9,303.9,2,0,2,197.7,0
T0163,Route_F,Truck,104.0,156.9,0,1,1,28.4,0
T0164,Route_B,SUV,6.8,18.5,0,0,7,0.0,1
T0165,Route_B,Truck,192.8,388.0,1,3,13,265.6,0
T0166,Route_D,Van,189.7,331.9,1,2,6,242.0,0
T0167,Route_A,Van,126.1,197.8,2,3,13,245.6,0
T0168,Route_D,Truck,79.8,127.6,2,0,3,72.2,0
T0169,Route_C,Van,5.2,9.0,0,3,3,4.7,0
T0170,Route_E,Truck,63.2,174.4,1,0,11,28.3,0
T0171,Route_C,Motorcycle,190.4,328.8,0,3,5,156.9,0
T0172,Route_A,Truck,196.9,416.2,2,0,13,252.2,0
T0173,Route_C,SUV,174.3,448.3,1,1,11,185.7,0
T0174,Route_C,Van,108.4,165.5,1,0,8,47.3,0
T0175,Route_D,Van,125.2,337.5,0,0,1,0.0,1
T0176,Route_A,Van,49.0,85.3,1,0,2,35.9,0
T0177,Route_C,SUV,93.8,142.3,0,0,14,0.0,1
T0178,Route_D,Van,182.0,470.8,1,0,12,110.3,0
T0179,Route_A,Van,32.8,73.7,1,2,10,44.7,0
T0180,Route_A,Truck,21.1,57.7,0,0,6,0.0,1
T0181,Route_B,Van,140.2,383.0,0,1,8,107.2,0
T0182,Route_F,Truck,187.6,296.0,1,2,8,216.8,0
T0183,Route_B,SUV,161.3,324.2,2,0,4,270.9,0
T0184,Route_F,Van,98.8,154.2,0,1,2,58.2,0
T0185,Route_F,SUV,53.2,92.5,2,0,7,67.3,0
T0186,Route_E,Motorcycle,89.6,140.2,0,0,3,2.7,1
T0187,Route_F,Truck,199.3,590.3,1,0,3,176.4,0
T0188,Route_A,Motorcycle,95.2,266.8,1,2,4,154.4,0
T0189,Route_E,SUV,148.4,393.5,1,1,3,151.0,0
T0190,Route_E,Van,99.9,280.7,2,1,10,252.7,0
T0191,Route_C,Motorcycle,60.4,123.0,0,1,5,16.9,1
T0192,Route_D,SUV,122.4,299.6,0,1,5,71.8,0
T0193,Route_E,Van,101.0,188.9,2,1,8,174.0,0
T0194,Route_F,Truck,81.3,240.1,0,1,1,88.5,0
T0195,Route_D,SUV,82.3,152.8,0,2,6,59.2,0
T0196,Route_B,SUV,166.6,357.6,0,1,1,54.3,0
T0197,Route_A,SUV,75.1,155.3,1,0,12,43.7,0
T0198,Route_D,SUV,119.1,333.9,0,0,2,17.0,1
T0199,Route_F,Van,29.0,53.5,0,1,3,16.8,0
T0200,Route_E,Truck,103.9,162.3,0,3,8,86.4,0
T0201,Route_C,Motorcycle,8.4,16.6,2,1,8,8.8,0
T0202,Route_D,Van,32.2,49.8,0,2,10,29.6,0
T0203,Route_D,Motorcycle,36.7,65.4,1,0,6,17.1,0
T0204,Route_B,Truck,168.4,491.3,1,1,1,295.6,0
T0205,Route_B,SUV,173.6,460.5,0,2,4,143.8,0
T0206,Route_F,Truck,135.1,319.5,0,0,6,15.0,1
T0207,Route_A,Truck,84.3,236.7,1,1,9,106.6,0
T0208,Route_F,Van,185.5,400.2,2,2,7,352.7,0
T0209,Route_C,Truck,164.5,276.4,1,0,1,69.7,0
T0210,Route_E,Motorcycle,80.8,175.5,0,0,12,0.0,1
T0211,Route_F,Van,119.5,209.4,1,2,9,150.4,0
T0212,Route_B,Van,183.3,498.6,0,0,5,0.0,1
T0213,Route_D,SUV,123.5,327.1,2,2,11,330.9,0
T0214,Route_C,Motorcycle,179.9,289.0,2,1,3,245.3,0
T0215,Route_D,Truck,98.4,176.4,0,1,5,17.8,1
T0216,Route_D,Motorcycle,118.3,193.3,1,0,13,5.7,1
T0217,Route_D,Van,28.8,51.0,1,0,13,4.2,1
T0218,Route_A,Van,41.1,118.3,0,0,6,0.0,1
T0219,Route_A,SUV,13.5,33.0,2,1,6,34.1,0
T0220,Route_B,Truck,131.1,231.0,0,3,8,134.3,0
T0221,Route_A,Van,54.9,107.1,1,2,7,63.5,0
T0222,Route_D,Van,93.1,221.6,0,2,2,108.1,0
T0223,Route_A,Motorcycle,109.4,193.4,0,0,7,0.0,1
T0224,Route_F,Truck,120.9,271.5,2,0,5,170.2,0
T0225,Route_B,Motorcycle,91.3,198.1,1,0,8,58.8,0
T0226,Route_E,Van,56.7,139.8,1,1,1,103.9,0
T0227,Route_C,Van,74.2,119.1,1,0,5,38.1,0
T0228,Route_F,SUV,131.9,303.3,0,0,6,0.0,1
T0229,Route_B,Motorcycle,78.8,161.1,2,1,4,133.7,0
T0230,Route_D,Truck,39.2,99.3,0,1,14,0.0,1
T0231,Route_F,Truck,165.3,248.2,0,3,3,131.7,0
T0232,Route_E,SUV,185.8,429.1,2,1,6,321.1,0
T0233,Route_F,Van,158.6,443.7,1,1,4,183.2,0
T0234,Route_B,Truck,22.1,64.2,1,0,4,14.8,0
T0235,Route_F,Motorcycle,188.8,530.4,0,2,6,95.8,0
T0236,Route_D,Motorcycle,82.4,190.4,1,1,10,99.4,0
T0237,Route_F,Van,162.2,435.4,0,0,5,31.0,1
T0238,Route_B,Truck,98.5,194.1,1,0,6,56.7,0
T0239,Route_F,Truck,66.9,196.0,2,1,2,178.5,0
T0240,Route_D,Truck,187.6,528.0,0,2,13,129.6,0
T0241,Route_C,Van,122.5,250.8,0,1,2,47.9,0
T0242,Route_C,Van,16.3,41.4,2,0,3,26.2,0
T0243,Route_E,Truck,157.6,299.2,0,1,1,88.6,0
T0244,Route_A,Truck,125.0,244.9,1,1,7,112.7,0
T0245,Route_B,Motorcycle,159.5,336.0,1,0,11,101.1,0
T0246,Route_E,Truck,155.0,235.1,0,1,6,34.9,1
T0247,Route_F,Motorcycle,118.5,298.8,0,1,13,11.5,1
T0248,Route_C,Truck,111.9,244.0,2,0,10,136.1,0
T0249,Route_F,SUV,173.6,323.8,1,2,13,146.5,0
T0250,Route_E,Van,179.0,524.9,1,0,1,80.0,0
T0251,Route_B,SUV,19.9,38.2,2,0,8,28.9,0
T0252,Route_B,SUV,179.5,440.8,1,0,8,79.1,0
T0253,Route_E,Motorcycle,25.6,76.4,0,0,8,0.0,1
T0254,Route_E,Motorcycle,18.9,28.7,2,2,10,24.5,0
T0255,Route_F,SUV,73.2,194.8,1,0,11,59.3,0
T0256,Route_F,SUV,18.4,39.3,0,1,1,2.3,1
T0257,Route_A,Truck,79.5,143.7,0,1,14,16.7,1
T0258,Route_B,Truck,29.4,65.1,0,1,12,3.6,1
T0259,Route_B,Motorcycle,13.5,22.5,1,0,8,1.5,1
T0260,Route_A,Van,188.9,351.5,0,0,14,0.0,1
T0261,Route_A,SUV,198.5,497.7,0,2,12,121.1,0
T0262,Route_E,Van,94.8,261.9,1,2,12,154.1,0
T0263,Route_C,SUV,111.3,331.3,2,0,2,229.3,0
T0264,Route_D,Motorcycle,193.2,431.3,0,0,6,0.0,1
T0265,Route_C,Truck,120.1,271.8,0,1,13,15.3,1
T0266,Route_A,SUV,89.6,156.0,1,2,12,74.0,0
T0267,Route_E,Motorcycle,198.4,327.1,0,2,11,127.6,0
T0268,Route_F,Motorcycle,124.9,316.3,0,1,4,42.4,1
T0269,Route_F,Van,153.4,238.2,1,0,2,104.2,0
T0270,Route_C,Motorcycle,64.6,181.8,2,0,13,100.4,0
T0271,Route_D,SUV,157.2,287.0,0,1,6,7.9,1
T0272,Route_A,Truck,23.1,55.1,0,1,8,14.7,0
T0273,Route_E,SUV,49.0,125.1,0,1,14,0.0,1
T0274,Route_D,Motorcycle,102.2,165.0,0,0,14,0.0,1
T0275,Route_B,Van,45.9,125.7,1,0,14,6.1,1
T0276,Route_B,Motorcycle,48.0,115.1,1,3,12,66.0,0
T0277,Route_F,Truck,38.8,95.4,0,0,6,1.0,1
T0278,Route_B,Van,37.2,95.0,1,1,6,32.5,0
T0279,Route_A,Motorcycle,63.3,184.1,0,1,3,31.5,0
T0280,Route_D,Truck,89.9,261.1,1,1,14,25.5,1
T0281,Route_B,Motorcycle,90.2,234.0,1,0,12,31.0,1
T0282,Route_D,SUV,97.1,147.5,0,0,6,0.0,1
T0283,Route_D,Motorcycle,53.2,152.0,0,0,6,14.6,1
T0284,Route_F,SUV,35.5,98.7,0,1,11,5.5,1
T0285,Route_A,Truck,108.8,230.3,0,2,2,114.0,0
T0286,Route_E,Van,166.4,446.3,1,1,5,298.6,0
T0287,Route_B,Truck,132.6,238.2,1,1,9,85.6,0
T0288,Route_A,Motorcycle,138.3,320.6,2,0,12,199.7,0
T0289,Route_B,Motorcycle,18.2,46.6,1,0,6,11.9,0
T0290,Route_E,Van,134.5,245.4,0,2,3,136.2,0
T0291,Route_E,Motorcycle,111.4,177.4,1,2,10,68.6,0
T0292,Route_E,SUV,111.2,293.4,1,0,8,69.3,0
T0293,Route_E,Motorcycle,176.5,495.3,0,1,10,67.7,1
T0294,Route_B,Truck,23.4,47.1,0,0,3,9.4,0
T0295,Route_F,Motorcycle,133.1,363.7,0,2,3,140.9,0
T0296,Route_D,SUV,152.7,292.4,0,1,14,0.0,1
T0297,Route_B,Van,92.3,215.6,0,1,13,2.9,1
T0298,Route_F,Truck,121.6,188.5,0,2,11,61.9,0
T0299,Route_E,SUV,160.7,474.4,2,0,11,252.4,0
T0300,Route_E,Motorcycle,28.9,74.7,0,3,10,37.4,0
T0301,Route_C,Motorcycle,30.3,76.7,0,0,4,0.0,1
T0302,Route_E,Truck,164.7,380.7,1,0,11,91.2,0
T0303,Route_B,Motorcycle,132.1,260.3,0,2,12,41.7,0
T0304,Route_E,SUV,166.1,274.2,0,0,9,0.0,1
T0305,Route_C,Motorcycle,42.3,102.4,0,1,1,27.6,0
T0306,Route_C,Motorcycle,11.1,28.9,0,0,8,1.8,1
T0307,Route_D,Motorcycle,39.1,108.8,0,2,7,36.7,0
T0308,Route_B,Truck,47.0,96.0,0,2,5,32.7,0
T0309,Route_F,SUV,188.0,527.6,1,2,13,299.8,0
T0310,Route_F,Motorcycle,5.0,8.8,0,0,14,0.0,1
T0311,Route_D,Truck,111.6,231.1,2,0,4,142.1,0
T0312,Route_F,Van,193.4,327.1,1,3,3,297.6,0
T0313,Route_B,Motorcycle,162.0,247.3,2,2,11,231.7,0
T0314,Route_C,Motorcycle,92.7,169.5,0,0,1,51.4,0
T0315,Route_F,Truck,7.4,16.3,0,1,3,5.1,0
T0316,Route_A,SUV,17.6,49.5,2,0,6,24.3,0
T0317,Route_A,SUV,41.1,66.6,0,2,14,3.8,1
T0318,Route_F,Van,116.8,290.6,0,0,12,0.0,1
T0319,Route_A,Truck,23.3,66.7,1,2,8,39.3,0
T0320,Route_F,SUV,95.6,163.1,0,0,6,0.7,1
T0321,Route_E,Motorcycle,91.8,246.4,1,1,12,82.6,0
T0322,Route_E,Motorcycle,132.2,386.7,1,2,1,269.0,0
T0323,Route_F,Van,178.8,269.0,0,1,11,10.0,1
T0324,Route_A,Truck,69.6,154.8,0,1,13,0.0,1
T0325,Route_D,SUV,120.2,277.2,2,0,8,179.7,0
T0326,Route_A,SUV,105.0,203.7,2,0,5,110.4,0
T0327,Route_A,Truck,164.6,378.0,2,1,7,359.2,0
T0328,Route_C,Motorcycle,30.6,58.6,0,1,12,3.2,1
T0329,Route_E,Truck,55.3,139.0,0,2,12,29.4,0
T0330,Route_E,Motorcycle,16.6,40.0,1,0,14,5.4,1
T0331,Route_A,Motorcycle,134.2,219.9,1,1,1,138.8,0
T0332,Route_E,Truck,131.1,371.2,1,1,3,194.2,0
T0333,Route_F,Truck,124.5,349.8,1,0,2,170.8,0
T0334,Route_F,SUV,164.9,419.2,1,1,7,197.7,0
T0335,Route_E,Motorcycle,13.5,22.8,1,0,7,8.3,0
T0336,Route_D,Motorcycle,20.1,46.6,2,1,12,29.2,0
T0337,Route_B,SUV,165.4,460.8,2,1,8,328.4,0
T0338,Route_D,Truck,107.5,243.8,0,1,5,46.9,0
T0339,Route_A,Truck,189.6,381.0,1,0,3,108.1,0
T0340,Route_F,Motorcycle,65.7,165.2,1,0,4,49.4,0
T0341,Route_D,Van,93.5,236.9,0,1,8,33.8,1
T0342,Route_E,SUV,24.4,44.2,2,1,3,39.0,0
T0343,Route_B,Van,152.5,333.6,0,3,13,99.9,0
T0344,Route_C,Motorcycle,91.6,274.1,1,0,11,9.5,1
T0345,Route_F,SUV,11.0,32.6,1,3,9,32.4,0
T0346,Route_F,Truck,167.6,362.0,0,0,3,95.3,0
T0347,Route_B,Truck,104.0,261.6,0,2,4,135.0,0
T0348,Route_E,Motorcycle,34.4,93.6,0,2,3,24.1,0
T0349,Route_D,Van,126.6,297.9,1,0,5,91.9,0
T0350,Route_E,SUV,181.9,308.9,1,1,6,145.7,0
T0351,Route_E,Motorcycle,174.6,296.2,1,0,1,101.8,0
T0352,Route_B,SUV,194.1,567.4,1,0,4,293.2,0
T0353,Route_F,Motorcycle,64.0,143.1,1,1,7,69.3,0
T0354,Route_A,Motorcycle,117.6,329.0,2,1,3,196.8,0
T0355,Route_D,Motorcycle,191.4,344.7,0,2,1,117.7,0
T0356,Route_C,Motorcycle,177.3,385.1,1,1,7,214.2,0
T0357,Route_B,SUV,186.2,287.8,2,1,14,209.7,0
T0358,Route_A,SUV,147.9,339.2,1,3,2,342.3,0
T0359,Route_B,Truck,22.5,33.8,0,0,5,0.0,1
T0360,Route_E,SUV,133.4,353.4,2,1,8,276.8,0
T0361,Route_A,Van,20.1,42.5,0,0,3,10.7,0
T0362,Route_E,Truck,141.1,212.9,0,2,2,114.6,0
T0363,Route_A,Motorcycle,169.2,315.3,0,0,10,0.0,1
T0364,Route_D,Van,59.8,161.8,2,1,11,97.7,0
T0365,Route_F,Truck,118.7,328.1,1,0,13,0.0,1
T0366,Route_A,Truck,29.0,82.1,1,1,10,42.7,0
T0367,Route_D,SUV,113.2,277.9,1,1,14,102.2,0
T0368,Route_F,Van,106.4,182.5,1,0,7,56.7,0
T0369,Route_F,Van,31.1,76.0,0,2,9,24.3,0
T0370,Route_B,Van,58.9,150.7,0,2,9,48.1,0
T0371,Route_F,Truck,188.4,306.0,2,2,11,291.5,0
T0372,Route_D,SUV,158.8,450.8,0,3,8,221.4,0
T0373,Route_D,Motorcycle,22.4,56.7,0,0,11,0.0,1
T0374,Route_E,Truck,175.7,311.8,0,0,4,34.4,1
T0375,Route_A,Van,57.4,127.1,1,3,1,129.8,0
T0376,Route_D,SUV,89.4,195.4,0,0,12,0.0,1
T0377,Route_A,SUV,172.5,306.9,1,1,2,190.9,0
T0378,Route_C,Van,176.6,322.1,1,1,2,143.7,0
T0379,Route_A,SUV,186.5,314.9,1,3,12,288.1,0
T0380,Route_F,Truck,178.6,344.9,0,0,6,0.0,1
T0381,Route_F,Van,111.0,183.2,1,0,6,47.1,0
T0382,Route_A,Motorcycle,83.8,192.5,1,0,11,15.5,1
T0383,Route_A,SUV,13.1,27.5,1,1,1,17.2,0
T0384,Route_C,Van,8.3,22.1,2,0,6,12.8,0
T0385,Route_E,Truck,155.8,354.7,0,0,11,0.0,1
T0386,Route_D,Motorcycle,136.7,317.3,2,1,8,298.0,0
T0387,Route_E,Van,34.7,98.9,1,3,2,111.4,0
T0388,Route_D,Van,118.5,353.9,0,1,4,74.0,0
T0389,Route_B,Motorcycle,192.7,311.0,0,0,12,0.0,1
T0390,Route_A,Van,66.5,127.2,2,1,4,107.5,0
T0391,Route_D,Motorcycle,55.7,112.4,2,0,12,43.8,0
T0392,Route_F,Van,139.6,404.2,0,0,8,0.0,1
T0393,Route_F,Truck,191.8,440.1,0,1,5,92.8,0
T0394,Route_F,Van,153.4,355.9,0,1,3,100.1,0
T0395,Route_F,Van,91.9,166.7,0,2,11,54.1,0
T0396,Route_D,SUV,192.3,345.3,2,3,11,385.7,0
T0397,Route_B,Van,116.1,219.3,0,1,7,17.1,1
T0398,Route_A,Motorcycle,82.1,240.4,2,0,10,151.9,0
T0399,Route_F,SUV,65.4,121.0,0,2,4,68.8,0
T0400,Route_F,SUV,7.4,11.1,0,3,10,6.0,0
T0401,Route_C,Truck,48.3,95.8,2,2,11,76.2,0
T0402,Route_E,Motorcycle,179.5,269.3,2,0,7,128.8,0
T0403,Route_C,Van,198.7,311.4,1,0,4,97.0,0
T0404,Route_B,Van,126.3,377.5,0,1,2,72.8,0
T0405,Route_D,Truck,51.9,92.7,2,0,10,50.9,0
T0406,Route_E,Van,191.5,329.8,1,0,4,127.2,0
T0407,Route_E,SUV,90.1,213.6,1,2,3,153.4,0
T0408,Route_B,SUV,83.2,220.0,2,2,2,208.8,0
T0409,Route_D,Truck,120.3,214.0,0,2,12,26.1,1
T0410,Route_B,Motorcycle,176.5,386.5,0,2,13,146.3,0
T0411,Route_D,Van,155.9,316.3,2,1,1,222.1,0
T0412,Route_E,Truck,81.4,188.9,1,1,12,74.0,0
T0413,Route_F,Van,15.7,46.3,0,0,13,0.0,1
T0414,Route_F,Motorcycle,42.3,83.1,1,1,9,33.5,0
