player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,play_style_score,efficiency_rating,usage_rate
P0031,Team_I,Center,45,4.4,5.1,14.9,30.2,32,1,0.5,45.3,0.0,0.22
P0032,Team_B,Midfielder,81,0.9,1.0,3.1,36.8,34,8,2.81,77.5,18.2,0.392
P0033,Team_K,Striker,59,13.0,2.3,10.7,26.1,36,7,1.07,27.0,14.5,0.397
P0034,Team_J,Center,59,7.4,6.4,4.5,19.4,36,15,2.92,95.6,16.4,0.114
P0035,Team_D,Midfielder,24,6.5,7.1,5.7,9.5,24,14,0.51,10.8,9.5,0.194
P0036,Team_J,Forward,43,3.7,7.6,9.2,24.8,30,2,0.8,18.9,27.6,0.27
P0037,Team_B,Striker,25,6.2,2.5,0.0,16.7,31,9,1.53,36.6,25.8,0.134
P0038,Team_L,Forward,13,8.7,5.8,12.4,25.8,23,0,5.61,7.8,13.9,0.13
P0039,Team_F,Forward,34,23.9,7.6,7.0,16.9,35,8,3.85,31.4,20.7,0.383
P0040,Team_G,Striker,10,21.5,4.1,5.5,26.5,23,0,0.74,70.0,13.9,0.198
P0041,Team_B,Forward,50,11.3,4.1,4.9,32.5,37,15,0.5,52.9,6.0,0.37
P0042,Team_L,Striker,36,12.0,2.7,5.1,21.9,28,17,0.5,27.1,9.9,0.284
P0043,Team_C,Forward,29,24.5,1.7,2.9,17.8,37,17,1.19,45.1,24.6,0.11
P0044,Team_K,Midfielder,27,15.0,0.9,10.3,34.0,21,15,0.63,48.0,15.4,0.355
P0045,Team_D,Striker,61,21.1,5.4,1.8,28.9,20,15,1.66,67.9,0.1,0.326
P0046,Team_B,Center,19,0.0,4.3,5.2,20.0,33,10,2.68,70.1,20.8,0.369
P0047,Team_K,Guard,14,6.6,5.3,4.5,35.1,28,1,1.58,24.8,0.0,0.178
P0048,Team_B,Striker,37,26.9,7.0,10.8,5.0,29,14,2.45,46.1,14.5,0.283
P0049,Team_G,Guard,31,17.2,6.4,11.3,35.3,24,3,0.5,49.4,15.1,0.264
P0050,Team_D,Striker,39,23.7,0.6,5.8,17.8,26,15,0.54,67.9,17.0,0.238
P0051,Team_J,Forward,29,10.7,8.7,0.0,16.1,24,9,0.5,64.1,4.8,0.127
P0052,Team_C,Midfielder,71,15.3,1.8,1.5,37.1,29,14,6.8,59.8,24.2,0.154
P0053,Team_A,Defender,79,20.8,4.7,6.1,30.8,24,1,3.6,48.7,35.0,0.392
P0054,Team_H,Guard,65,0.2,3.1,4.9,19.9,24,17,8.83,65.5,23.8,0.329
P0055,Team_C,Midfielder,22,9.8,0.0,3.2,20.6,29,10,0.61,59.4,16.0,0.311
P0056,Team_G,Forward,65,22.6,7.2,5.8,5.0,37,6,5.29,52.2,6.9,0.161
P0057,Team_J,Defender,33,16.8,2.9,10.6,30.4,25,16,1.04,32.6,10.2,0.325
P0058,Team_F,Guard,14,7.0,5.1,10.6,22.4,28,4,0.91,70.9,9.1,0.252
P0059,Team_I,Striker,58,19.5,7.9,0.0,36.0,30,1,4.23,38.1,0.8,0.167
P0060,Team_J,Striker,70,14.3,6.0,8.9,37.5,31,12,5.67,93.6,8.1,0.356
P0061,Team_A,Midfielder,14,11.4,0.0,13.6,30.9,35,12,2.26,59.4,20.7,0.294
P0062,Team_K,Defender,70,11.5,1.9,7.7,23.3,28,8,4.75,69.7,3.1,0.178
P0063,Team_A,Forward,66,12.4,8.9,3.7,22.5,23,10,0.6,80.8,9.2,0.234
P0064,Team_A,Forward,42,14.0,3.8,9.9,17.6,28,9,1.51,46.5,23.1,0.293
P0065,Team_L,Striker,19,15.1,5.9,9.1,33.7,30,2,0.5,40.6,8.9,0.329
P0066,Team_J,Midfielder,42,25.0,2.4,10.5,29.6,28,13,0.5,44.9,12.7,0.165
P0067,Team_I,Guard,26,32.7,6.8,3.0,25.8,34,17,2.3,56.5,18.8,0.124
P0068,Team_G,Guard,38,6.3,0.0,7.4,32.0,24,3,2.99,56.5,7.8,0.247
P0069,Team_C,Center,64,17.2,4.3,14.9,35.7,37,2,0.81,27.3,13.9,0.298
P0070,Team_J,Midfielder,35,20.8,1.0,9.4,21.1,32,11,3.06,54.2,11.4,0.272
P0071,Team_J,Midfielder,19,16.5,3.9,0.0,22.5,29,15,3.48,70.6,17.1,0.325
P0072,Team_D,Striker,80,10.4,7.9,5.2,23.4,30,5,0.94,46.0,2.4,0.374
P0073,Team_L,Striker,81,0.0,5.0,4.0,28.0,29,2,8.41,28.1,17.1,0.275
P0074,Team_B,Center,79,18.0,3.6,3.9,20.2,25,8,6.05,55.0,12.8,0.104
P0075,Team_C,Guard,30,16.3,13.3,7.7,21.1,26,0,13.29,20.1,16.7,0.345
P0076,Team_E,Guard,68,0.0,0.0,4.1,24.0,30,7,6.39,51.1,11.9,0.188
P0077,Team_F,Midfielder,66,12.2,1.3,7.2,21.6,30,17,0.71,34.1,21.4,0.33
P0078,Team_I,Forward,49,0.0,3.9,8.6,16.1,31,0,4.41,28.2,12.8,0.105
P0079,Team_E,Guard,73,14.1,0.0,1.1,30.9,20,3,1.28,62.9,1.6,0.2
P0080,Team_L,Guard,60,11.9,0.4,0.3,16.1,21,7,6.45,42.5,22.2,0.393
P0081,Team_I,Center,38,21.7,4.6,5.8,20.4,23,6,3.4,52.0,14.2,0.325
P0082,Team_L,Guard,22,0.0,2.3,4.3,37.0,28,2,2.63,40.8,18.5,0.368
P0083,Team_I,Midfielder,49,21.5,5.6,6.3,45.4,36,13,3.51,32.7,23.5,0.377
P0084,Team_B,Striker,30,6.6,6.9,4.5,18.5,32,3,0.65,75.2,4.5,0.126
P0085,Team_B,Striker,59,2.0,7.1,2.7,19.3,31,10,6.59,23.0,7.3,0.373
P0086,Team_L,Striker,58,11.1,0.0,7.6,13.9,34,11,1.33,63.2,7.2,0.182
P0087,Team_I,Center,17,24.1,5.8,7.7,21.6,20,5,0.5,78.0,17.2,0.261
P0088,Team_B,Guard,81,24.4,6.7,9.1,30.1,29,17,0.5,47.8,8.2,0.28
P0089,Team_E,Striker,60,0.0,6.9,5.1,10.1,22,3,17.29,37.7,14.6,0.244
P0090,Team_D,Defender,79,6.4,0.5,9.9,20.5,20,14,3.6,66.6,22.0,0.365
P0091,Team_B,Center,61,25.4,0.2,18.2,20.2,21,5,5.56,48.5,11.0,0.3
P0092,Team_K,Striker,56,9.6,3.8,10.7,34.6,26,10,3.53,43.8,23.0,0.269
P0093,Team_D,Striker,77,20.1,0.5,14.7,31.5,22,15,4.0,38.6,33.4,0.299
P0094,Team_L,Defender,23,17.0,1.6,11.8,38.0,36,15,6.12,58.0,9.8,0.379
P0095,Team_A,Forward,12,4.3,0.4,11.4,35.5,33,1,1.53,22.7,17.5,0.364
P0096,Team_K,Striker,46,18.0,2.2,0.0,20.4,21,12,1.89,17.5,13.1,0.24
P0097,Team_L,Forward,26,17.2,6.0,3.1,32.3,27,7,2.59,100.0,18.4,0.126
P0098,Team_F,Defender,49,15.2,0.9,4.9,21.5,21,10,0.73,88.9,8.0,0.329
P0099,Team_F,Defender,63,1.7,0.0,10.8,29.1,20,1,2.67,48.2,17.3,0.179
P0100,Team_L,Striker,79,18.0,11.0,0.8,25.0,30,9,1.31,55.4,28.6,0.389
P0101,Team_I,Guard,18,15.8,1.3,1.5,6.8,32,15,1.32,38.6,14.3,0.112
P0102,Team_E,Defender,61,11.2,4.7,10.7,39.7,32,2,0.59,17.6,19.5,0.119
P0103,Team_B,Center,36,9.0,5.6,10.1,24.9,30,2,0.5,77.9,5.4,0.282
P0104,Team_K,Guard,19,15.2,5.1,0.0,27.8,37,9,7.98,18.6,6.6,0.266
P0105,Team_L,Guard,41,16.2,9.8,3.7,37.9,28,15,0.99,47.2,15.7,0.161
P0106,Team_F,Striker,40,20.9,3.9,6.3,20.8,36,12,5.4,76.9,19.0,0.374
P0107,Team_E,Center,24,17.1,0.0,7.8,14.1,35,8,0.5,52.6,15.3,0.142
P0108,Team_K,Midfielder,67,0.0,5.3,4.7,27.7,35,11,0.5,61.4,22.1,0.218
P0109,Team_F,Midfielder,75,19.7,0.0,6.0,38.5,28,0,1.66,36.7,6.9,0.278
P0110,Team_E,Striker,29,11.7,5.7,6.4,38.2,21,7,3.96,80.2,18.1,0.234
P0111,Team_C,Center,25,13.7,0.8,4.5,26.3,20,11,5.16,29.6,8.1,0.351
P0112,Team_D,Midfielder,44,15.6,4.0,7.1,38.0,29,13,2.09,37.2,26.1,0.24
P0113,Team_I,Midfielder,55,20.9,2.8,4.5,28.1,20,4,1.28,38.3,5.6,0.256
P0114,Team_C,Striker,45,0.0,2.4,4.2,16.3,36,12,1.97,23.9,7.2,0.271
P0115,Team_G,Guard,37,15.3,0.9,12.6,31.0,24,3,1.99,96.3,22.4,0.138
P0116,Team_F,Guard,51,7.8,0.0,5.1,15.5,29,10,2.84,20.8,35.0,0.179
P0117,Team_J,Center,10,15.0,0.0,0.0,30.6,22,9,3.41,24.8,22.0,0.105
P0118,Team_J,Forward,35,4.1,7.1,1.2,22.9,34,6,8.82,49.3,15.4,0.109
P0119,Team_F,Defender,48,15.5,0.0,5.5,7.7,24,2,3.1,30.4,35.0,0.203
P0120,Team_B,Guard,72,18.4,4.5,6.0,26.6,34,6,0.5,34.9,8.4,0.174
P0121,Team_A,Midfielder,16,0.0,6.7,0.0,15.8,26,9,2.51,89.3,16.7,0.174
P0122,Team_C,Midfielder,69,15.7,3.0,5.1,5.0,28,14,5.72,51.9,30.1,0.377
P0123,Team_G,Forward,55,0.0,1.2,3.6,23.3,21,4,1.46,64.1,13.2,0.135
P0124,Team_L,Striker,72,25.0,6.4,5.6,21.9,25,13,1.05,25.5,11.2,0.246
P0125,Team_J,Midfielder,17,1.3,0.0,6.7,5.1,21,6,8.67,23.1,10.6,0.141
P0126,Team_C,Center,43,6.3,6.1,3.0,38.5,22,17,0.74,30.8,12.4,0.367
P0127,Team_A,Defender,11,15.6,6.2,9.4,24.6,21,13,0.5,28.1,20.3,0.365
P0128,Team_D,Striker,12,12.2,1.5,0.5,27.4,30,12,4.31,43.1,12.8,0.188
P0129,Team_J,Defender,51,20.5,0.0,6.5,23.0,30,6,2.83,48.3,18.8,0.281
P0130,Team_I,Midfielder,60,24.5,3.8,10.2,16.1,31,8,3.12,37.0,31.3,0.211
P0131,Team_F,Striker,20,18.8,3.1,4.4,22.1,22,4,5.14,72.3,0.0,0.37
P0132,Team_E,Center,46,29.2,1.7,6.9,22.1,22,1,1.44,61.8,8.3,0.347
P0133,Team_G,Center,46,16.8,3.5,8.8,37.9,33,5,3.54,39.1,5.4,0.301
P0134,Team_G,Midfielder,58,26.7,4.0,8.1,17.4,26,16,3.52,53.3,12.4,0.243
P0135,Team_J,Forward,66,10.8,7.2,5.9,32.8,27,6,1.05,24.3,7.8,0.138
P0136,Team_C,Forward,19,0.0,6.6,5.4,34.1,31,3,0.94,35.1,23.9,0.207
P0137,Team_J,Striker,67,8.2,6.2,6.8,29.0,29,2,5.42,65.3,8.8,0.377
P0138,Team_L,Striker,16,28.6,4.8,7.0,14.2,29,15,0.5,52.6,16.8,0.124
P0139,Team_I,Midfielder,63,5.3,6.5,7.2,19.4,34,6,4.49,43.1,9.4,0.268
P0140,Team_D,Midfielder,69,17.0,3.3,4.2,17.9,29,12,2.85,50.1,16.4,0.155
P0141,Team_A,Guard,24,2.1,3.1,13.0,33.4,31,11,6.56,100.0,18.0,0.101
P0142,Team_C,Forward,22,4.9,6.0,8.1,30.7,36,2,2.65,37.8,1.1,0.284
P0143,Team_C,Center,17,0.0,3.5,4.3,27.9,28,7,3.66,50.6,24.8,0.376
P0144,Team_L,Striker,80,2.8,3.6,8.5,24.3,28,7,2.37,46.2,11.3,0.106
P0145,Team_L,Striker,46,18.0,1.6,3.1,17.7,26,3,2.57,43.8,14.1,0.252
P0146,Team_G,Striker,12,29.0,7.8,9.7,19.7,37,12,1.07,40.0,17.4,0.294
P0147,Team_K,Midfielder,15,17.3,0.0,2.0,5.4,23,2,0.5,39.4,14.4,0.157
P0148,Team_D,Guard,55,13.4,7.6,4.3,18.0,33,9,2.78,57.4,23.0,0.158
P0149,Team_B,Striker,10,5.4,0.2,2.8,17.2,21,4,1.94,58.8,24.0,0.104
P0150,Team_K,Guard,48,7.2,4.1,14.1,9.2,22,7,1.03,32.6,14.4,0.243
P0151,Team_D,Striker,17,7.9,4.0,0.0,28.1,37,5,2.87,42.2,19.8,0.358
P0152,Team_D,Forward,64,0.9,3.3,10.2,29.8,30,15,4.28,57.0,7.5,0.11
P0153,Team_I,Striker,39,31.3,5.3,8.2,25.4,27,5,0.5,55.4,19.5,0.196
P0154,Team_H,Striker,48,6.7,0.4,1.7,36.6,22,3,0.89,80.3,19.7,0.131
P0155,Team_A,Guard,66,9.5,2.5,13.1,32.1,23,17,0.84,71.4,0.0,0.105
P0156,Team_A,Defender,54,0.0,5.8,0.0,31.2,22,6,0.59,75.3,28.4,0.322
P0157,Team_F,Defender,31,3.5,2.9,8.6,27.6,28,15,0.5,2.1,14.3,0.132
P0158,Team_B,Striker,28,16.7,6.8,12.7,17.1,23,11,1.36,63.8,21.9,0.4
P0159,Team_H,Midfielder,53,0.0,6.6,1.9,29.0,34,8,0.5,34.4,18.5,0.215
P0160,Team_D,Midfielder,11,18.7,4.0,5.7,7.0,20,17,3.32,26.2,4.4,0.358
P0161,Team_I,Center,78,9.9,2.6,4.8,11.5,31,16,1.7,13.7,20.1,0.266
P0162,Team_I,Forward,73,13.5,3.9,6.9,16.4,36,13,3.09,41.6,5.5,0.197
P0163,Team_H,Midfielder,39,6.4,5.1,6.2,25.6,27,17,0.86,50.8,9.8,0.355
P0164,Team_I,Defender,69,9.1,2.8,1.4,41.7,20,4,2.52,72.6,13.4,0.175
P0165,Team_L,Forward,34,6.5,7.6,10.9,34.1,28,5,1.5,29.4,9.0,0.109
P0166,Team_F,Striker,63,19.0,4.7,11.1,30.1,30,8,0.63,35.5,10.8,0.136
P0167,Team_J,Midfielder,80,18.5,2.6,6.0,25.6,26,13,0.5,39.5,6.4,0.362
P0168,Team_I,Center,49,13.7,4.3,6.7,30.6,28,0,7.93,74.5,13.4,0.234
P0169,Team_D,Defender,29,15.3,0.0,0.0,9.3,37,7,2.26,64.3,19.6,0.356
P0170,Team_G,Center,14,10.7,10.4,8.9,23.1,24,12,5.6,13.5,16.2,0.271
P0171,Team_J,Defender,77,4.3,3.0,4.7,33.1,28,4,3.95,43.8,20.2,0.224
P0172,Team_F,Defender,30,6.7,5.1,6.1,23.5,23,16,0.92,83.0,18.3,0.366
P0173,Team_A,Defender,55,19.7,8.1,3.6,7.6,36,6,4.34,68.3,33.1,0.245
P0174,Team_H,Midfielder,60,18.6,1.6,10.9,18.7,27,7,2.39,68.6,15.6,0.196
P0175,Team_K,Midfielder,39,0.2,1.3,9.6,26.3,21,3,0.76,27.0,6.2,0.237
P0176,Team_K,Defender,55,19.8,4.3,5.6,15.3,22,5,0.5,62.0,14.0,0.131
P0177,Team_B,Midfielder,11,17.9,9.8,7.9,34.8,21,5,10.05,43.0,17.4,0.241
P0178,Team_E,Defender,28,5.9,1.3,7.6,15.2,37,9,1.56,51.7,14.0,0.105
P0179,Team_C,Center,33,6.5,2.7,8.3,17.4,32,13,4.15,42.3,18.8,0.219
P0180,Team_I,Defender,45,4.7,6.5,5.7,18.8,27,7,3.3,50.6,5.4,0.291
P0181,Team_G,Forward,77,3.1,3.1,9.3,14.7,22,15,5.27,38.2,8.9,0.326
P0182,Team_H,Defender,36,5.9,3.1,2.9,42.3,24,9,0.5,63.2,9.7,0.12
P0183,Team_J,Guard,71,10.2,1.8,3.4,25.2,29,14,0.5,56.0,5.1,0.117
P0184,Team_E,Center,17,18.8,3.6,5.9,16.4,20,16,1.47,30.1,20.7,0.317
P0185,Team_B,Center,26,11.4,0.7,9.8,28.9,32,3,0.5,39.3,5.3,0.195
P0186,Team_E,Center,35,0.0,7.8,2.7,5.3,27,0,0.5,91.6,24.1,0.261
P0187,Team_F,Defender,30,14.6,2.9,7.2,15.1,31,3,0.52,84.0,11.4,0.311
P0188,Team_L,Striker,51,12.9,7.5,2.9,25.7,34,11,0.5,51.7,0.0,0.225
P0189,Team_G,Forward,77,18.5,0.0,9.5,25.7,20,9,1.45,70.7,25.4,0.393
P0190,Team_H,Center,76,16.8,0.6,3.7,34.0,28,16,0.5,53.3,29.4,0.325
P0191,Team_G,Midfielder,12,13.2,5.7,1.8,30.4,34,17,2.83,88.2,21.3,0.367
P0192,Team_B,Defender,62,17.9,0.0,5.4,19.0,26,10,8.79,51.9,18.0,0.205
P0193,Team_L,Guard,24,16.2,3.4,15.2,25.2,24,7,3.42,10.8,5.7,0.174
P0194,Team_C,Forward,44,4.2,0.0,3.4,33.6,26,15,3.63,66.0,1.1,0.243
P0195,Team_B,Midfielder,23,5.4,6.9,10.8,29.1,28,2,1.43,63.6,19.4,0.186
P0196,Team_A,Defender,76,0.3,4.1,9.8,27.9,29,15,6.14,46.2,12.2,0.121
P0197,Team_E,Midfielder,23,21.7,4.4,0.4,13.8,36,0,4.3,50.3,5.9,0.34
P0198,Team_E,Midfielder,48,0.0,4.4,1.4,32.8,33,10,0.64,38.4,10.9,0.398
P0199,Team_F,Center,49,6.9,2.2,6.9,36.5,22,3,4.27,26.5,28.7,0.262
P0200,Team_F,Striker,58,5.2,0.0,7.0,37.3,28,12,0.99,49.3,8.4,0.356
P0201,Team_G,Guard,38,17.7,8.0,5.7,16.5,34,11,4.37,19.7,20.7,0.145
P0202,Team_C,Defender,34,9.7,4.0,0.9,34.0,21,17,1.27,51.4,0.0,0.273
P0203,Team_K,Midfielder,37,25.6,1.2,10.0,16.6,25,16,0.96,50.1,29.9,0.167
P0204,Team_C,Striker,43,11.5,8.6,8.0,27.9,29,0,7.32,11.7,12.5,0.212
P0205,Team_L,Forward,72,2.2,4.5,6.4,28.5,32,13,2.12,33.9,16.4,0.319
P0206,Team_G,Forward,52,0.0,11.1,5.6,14.8,31,1,3.1,54.8,0.0,0.315
P0207,Team_B,Forward,14,23.1,6.2,4.0,16.9,22,6,2.03,35.1,14.1,0.191
P0208,Team_J,Guard,44,8.6,5.3,0.0,18.8,35,4,3.62,82.9,21.2,0.246
P0209,Team_K,Striker,41,20.1,2.5,1.6,38.2,29,8,8.57,42.3,18.1,0.188
P0210,Team_B,Midfielder,43,14.6,4.9,5.9,22.4,29,2,0.5,60.1,22.8,0.34
P0211,Team_J,Forward,28,20.4,1.5,2.7,46.7,23,2,5.39,49.5,17.4,0.261
P0212,Team_J,Center,13,27.7,3.5,18.9,33.7,24,0,0.63,19.9,14.8,0.241
P0213,Team_J,Forward,44,16.2,6.8,3.5,34.4,27,12,5.44,74.8,0.0,0.311
P0214,Team_F,Center,66,10.7,0.0,12.0,27.5,22,5,10.7,9.5,11.1,0.27
P0215,Team_B,Forward,41,17.8,6.3,3.3,20.8,33,14,0.77,47.2,1.3,0.35
P0216,Team_H,Defender,68,9.1,5.7,3.3,29.1,23,16,3.24,58.6,20.3,0.179
P0217,Team_A,Striker,73,2.3,9.4,7.4,21.1,29,13,4.5,47.6,22.2,0.149
P0218,Team_L,Striker,45,16.4,2.9,2.5,42.1,28,13,0.84,37.1,13.5,0.185
P0219,Team_C,Guard,48,14.8,4.9,5.7,22.6,22,2,1.03,14.2,13.0,0.356
P0220,Team_H,Guard,44,3.3,5.9,6.6,18.1,29,12,1.67,49.4,9.5,0.306
P0221,Team_I,Forward,77,12.8,2.8,4.5,29.2,32,11,5.24,45.9,19.3,0.164
P0222,Team_I,Center,36,15.0,3.0,2.4,14.5,24,6,3.03,34.2,3.8,0.373
P0223,Team_L,Center,62,13.8,0.0,6.0,20.5,28,8,0.69,95.1,12.5,0.387
P0224,Team_L,Midfielder,43,11.7,5.4,4.5,42.8,37,4,2.45,63.2,10.8,0.395
P0225,Team_G,Striker,58,11.5,7.7,6.2,26.2,31,4,0.94,93.2,10.4,0.376
P0226,Team_G,Forward,75,19.3,3.6,6.0,22.1,26,8,11.09,62.1,4.1,0.186
P0227,Team_J,Forward,51,15.5,4.8,6.9,41.6,24,3,0.5,7.0,35.0,0.122
P0228,Team_E,Center,21,1.0,3.8,6.1,14.1,30,13,3.9,74.4,12.7,0.22
P0229,Team_J,Forward,45,10.1,0.0,8.4,31.3,24,9,0.5,67.6,8.2,0.315
P0230,Team_D,Striker,71,21.3,4.1,6.6,21.0,20,16,0.5,70.2,9.0,0.194
P0231,Team_A,Center,41,16.4,3.5,11.6,25.8,22,12,3.34,55.8,12.5,0.218
P0232,Team_C,Midfielder,71,5.1,4.3,10.9,27.3,20,6,2.8,47.6,24.9,0.173
P0233,Team_F,Center,19,5.9,0.4,17.3,19.0,24,13,5.91,23.0,8.8,0.205
P0234,Team_D,Forward,63,7.1,3.6,1.3,19.6,20,2,1.06,11.4,5.1,0.244
P0235,Team_B,Forward,15,8.5,6.6,11.3,31.3,22,1,4.2,54.9,14.1,0.379
P0236,Team_I,Guard,73,7.7,3.2,5.6,28.9,37,0,2.5,51.5,19.4,0.34
P0237,Team_F,Midfielder,57,19.4,10.1,5.3,16.2,28,0,1.6,39.2,9.3,0.298
P0238,Team_K,Midfielder,73,6.9,0.0,3.0,25.0,36,8,0.5,29.2,15.7,0.276
P0239,Team_J,Guard,27,7.2,6.1,4.2,24.4,27,9,2.17,74.1,14.1,0.346
P0240,Team_E,Midfielder,68,4.5,5.1,1.5,31.8,27,3,1.16,59.6,3.1,0.287
P0241,Team_A,Center,62,12.4,0.0,4.4,13.1,27,5,0.84,73.1,14.2,0.201
P0242,Team_B,Center,66,7.0,7.0,14.1,48.0,23,3,1.51,57.5,18.9,0.116
P0243,Team_J,Forward,44,17.7,5.9,11.5,21.1,33,9,0.5,76.7,25.8,0.28
P0244,Team_F,Midfielder,61,0.0,3.8,6.2,21.0,34,5,0.64,42.1,24.9,0.229
P0245,Team_K,Defender,54,12.1,2.1,8.1,22.2,26,1,1.36,35.5,22.0,0.223
P0246,Team_B,Midfielder,28,8.6,4.5,3.6,27.4,26,1,0.5,56.6,16.5,0.305
P0247,Team_B,Guard,61,11.0,0.2,6.6,13.2,30,8,9.51,38.8,21.9,0.192
P0248,Team_K,Defender,32,26.9,2.5,7.8,24.5,35,7,1.75,73.0,21.2,0.198
P0249,Team_A,Guard,13,18.6,5.0,3.3,31.1,37,9,0.5,48.5,19.4,0.366
P0250,Team_D,Forward,74,12.2,3.7,10.6,26.2,21,17,0.58,51.6,15.9,0.332
P0251,Team_I,Center,15,11.8,3.4,15.9,18.0,30,10,0.5,54.3,11.6,0.101
P0252,Team_E,Midfielder,37,14.5,3.5,0.0,23.6,29,1,1.54,45.9,20.4,0.193
P0253,Team_K,Forward,31,19.2,4.8,1.8,26.3,26,4,0.5,13.3,12.1,0.343
P0254,Team_A,Striker,42,15.5,2.4,2.6,12.6,20,7,1.9,44.6,22.0,0.248
P0255,Team_K,Defender,52,23.2,7.9,8.3,33.5,29,0,0.5,42.6,11.0,0.179
P0256,Team_J,Defender,17,16.6,0.0,4.4,16.4,23,17,4.48,46.6,14.5,0.353
P0257,Team_I,Forward,66,16.4,0.0,0.8,25.5,21,6,3.94,63.8,10.2,0.164
P0258,Team_A,Midfielder,16,19.3,1.5,8.2,31.6,36,0,0.5,33.6,17.1,0.237
P0259,Team_A,Center,61,7.4,6.4,5.4,24.8,36,4,4.03,54.6,3.8,0.268
P0260,Team_E,Forward,41,3.4,0.4,4.1,31.0,29,7,1.13,25.6,15.1,0.223
P0261,Team_J,Striker,25,22.5,3.7,8.0,16.2,25,15,0.91,76.9,16.7,0.347
P0262,Team_D,Guard,67,26.6,3.5,5.9,21.0,31,4,0.5,74.4,17.1,0.34
P0263,Team_D,Midfielder,13,17.2,7.3,3.5,20.7,28,14,13.69,40.9,15.4,0.266
P0264,Team_E,Defender,76,10.1,0.0,0.0,27.3,25,14,4.76,45.0,15.5,0.109
P0265,Team_I,Forward,39,10.4,4.1,4.2,32.9,26,9,1.24,67.3,11.0,0.287
P0266,Team_K,Center,50,3.1,0.3,11.5,28.7,26,1,4.34,58.3,19.5,0.21
P0267,Team_B,Forward,20,8.5,5.3,4.2,28.6,28,2,0.63,64.0,12.2,0.351
P0268,Team_K,Defender,30,4.9,0.0,14.0,12.5,35,10,11.5,77.7,31.6,0.336
P0269,Team_L,Center,63,17.4,0.0,0.5,22.9,22,17,1.04,26.0,18.5,0.29
P0270,Team_A,Striker,57,2.7,6.8,6.3,28.8,22,14,13.69,44.0,16.6,0.186
