trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,on_time_pct,passenger_satisfaction
T000053,Route_13,Subway,1,25.8,40,5.62,13.5,Mon,0,Clear,0.884,4.5
T000054,Route_8,Tram,13,27.9,31,8.32,2.6,Mon,0,Clear,0.946,3.7
T000055,Route_6,Bus,0,42.5,28,2.15,4.7,Wed,0,Clear,1.0,3.7
T000056,Route_1,Tram,9,40.7,31,2.49,5.8,Mon,0,Clear,0.921,3.0
T000057,Route_14,Bus,18,31.6,37,11.25,9.2,Fri,0,Rain,0.917,4.3
T000058,Route_19,Tram,7,29.6,22,9.02,6.5,Fri,0,Clear,0.783,2.8
T000059,Route_18,Tram,8,19.8,18,7.68,3.2,Mon,0,Clear,0.806,3.6
T000060,Route_5,Tram,6,6.1,27,10.51,0.1,Tue,0,Clear,0.881,4.3
T000061,Route_17,Train,7,37.4,31,9.14,9.1,Thu,0,Clear,0.992,3.5
T000062,Route_4,Bus,21,41.7,40,10.46,4.0,Sun,0,Rain,0.757,2.9
T000063,Route_20,Train,22,17.5,30,6.6,17.6,Sat,0,Fog,0.953,3.4
T000064,Route_16,Tram,13,38.4,27,12.91,7.6,Mon,0,Clear,0.812,2.0
T000065,Route_17,Bus,1,16.2,30,8.99,2.9,Thu,0,Clear,0.774,4.7
T000066,Route_8,Tram,11,18.5,33,12.09,1.2,Wed,0,Clear,1.0,3.2
T000067,Route_4,Ferry,14,3.6,32,10.57,1.0,Tue,0,Rain,0.95,4.8
T000068,Route_17,Train,2,14.1,28,14.45,4.9,Fri,0,Clear,0.781,3.9
T000069,Route_19,Tram,5,6.9,31,10.71,0.9,Thu,0,Clear,1.0,3.2
T000070,Route_6,Tram,20,15.8,27,12.5,8.7,Fri,1,Clear,0.824,3.5
T000071,Route_4,Ferry,21,5.7,30,13.43,2.8,Fri,0,Snow,0.854,3.3
T000072,Route_15,Subway,18,12.4,33,2.94,4.6,Sun,0,Clear,0.919,3.9
T000073,Route_19,Subway,2,43.0,31,11.28,0.1,Sat,0,Clear,0.834,2.9
T000074,Route_10,Train,7,41.0,30,3.01,3.2,Sat,0,Clear,0.861,3.0
T000075,Route_10,Tram,11,26.9,26,5.05,8.4,Sat,0,Snow,0.85,3.8
T000076,Route_1,Train,20,14.8,30,14.27,0.0,Tue,0,Rain,0.847,4.0
T000077,Route_12,Bus,21,18.4,29,10.79,0.3,Fri,0,Fog,0.8,2.4
T000078,Route_19,Bus,12,40.9,28,2.96,1.7,Tue,0,Rain,0.856,3.5
T000079,Route_2,Train,17,11.7,43,7.49,7.1,Sat,0,Clear,0.831,2.1
T000080,Route_3,Subway,2,30.2,29,8.34,3.1,Sat,1,Rain,0.837,4.0
T000081,Route_15,Bus,12,2.2,24,3.1,5.0,Sun,0,Clear,1.0,3.0
T000082,Route_1,Ferry,11,20.6,21,4.33,10.5,Fri,0,Clear,0.818,2.9
T000083,Route_9,Train,2,31.6,30,6.56,6.6,Mon,0,Clear,0.745,3.0
T000084,Route_17,Bus,5,20.6,49,6.8,3.5,Fri,0,Clear,0.863,4.2
T000085,Route_2,Train,22,40.8,31,14.13,1.3,Thu,0,Clear,0.837,4.1
T000086,Route_5,Ferry,15,18.4,31,3.49,8.9,Sun,0,Clear,0.806,3.9
T000087,Route_11,Subway,12,35.9,35,10.69,0.7,Mon,0,Clear,1.0,3.3
T000088,Route_4,Ferry,6,40.2,26,3.46,1.2,Wed,0,Snow,0.881,3.3
T000089,Route_8,Subway,20,10.3,33,10.6,0.3,Wed,0,Clear,0.766,4.3
T000090,Route_8,Subway,22,10.2,24,14.72,1.7,Wed,0,Clear,0.993,2.8
T000091,Route_15,Subway,13,19.6,18,14.72,1.6,Mon,1,Clear,0.755,3.4
T000092,Route_9,Subway,18,33.0,36,5.07,5.8,Sat,0,Snow,0.715,3.7
T000093,Route_16,Bus,15,7.0,24,9.72,4.1,Sat,0,Rain,0.814,3.9
T000094,Route_6,Train,20,29.5,30,1.81,1.0,Sun,0,Clear,0.903,3.1
T000095,Route_12,Tram,16,15.7,32,10.83,2.2,Wed,0,Clear,0.786,3.3
T000096,Route_15,Bus,8,12.1,38,9.46,5.1,Thu,0,Clear,0.829,3.7
T000097,Route_9,Tram,16,23.1,26,4.02,2.6,Sun,0,Rain,0.668,4.2
T000098,Route_10,Bus,20,16.9,29,3.48,0.7,Wed,0,Clear,0.709,2.5
T000099,Route_3,Tram,2,9.8,22,4.47,2.9,Wed,0,Clear,0.672,3.3
T000100,Route_5,Ferry,20,16.7,26,9.59,2.4,Thu,0,Rain,0.935,3.2
T000101,Route_12,Subway,8,5.4,28,12.17,1.4,Mon,0,Fog,0.926,3.3
T000102,Route_18,Ferry,16,6.2,24,1.55,0.4,Mon,0,Clear,0.719,3.7
T000103,Route_11,Subway,0,22.4,32,13.56,5.2,Sun,0,Clear,0.955,3.0
T000104,Route_7,Train,9,14.2,26,6.46,5.8,Sat,0,Clear,0.801,3.4
T000105,Route_6,Ferry,10,34.4,31,4.37,3.4,Fri,0,Clear,0.961,2.7
T000106,Route_2,Subway,14,6.1,35,7.35,4.9,Mon,0,Clear,0.715,4.6
T000107,Route_15,Subway,18,36.6,33,10.03,4.8,Fri,0,Clear,0.796,3.7
T000108,Route_5,Bus,21,44.9,26,11.22,6.6,Thu,0,Clear,0.982,3.7
T000109,Route_19,Bus,9,4.0,17,13.39,1.9,Mon,1,Clear,0.896,3.1
T000110,Route_6,Bus,21,27.2,26,6.47,2.8,Wed,0,Clear,0.82,3.0
T000111,Route_19,Ferry,16,24.1,28,13.61,4.9,Sun,0,Snow,0.852,1.6
T000112,Route_19,Tram,5,25.7,33,6.82,2.9,Mon,0,Clear,0.73,3.5
T000113,Route_17,Tram,12,9.8,27,1.51,3.8,Tue,0,Clear,0.886,3.3
T000114,Route_7,Ferry,2,27.2,34,4.19,0.6,Wed,0,Clear,0.957,3.1
T000115,Route_10,Tram,16,5.3,39,2.8,4.2,Tue,0,Fog,0.633,2.6
T000116,Route_5,Subway,22,33.0,26,9.3,1.9,Fri,0,Clear,0.753,2.8
T000117,Route_5,Tram,3,22.7,31,3.62,16.1,Tue,0,Clear,0.73,4.6
T000118,Route_6,Tram,21,30.9,25,14.57,8.8,Thu,1,Snow,0.829,3.8
T000119,Route_13,Tram,18,39.5,37,2.39,13.3,Sun,0,Clear,0.837,2.7
T000120,Route_19,Train,10,20.4,31,4.08,1.5,Sun,0,Rain,0.801,4.3
T000121,Route_2,Ferry,6,8.4,27,11.16,3.6,Fri,0,Clear,0.675,3.4
T000122,Route_13,Tram,16,25.9,34,8.33,11.8,Fri,0,Clear,0.953,3.0
T000123,Route_5,Ferry,19,14.4,34,6.26,7.1,Mon,1,Fog,0.748,2.9
T000124,Route_4,Tram,6,27.8,27,5.74,5.7,Tue,0,Rain,0.868,3.2
T000125,Route_20,Train,6,18.1,23,4.05,17.9,Fri,0,Clear,0.828,2.7
T000126,Route_4,Subway,11,22.4,30,13.64,3.4,Sun,0,Clear,0.904,3.7
T000127,Route_6,Bus,13,26.3,30,10.62,4.0,Tue,0,Fog,0.802,3.2
T000128,Route_7,Train,21,25.9,28,10.35,4.3,Tue,0,Rain,0.924,4.5
T000129,Route_1,Tram,19,43.6,28,13.5,6.6,Fri,0,Rain,0.626,3.5
T000130,Route_20,Bus,4,23.9,33,7.48,0.9,Sat,0,Clear,0.98,3.2
T000131,Route_14,Subway,8,36.9,23,14.04,0.6,Mon,0,Rain,0.709,3.4
T000132,Route_5,Tram,7,18.0,26,12.64,0.3,Sun,0,Clear,0.774,3.5
T000133,Route_1,Tram,1,21.7,32,13.06,0.2,Sun,0,Rain,0.922,3.4
T000134,Route_19,Train,18,36.7,27,3.79,3.7,Sun,0,Rain,0.721,3.2
T000135,Route_4,Subway,8,41.5,34,8.44,2.3,Sun,0,Clear,0.956,4.1
T000136,Route_19,Ferry,20,41.4,17,7.57,1.7,Wed,0,Clear,0.717,3.6
T000137,Route_11,Subway,15,23.7,21,7.89,6.4,Tue,0,Snow,0.772,2.4
T000138,Route_4,Bus,7,4.9,21,5.24,6.1,Tue,0,Clear,0.864,3.0
T000139,Route_16,Train,13,20.1,22,6.8,22.9,Wed,1,Rain,0.872,3.0
T000140,Route_18,Ferry,14,21.5,28,10.1,0.2,Sat,0,Fog,0.745,1.8
T000141,Route_7,Train,19,42.9,32,14.61,2.9,Fri,0,Clear,0.878,3.4
T000142,Route_15,Subway,3,5.9,36,10.99,9.2,Sat,0,Clear,0.683,4.5
T000143,Route_18,Bus,10,44.0,28,7.38,0.3,Mon,0,Clear,1.0,1.9
T000144,Route_10,Train,15,38.1,40,9.7,4.8,Sun,0,Fog,0.856,2.7
T000145,Route_20,Ferry,9,2.5,29,10.11,1.1,Wed,0,Clear,0.731,2.4
T000146,Route_19,Ferry,2,8.6,24,7.67,3.1,Mon,0,Clear,0.961,4.5
T000147,Route_3,Train,21,26.3,27,5.21,8.0,Sat,0,Clear,1.0,5.0
T000148,Route_10,Ferry,22,33.1,30,2.14,4.1,Mon,0,Clear,0.726,2.3
T000149,Route_8,Ferry,16,24.2,31,9.5,2.6,Wed,0,Snow,0.793,2.1
T000150,Route_19,Ferry,0,38.7,25,7.81,2.4,Mon,0,Fog,0.79,4.0
T000151,Route_16,Tram,16,14.4,18,13.66,0.3,Thu,1,Rain,0.884,4.6
T000152,Route_7,Ferry,14,12.9,22,5.09,0.9,Thu,0,Clear,0.844,2.7
T000153,Route_3,Tram,17,10.3,33,2.97,0.7,Sun,0,Clear,0.862,2.8
T000154,Route_2,Tram,2,34.1,25,9.47,0.8,Wed,0,Clear,0.984,2.7
T000155,Route_12,Ferry,16,2.7,24,3.33,2.8,Sat,0,Rain,0.875,3.4
T000156,Route_15,Train,14,9.7,38,11.83,4.1,Wed,0,Clear,0.931,4.1
T000157,Route_17,Subway,8,20.5,33,9.05,4.7,Sun,0,Rain,0.845,4.2
T000158,Route_12,Train,12,11.6,38,6.59,10.6,Sun,0,Clear,0.636,3.2
T000159,Route_10,Bus,22,32.6,29,2.32,1.6,Wed,0,Clear,0.795,4.0
T000160,Route_2,Ferry,1,3.5,24,9.8,0.9,Sun,0,Rain,0.78,3.8
T000161,Route_13,Subway,6,32.6,35,8.48,1.7,Fri,0,Clear,0.887,3.5
T000162,Route_2,Train,3,7.3,41,5.63,0.6,Mon,0,Snow,0.766,3.1
T000163,Route_17,Subway,8,1.3,28,13.87,14.9,Sat,0,Clear,0.886,4.2
T000164,Route_14,Subway,8,10.5,27,6.92,1.4,Sun,0,Fog,0.887,4.9
T000165,Route_14,Subway,7,33.2,38,14.09,0.4,Wed,0,Clear,1.0,2.6
T000166,Route_10,Ferry,7,42.9,28,7.58,1.1,Sat,0,Rain,0.702,3.5
T000167,Route_5,Ferry,20,10.4,24,12.24,10.8,Sat,0,Clear,0.875,4.0
T000168,Route_7,Bus,19,33.3,33,9.31,0.8,Mon,0,Clear,1.0,3.7
T000169,Route_10,Tram,2,29.5,22,5.47,3.3,Sat,0,Rain,0.892,4.4
T000170,Route_11,Ferry,7,14.3,34,9.46,11.0,Sat,1,Clear,0.733,3.7
T000171,Route_6,Train,1,14.4,30,4.98,6.8,Mon,0,Clear,0.87,5.0
T000172,Route_12,Train,5,26.3,27,8.75,7.2,Tue,0,Rain,1.0,3.9
T000173,Route_7,Subway,21,28.6,27,14.11,10.1,Wed,1,Clear,0.726,3.6
T000174,Route_12,Tram,22,37.6,29,8.27,1.0,Wed,0,Clear,0.786,3.5
T000175,Route_19,Subway,22,39.4,33,5.99,1.4,Tue,0,Clear,0.912,2.8
T000176,Route_7,Subway,4,22.0,27,10.21,6.0,Tue,1,Clear,0.838,4.9
T000177,Route_3,Subway,9,5.6,26,5.14,2.6,Tue,0,Clear,0.765,5.0
T000178,Route_13,Bus,10,3.1,37,9.92,1.5,Tue,0,Clear,0.726,4.6
T000179,Route_19,Train,11,23.9,35,5.53,13.9,Sat,0,Clear,0.929,3.9
T000180,Route_14,Subway,13,17.5,32,7.33,11.1,Wed,0,Clear,0.683,4.6
T000181,Route_20,Bus,5,39.4,34,4.89,20.0,Tue,0,Clear,0.864,3.1
T000182,Route_16,Tram,15,40.9,34,11.7,5.8,Sun,1,Rain,0.93,3.6
T000183,Route_13,Train,15,26.2,27,13.51,7.5,Tue,0,Clear,0.82,2.8
T000184,Route_19,Train,18,10.7,32,8.9,3.2,Wed,0,Rain,0.837,3.0
T000185,Route_6,Bus,20,4.5,36,11.15,2.1,Sat,0,Clear,0.951,5.0
T000186,Route_20,Subway,21,13.3,33,14.51,5.3,Fri,0,Clear,0.871,2.5
T000187,Route_20,Tram,2,28.6,29,2.12,4.4,Sun,0,Clear,0.815,4.0
T000188,Route_19,Tram,3,2.5,33,8.63,0.9,Mon,0,Clear,0.869,4.2
T000189,Route_8,Subway,8,17.4,40,9.22,5.2,Tue,0,Rain,0.754,4.3
T000190,Route_3,Subway,4,26.1,24,13.16,0.1,Thu,0,Clear,0.744,3.8
T000191,Route_4,Ferry,19,36.0,30,4.06,12.2,Sat,0,Fog,0.911,4.8
T000192,Route_12,Ferry,20,11.5,27,6.09,1.6,Sat,0,Clear,0.979,3.5
T000193,Route_17,Tram,10,27.1,36,5.93,0.2,Sun,0,Clear,0.867,3.9
T000194,Route_4,Bus,6,28.3,26,9.1,1.5,Tue,0,Rain,0.866,4.2
T000195,Route_5,Train,16,39.7,27,10.38,0.6,Thu,0,Clear,0.761,2.1
T000196,Route_8,Ferry,3,11.5,36,12.04,1.9,Fri,0,Clear,0.773,2.7
T000197,Route_3,Tram,7,3.5,29,10.52,1.1,Sat,0,Clear,0.746,4.0
T000198,Route_12,Subway,16,33.2,33,7.48,1.4,Sat,0,Clear,0.982,4.9
T000199,Route_5,Tram,11,36.3,32,4.19,15.3,Fri,0,Clear,0.958,3.2
T000200,Route_3,Subway,10,36.5,37,6.52,3.3,Mon,0,Clear,1.0,4.0
T000201,Route_4,Tram,13,11.4,32,3.87,1.9,Thu,0,Snow,0.818,4.7
T000202,Route_15,Train,22,31.8,32,12.67,2.7,Thu,1,Clear,0.826,4.6
T000203,Route_18,Tram,19,31.3,33,11.36,4.5,Wed,0,Rain,0.941,4.0
T000204,Route_20,Subway,5,22.6,26,4.47,12.4,Sat,0,Clear,0.821,4.4
T000205,Route_1,Ferry,16,37.5,38,5.83,1.2,Mon,0,Clear,0.978,2.9
T000206,Route_3,Subway,18,2.8,39,2.88,3.7,Mon,0,Clear,0.951,3.3
T000207,Route_18,Bus,0,34.6,27,11.57,5.9,Thu,0,Clear,0.844,2.4
T000208,Route_6,Ferry,17,31.2,26,13.46,0.3,Mon,0,Clear,0.967,3.2
T000209,Route_6,Tram,4,39.8,28,3.78,1.3,Mon,0,Rain,0.928,3.9
T000210,Route_18,Train,11,14.0,34,1.72,7.1,Thu,0,Rain,0.896,4.3
T000211,Route_9,Tram,7,29.0,29,13.54,1.5,Mon,0,Rain,0.936,4.1
T000212,Route_1,Train,8,17.1,33,4.96,0.5,Mon,0,Clear,0.94,3.8
T000213,Route_6,Tram,3,22.0,33,14.38,3.0,Tue,0,Rain,0.857,2.4
T000214,Route_2,Ferry,7,23.1,33,11.53,4.2,Mon,1,Clear,0.883,2.7
T000215,Route_3,Bus,19,6.3,29,6.16,2.1,Mon,0,Rain,0.926,4.6
T000216,Route_4,Subway,15,7.2,26,5.58,6.4,Mon,1,Snow,0.899,3.1
T000217,Route_20,Tram,12,7.5,30,4.26,3.5,Fri,0,Clear,0.9,2.6
T000218,Route_2,Bus,17,27.3,26,10.37,13.5,Thu,0,Clear,0.714,1.8
T000219,Route_2,Bus,6,11.3,24,7.38,3.3,Sun,0,Clear,0.857,3.1
T000220,Route_3,Bus,18,45.0,21,14.62,10.5,Sun,0,Clear,0.936,2.8
T000221,Route_10,Tram,7,6.0,32,4.69,0.2,Mon,0,Clear,0.782,3.1
T000222,Route_10,Ferry,4,1.8,23,11.87,1.9,Mon,0,Snow,0.877,2.9
T000223,Route_5,Ferry,9,34.4,23,10.1,3.2,Sat,0,Rain,0.791,2.7
T000224,Route_15,Ferry,13,31.8,29,8.4,1.1,Sun,0,Snow,0.853,4.4
T000225,Route_14,Train,1,26.3,33,12.5,0.8,Wed,0,Rain,0.891,4.2
T000226,Route_15,Bus,18,39.5,35,7.25,2.6,Tue,0,Clear,0.821,3.7
T000227,Route_4,Subway,15,31.1,34,2.97,6.4,Fri,0,Rain,0.774,3.1
T000228,Route_8,Subway,8,40.9,28,6.35,2.4,Wed,0,Snow,0.888,3.1
T000229,Route_17,Ferry,7,30.9,32,9.38,5.6,Fri,0,Clear,0.793,4.1
T000230,Route_15,Bus,16,15.1,33,11.63,8.7,Sun,0,Clear,0.655,1.5
T000231,Route_10,Bus,10,34.8,25,14.71,0.5,Tue,1,Fog,0.648,3.7
T000232,Route_1,Ferry,12,7.1,35,2.37,0.2,Tue,0,Clear,0.877,2.2
T000233,Route_11,Ferry,2,30.8,26,6.9,5.0,Tue,0,Clear,0.907,3.6
T000234,Route_17,Bus,20,1.3,22,9.89,0.7,Wed,0,Clear,0.897,3.3
T000235,Route_8,Tram,7,7.5,27,7.74,5.9,Thu,0,Clear,0.778,4.8
T000236,Route_11,Tram,6,17.9,20,3.13,0.7,Tue,0,Clear,0.981,3.9
T000237,Route_14,Bus,19,15.1,34,4.82,4.1,Sun,0,Rain,0.946,4.7
T000238,Route_16,Train,20,26.9,27,8.94,2.8,Fri,0,Clear,0.895,2.8
T000239,Route_2,Bus,9,37.4,39,11.19,3.8,Sun,0,Clear,0.834,2.9
T000240,Route_16,Bus,18,15.2,34,14.24,8.0,Wed,0,Clear,0.815,2.5
T000241,Route_11,Ferry,17,26.1,23,2.84,2.8,Thu,0,Rain,0.972,1.0
T000242,Route_9,Bus,14,43.0,27,10.6,0.5,Fri,0,Clear,0.908,3.4
T000243,Route_12,Subway,6,21.6,33,8.86,0.9,Mon,0,Rain,0.76,4.1
T000244,Route_19,Train,10,41.4,34,5.19,4.8,Tue,0,Clear,0.715,2.7
T000245,Route_14,Bus,10,1.5,38,11.45,1.8,Thu,0,Rain,0.993,3.4
T000246,Route_17,Tram,21,34.2,28,3.32,2.6,Mon,0,Clear,0.806,3.7
T000247,Route_2,Train,4,3.9,27,9.87,1.1,Sun,0,Snow,0.882,3.3
T000248,Route_12,Tram,1,5.9,33,1.88,4.1,Mon,1,Clear,0.896,5.0
T000249,Route_15,Bus,10,13.5,26,7.17,1.7,Sun,0,Clear,0.861,3.1
T000250,Route_18,Train,2,11.2,32,7.64,16.5,Tue,0,Rain,0.9,4.4
T000251,Route_19,Subway,8,22.0,23,1.55,0.5,Mon,0,Clear,0.895,4.0
T000252,Route_14,Subway,2,30.7,35,13.17,11.1,Fri,0,Clear,0.703,3.4
T000253,Route_2,Ferry,2,42.3,32,9.05,8.1,Sun,0,Fog,0.954,4.4
T000254,Route_11,Tram,3,12.3,27,2.56,11.7,Fri,0,Clear,0.86,2.6
T000255,Route_7,Subway,9,31.8,42,8.08,10.1,Mon,0,Clear,0.701,4.6
T000256,Route_9,Tram,8,42.8,33,5.29,0.3,Sat,0,Clear,0.907,2.5
T000257,Route_13,Train,18,24.6,37,11.56,5.0,Thu,0,Clear,0.973,4.8
T000258,Route_20,Bus,1,25.9,26,14.27,3.8,Sun,0,Rain,0.685,3.2
T000259,Route_12,Train,20,34.0,24,12.11,1.4,Sun,0,Clear,0.836,3.3
T000260,Route_14,Subway,0,12.4,25,13.59,4.2,Fri,0,Clear,0.734,3.6
T000261,Route_6,Train,1,7.8,27,14.14,10.4,Tue,0,Rain,0.888,3.9
T000262,Route_13,Train,9,17.6,32,10.97,9.8,Thu,0,Clear,1.0,3.2
T000263,Route_5,Ferry,0,39.1,30,14.39,11.9,Mon,0,Rain,0.773,2.2
T000264,Route_8,Tram,4,31.7,41,9.75,12.2,Wed,0,Clear,0.908,5.0
T000265,Route_13,Bus,19,33.5,31,9.71,16.3,Mon,0,Snow,0.882,2.1
T000266,Route_1,Tram,11,34.9,28,9.18,10.7,Fri,0,Clear,0.927,3.7
T000267,Route_9,Ferry,20,27.2,38,6.89,0.7,Sat,0,Clear,0.923,2.8
T000268,Route_9,Train,15,44.6,34,11.83,5.8,Fri,0,Snow,0.933,3.7
T000269,Route_8,Ferry,19,11.5,25,3.38,7.6,Wed,0,Clear,0.784,3.5
T000270,Route_13,Subway,10,33.4,29,7.04,1.6,Sat,0,Snow,0.659,4.4
T000271,Route_15,Tram,6,42.6,41,12.06,6.3,Wed,0,Fog,0.602,4.7
T000272,Route_20,Ferry,18,3.9,27,1.52,3.5,Tue,0,Rain,0.867,3.3
T000273,Route_10,Ferry,6,6.2,27,12.48,1.1,Tue,0,Fog,0.727,3.0
T000274,Route_18,Tram,10,19.5,19,4.56,7.5,Thu,0,Clear,0.899,4.3
T000275,Route_11,Bus,19,25.3,36,2.51,15.2,Sat,0,Clear,0.928,3.9
T000276,Route_16,Bus,14,31.7,24,9.41,4.0,Tue,0,Clear,0.918,4.8
T000277,Route_8,Subway,18,43.3,28,6.36,4.9,Fri,0,Rain,0.883,2.5
T000278,Route_12,Train,14,31.3,38,4.36,2.5,Tue,0,Clear,0.974,4.1
T000279,Route_3,Subway,0,23.2,29,11.63,1.8,Tue,0,Rain,0.623,2.6
T000280,Route_3,Tram,11,34.0,30,3.04,3.1,Tue,1,Rain,0.894,4.2
T000281,Route_14,Bus,13,5.2,28,12.43,1.7,Tue,0,Clear,1.0,1.9
T000282,Route_15,Subway,0,43.4,25,3.48,22.2,Fri,0,Clear,0.831,4.9
T000283,Route_10,Ferry,0,3.4,25,14.99,2.2,Wed,1,Clear,0.767,4.3
T000284,Route_9,Bus,3,12.5,25,12.83,0.1,Wed,0,Snow,0.775,3.3
T000285,Route_10,Train,10,4.4,24,9.12,4.6,Wed,0,Clear,0.972,4.9
T000286,Route_7,Bus,20,5.7,29,1.82,5.1,Mon,0,Snow,0.816,3.8
T000287,Route_5,Train,11,44.7,27,11.27,12.4,Sun,0,Clear,0.885,3.6
T000288,Route_11,Bus,14,15.5,31,14.63,6.2,Tue,0,Rain,1.0,2.8
T000289,Route_19,Tram,11,8.5,20,13.26,10.3,Fri,0,Snow,0.726,5.0
T000290,Route_2,Train,14,2.8,31,13.86,0.5,Sun,0,Rain,1.0,4.1
T000291,Route_15,Bus,4,29.8,30,2.4,4.5,Thu,0,Clear,0.834,4.3
T000292,Route_16,Bus,3,42.1,35,14.73,2.2,Sat,0,Clear,0.839,2.8
T000293,Route_12,Bus,14,15.2,21,6.47,1.1,Mon,0,Clear,0.878,4.3
T000294,Route_15,Subway,14,5.9,39,7.99,2.8,Mon,0,Clear,0.899,2.7
