trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,revenue,operational_cost
T000092,Route_11,Bus,13,30.1,29,7.96,3.2,Fri,0,Fog,272.72,69.2
T000093,Route_16,Train,7,38.6,19,5.01,2.6,Thu,0,Clear,109.25,87.74
T000094,Route_10,Train,1,25.8,30,6.18,1.3,Tue,0,Rain,212.88,65.31
T000095,Route_2,Tram,7,43.8,29,9.79,2.4,Tue,0,Clear,266.26,121.42
T000096,Route_15,Ferry,22,5.2,30,2.22,7.4,Sun,0,Clear,77.25,16.05
T000097,Route_15,Train,22,43.5,25,9.08,0.1,Sun,0,Snow,201.19,115.3
T000098,Route_6,Ferry,11,5.3,31,11.91,6.0,Sun,0,Rain,306.92,5.0
T000099,Route_20,Train,13,1.3,27,3.9,26.4,Sat,0,Rain,106.11,5.0
T000100,Route_2,Bus,2,29.8,31,7.79,1.6,Wed,0,Rain,262.72,84.54
T000101,Route_9,Subway,8,0.8,34,8.25,1.9,Fri,1,Clear,313.29,8.09
T000102,Route_1,Ferry,4,21.3,26,6.72,6.4,Wed,0,Clear,148.01,63.62
T000103,Route_6,Subway,1,37.5,36,7.11,5.1,Sun,0,Clear,227.19,107.28
T000104,Route_18,Ferry,8,44.5,23,14.29,12.5,Sat,0,Clear,361.8,120.71
T000105,Route_17,Subway,14,0.6,30,7.44,1.1,Thu,0,Rain,200.78,5.0
T000106,Route_9,Tram,11,12.6,36,11.42,9.8,Mon,0,Rain,418.69,23.4
T000107,Route_3,Subway,0,30.6,27,14.87,14.7,Tue,0,Clear,365.02,58.59
T000108,Route_13,Tram,10,15.3,27,12.96,8.8,Sun,0,Rain,305.31,27.33
T000109,Route_1,Bus,19,25.9,31,6.18,1.3,Tue,0,Clear,170.73,60.56
T000110,Route_3,Subway,0,13.5,35,3.29,5.5,Thu,0,Clear,117.36,30.91
T000111,Route_2,Train,14,4.1,34,11.58,2.6,Wed,0,Clear,455.98,9.11
T000112,Route_13,Train,2,6.9,26,10.66,0.3,Sun,0,Rain,258.37,25.99
T000113,Route_14,Tram,9,38.6,29,8.21,7.4,Wed,0,Clear,195.76,103.9
T000114,Route_2,Tram,10,17.1,32,3.64,1.3,Fri,1,Rain,135.71,50.38
T000115,Route_11,Train,11,25.4,22,14.7,0.9,Wed,0,Rain,319.93,61.32
T000116,Route_20,Train,8,41.3,36,10.65,3.4,Mon,0,Rain,450.29,117.87
T000117,Route_9,Tram,21,17.6,25,14.66,23.8,Sat,0,Clear,386.0,52.16
T000118,Route_11,Bus,22,39.1,25,11.45,3.3,Tue,0,Clear,251.58,114.6
T000119,Route_2,Train,2,41.3,42,2.88,0.4,Sun,0,Rain,108.28,98.24
T000120,Route_9,Ferry,18,42.0,33,12.29,4.3,Thu,0,Clear,483.52,112.51
T000121,Route_8,Train,18,23.8,27,13.14,1.5,Sun,0,Clear,405.98,52.4
T000122,Route_10,Ferry,4,27.3,22,4.74,1.8,Tue,0,Clear,121.13,82.28
T000123,Route_6,Subway,6,14.8,25,8.5,3.8,Thu,0,Clear,183.61,44.29
T000124,Route_4,Bus,3,27.6,29,2.94,0.6,Fri,0,Clear,69.39,90.42
T000125,Route_15,Bus,16,29.6,34,6.51,3.2,Thu,0,Clear,215.69,76.41
T000126,Route_20,Train,9,31.8,27,13.34,4.4,Wed,0,Clear,380.11,74.49
T000127,Route_1,Bus,16,20.9,27,12.93,2.1,Sat,1,Fog,363.64,50.7
T000128,Route_12,Bus,19,29.2,24,13.07,3.8,Sun,1,Clear,281.81,83.92
T000129,Route_3,Ferry,3,37.9,25,10.32,1.6,Sun,0,Rain,226.02,93.53
T000130,Route_10,Ferry,4,26.6,24,11.72,6.3,Wed,0,Clear,309.67,85.89
T000131,Route_6,Ferry,18,38.8,24,7.65,0.5,Tue,0,Clear,197.03,103.88
T000132,Route_3,Subway,12,1.0,25,9.42,3.0,Mon,0,Clear,279.92,5.0
T000133,Route_9,Tram,18,26.1,35,11.34,1.1,Sun,0,Rain,360.67,64.12
T000134,Route_13,Tram,6,16.3,30,1.75,4.4,Mon,0,Clear,57.33,24.2
T000135,Route_12,Bus,16,40.9,32,5.75,3.2,Thu,0,Clear,212.85,125.8
T000136,Route_6,Ferry,2,12.3,35,4.48,1.5,Fri,0,Rain,132.05,31.89
T000137,Route_18,Train,8,42.9,34,10.36,0.1,Wed,0,Rain,394.88,104.81
T000138,Route_12,Ferry,17,23.8,33,11.84,5.2,Sun,0,Rain,449.14,51.27
T000139,Route_5,Ferry,21,15.1,21,8.82,17.7,Mon,1,Clear,186.28,56.49
T000140,Route_1,Subway,16,39.7,29,3.58,12.7,Sun,1,Clear,113.44,111.86
T000141,Route_19,Tram,7,19.5,31,13.62,15.3,Thu,0,Rain,419.63,57.45
T000142,Route_7,Subway,14,41.3,30,9.67,0.6,Thu,0,Snow,254.57,112.58
T000143,Route_7,Bus,17,3.9,23,14.29,11.7,Sun,0,Clear,333.75,7.29
T000144,Route_13,Tram,8,15.8,32,3.95,8.9,Sun,0,Clear,122.82,34.34
T000145,Route_12,Train,10,33.1,25,11.26,0.6,Sun,0,Clear,253.4,86.05
T000146,Route_2,Train,4,6.1,29,4.22,1.5,Thu,1,Rain,112.82,5.0
T000147,Route_12,Tram,19,43.9,31,9.98,10.0,Sun,1,Rain,367.45,101.79
T000148,Route_20,Bus,19,6.5,28,7.49,2.2,Thu,0,Clear,220.96,7.94
T000149,Route_4,Tram,21,39.2,35,7.49,3.8,Fri,0,Fog,267.82,103.41
T000150,Route_6,Train,20,22.1,24,13.21,0.3,Tue,0,Snow,379.65,58.76
T000151,Route_7,Tram,3,3.5,28,12.78,2.4,Mon,0,Rain,324.17,12.25
T000152,Route_5,Tram,16,4.4,28,7.04,0.6,Wed,0,Clear,193.44,19.98
T000153,Route_11,Train,9,31.2,31,12.84,11.4,Sun,0,Clear,421.56,70.39
T000154,Route_12,Ferry,14,20.2,34,10.43,2.6,Wed,0,Fog,373.17,50.32
T000155,Route_6,Subway,2,42.3,27,13.53,6.5,Wed,0,Fog,391.02,95.36
T000156,Route_16,Subway,6,9.2,32,3.69,0.2,Mon,0,Clear,96.31,32.38
T000157,Route_4,Train,6,39.5,24,13.19,2.4,Sun,0,Rain,264.91,97.06
T000158,Route_15,Bus,16,10.5,28,6.06,3.1,Mon,0,Fog,181.79,25.62
T000159,Route_7,Bus,14,24.8,26,9.71,2.3,Fri,0,Clear,221.32,88.11
T000160,Route_1,Ferry,6,22.7,28,6.71,0.3,Mon,0,Clear,209.7,48.96
T000161,Route_7,Ferry,16,26.4,20,14.19,19.3,Tue,0,Clear,257.91,80.83
T000162,Route_10,Bus,10,13.9,33,4.75,8.8,Sun,0,Clear,171.79,31.97
T000163,Route_12,Tram,9,18.2,23,5.25,1.7,Tue,0,Clear,118.0,47.03
T000164,Route_1,Subway,21,15.9,33,11.46,3.7,Sat,0,Rain,406.98,37.22
T000165,Route_10,Tram,17,24.1,32,14.53,11.4,Wed,0,Clear,434.58,50.48
T000166,Route_1,Bus,16,7.1,24,10.71,0.2,Fri,0,Clear,213.92,17.57
T000167,Route_16,Tram,17,41.9,34,5.41,0.5,Sun,0,Clear,198.55,112.48
T000168,Route_10,Ferry,0,7.8,34,9.19,15.0,Thu,0,Clear,277.92,13.89
T000169,Route_10,Ferry,15,6.4,22,6.47,4.2,Tue,1,Clear,116.28,18.33
T000170,Route_1,Train,11,16.5,31,13.94,4.4,Thu,0,Clear,384.22,35.66
T000171,Route_11,Subway,5,27.3,32,2.31,4.2,Mon,0,Rain,63.47,66.46
T000172,Route_3,Ferry,13,19.1,37,3.79,16.6,Tue,0,Rain,118.86,35.35
T000173,Route_1,Tram,3,32.2,34,11.04,0.5,Sat,0,Fog,398.41,107.32
T000174,Route_12,Tram,4,18.9,23,2.93,4.3,Sun,0,Clear,62.02,55.28
T000175,Route_8,Train,19,34.0,27,4.64,1.8,Sat,1,Snow,142.7,77.28
T000176,Route_12,Train,4,43.4,34,4.14,4.0,Sun,0,Rain,153.79,100.93
T000177,Route_6,Ferry,20,18.6,16,11.45,0.3,Fri,0,Rain,157.96,31.4
T000178,Route_13,Bus,13,43.8,24,3.76,6.7,Sun,0,Clear,85.99,115.45
T000179,Route_18,Subway,19,12.4,31,14.55,3.3,Wed,0,Snow,404.55,31.38
T000180,Route_4,Ferry,16,30.5,35,2.2,11.1,Fri,1,Rain,67.69,77.4
T000181,Route_15,Subway,2,34.4,27,14.6,1.0,Sun,1,Rain,377.22,90.64
T000182,Route_3,Bus,15,44.1,33,5.98,6.6,Sat,0,Rain,199.46,102.97
T000183,Route_6,Ferry,3,22.1,39,8.2,7.2,Tue,0,Clear,308.84,63.68
T000184,Route_3,Train,0,31.8,38,11.44,0.0,Tue,0,Clear,399.18,83.66
T000185,Route_7,Ferry,7,28.1,36,6.02,10.0,Sat,0,Clear,187.52,78.16
T000186,Route_4,Bus,3,8.9,28,2.57,0.3,Sun,0,Fog,67.18,27.87
T000187,Route_5,Tram,2,38.9,32,12.25,6.5,Wed,0,Snow,378.78,97.25
T000188,Route_17,Ferry,11,3.8,29,2.07,0.3,Sun,1,Rain,64.6,18.55
T000189,Route_19,Bus,20,32.1,23,9.91,3.8,Wed,0,Clear,236.43,81.86
T000190,Route_1,Tram,3,7.1,30,10.53,0.3,Fri,1,Rain,354.46,21.95
T000191,Route_16,Tram,3,6.5,38,9.56,5.2,Mon,0,Snow,297.92,12.34
T000192,Route_1,Train,5,23.0,23,4.12,0.6,Sun,0,Fog,97.28,71.32
T000193,Route_16,Tram,20,1.0,35,2.63,0.9,Thu,0,Rain,104.31,5.0
T000194,Route_20,Tram,17,36.2,26,9.84,2.0,Sun,1,Clear,219.73,90.8
T000195,Route_6,Train,3,13.7,20,8.98,0.5,Tue,0,Fog,165.02,16.61
T000196,Route_10,Subway,17,34.3,32,5.63,1.8,Sat,0,Clear,192.67,78.69
T000197,Route_2,Bus,19,44.2,26,3.35,17.3,Thu,0,Snow,86.26,114.0
T000198,Route_1,Tram,15,1.9,23,6.42,0.2,Sat,0,Rain,123.14,5.0
T000199,Route_14,Ferry,19,37.3,26,7.25,10.2,Sun,0,Rain,156.7,103.41
T000200,Route_15,Tram,14,14.1,26,10.44,4.6,Sun,0,Clear,230.08,21.84
T000201,Route_10,Tram,19,43.2,26,13.41,0.1,Wed,0,Clear,313.41,106.92
T000202,Route_20,Ferry,9,36.9,38,3.89,0.5,Mon,0,Rain,122.33,70.81
T000203,Route_13,Train,19,21.1,28,2.63,0.1,Thu,0,Clear,84.91,55.32
T000204,Route_17,Tram,11,32.6,28,14.99,1.3,Fri,1,Snow,466.0,85.31
T000205,Route_5,Subway,11,37.4,25,7.66,5.1,Mon,0,Fog,201.46,101.93
T000206,Route_7,Subway,17,26.3,38,5.8,11.6,Sat,0,Fog,254.44,92.56
T000207,Route_14,Bus,22,39.3,38,13.66,2.8,Mon,0,Rain,527.26,94.57
T000208,Route_1,Subway,22,19.0,31,10.35,1.2,Thu,0,Rain,376.35,42.16
T000209,Route_7,Bus,16,34.3,30,12.45,2.4,Thu,0,Clear,373.43,80.54
T000210,Route_1,Bus,3,1.7,28,4.06,5.1,Tue,0,Clear,94.54,5.0
T000211,Route_20,Ferry,11,6.8,31,14.65,3.3,Thu,0,Clear,374.25,18.34
T000212,Route_10,Subway,11,6.8,32,8.05,6.5,Wed,0,Clear,275.43,19.93
T000213,Route_3,Subway,16,8.4,36,14.3,13.9,Mon,0,Clear,424.04,19.24
T000214,Route_16,Ferry,2,16.0,30,3.01,3.7,Sat,0,Clear,97.86,32.19
T000215,Route_15,Bus,0,43.4,28,14.5,4.4,Sat,0,Clear,478.61,104.06
T000216,Route_6,Train,8,4.0,39,6.27,8.1,Sat,0,Clear,250.41,5.0
T000217,Route_3,Subway,14,27.8,22,12.49,0.5,Wed,1,Clear,327.99,69.43
T000218,Route_14,Tram,5,5.2,37,4.04,6.2,Thu,0,Fog,176.51,27.92
T000219,Route_4,Bus,14,21.8,28,7.41,3.7,Tue,0,Clear,168.4,60.38
T000220,Route_19,Tram,20,34.5,17,3.43,1.7,Sun,0,Rain,48.34,93.29
T000221,Route_14,Train,21,26.3,30,14.79,13.4,Sat,0,Clear,374.81,70.79
T000222,Route_2,Bus,13,40.7,26,13.83,10.4,Sun,0,Fog,406.72,116.93
T000223,Route_15,Ferry,3,32.7,32,2.32,13.4,Sun,0,Clear,72.83,81.06
T000224,Route_5,Ferry,18,39.9,25,12.87,3.0,Mon,0,Rain,357.02,95.82
T000225,Route_1,Ferry,14,36.3,25,9.38,0.3,Tue,0,Fog,266.36,92.2
T000226,Route_1,Subway,21,1.5,33,14.04,12.4,Thu,0,Rain,478.61,6.2
T000227,Route_6,Subway,18,25.1,33,6.74,4.0,Sun,0,Snow,257.4,69.99
T000228,Route_15,Tram,22,25.0,24,4.7,0.3,Sun,0,Clear,129.55,65.93
T000229,Route_13,Subway,11,9.2,25,2.77,3.2,Mon,0,Rain,81.69,45.1
T000230,Route_16,Ferry,12,19.6,30,9.52,4.1,Wed,0,Snow,321.22,50.67
T000231,Route_8,Bus,0,36.5,26,3.05,3.0,Mon,1,Fog,73.8,85.4
T000232,Route_19,Train,20,0.5,41,2.71,2.8,Tue,0,Clear,92.53,5.0
T000233,Route_9,Tram,8,32.9,34,1.86,0.9,Sun,0,Clear,72.25,106.39
T000234,Route_11,Bus,9,5.4,27,13.49,16.1,Wed,0,Rain,428.03,24.88
T000235,Route_4,Train,4,41.7,25,14.01,0.2,Mon,0,Rain,300.72,101.81
T000236,Route_15,Ferry,1,21.6,26,13.64,9.7,Sat,0,Clear,415.63,40.49
T000237,Route_1,Train,17,17.7,32,9.97,0.3,Thu,0,Rain,309.13,38.89
T000238,Route_12,Bus,21,8.6,40,8.19,2.2,Wed,0,Clear,385.07,21.44
T000239,Route_17,Ferry,3,32.9,25,13.1,1.1,Tue,1,Clear,389.6,83.66
T000240,Route_7,Ferry,17,3.0,30,11.53,1.0,Tue,0,Clear,303.16,10.65
T000241,Route_13,Tram,8,22.8,31,7.14,3.1,Tue,0,Rain,209.63,61.38
T000242,Route_9,Train,16,34.2,33,12.67,0.3,Mon,1,Clear,389.86,102.42
T000243,Route_14,Ferry,18,28.2,27,6.5,5.6,Sat,0,Clear,142.95,83.7
T000244,Route_10,Bus,10,35.5,20,6.0,3.0,Tue,0,Rain,104.84,89.13
T000245,Route_5,Tram,19,23.6,30,7.11,0.3,Mon,0,Rain,171.81,58.12
T000246,Route_11,Bus,16,38.9,32,5.5,15.4,Sun,0,Clear,187.83,89.68
T000247,Route_19,Train,4,5.1,27,9.73,5.4,Tue,0,Rain,242.02,6.69
T000248,Route_12,Tram,11,16.9,29,4.65,3.2,Sat,0,Clear,119.66,29.93
T000249,Route_9,Tram,8,23.0,30,11.71,2.8,Wed,0,Rain,405.1,62.28
T000250,Route_9,Ferry,4,40.5,29,14.89,4.5,Sat,1,Rain,355.9,92.27
T000251,Route_11,Bus,18,17.9,24,3.06,8.0,Tue,0,Clear,85.35,43.68
T000252,Route_20,Bus,21,38.3,27,12.54,14.5,Thu,0,Snow,301.94,80.91
T000253,Route_1,Subway,5,29.9,20,2.51,26.0,Mon,0,Snow,53.65,82.86
T000254,Route_15,Bus,7,12.4,34,11.93,14.8,Mon,0,Clear,476.5,40.33
T000255,Route_15,Tram,11,15.3,21,3.7,5.8,Sun,0,Clear,83.75,32.68
T000256,Route_5,Subway,1,4.1,33,8.2,1.8,Fri,0,Clear,316.27,5.0
T000257,Route_7,Ferry,22,32.9,34,8.51,0.1,Tue,0,Clear,260.63,88.53
T000258,Route_3,Bus,12,1.2,26,13.62,0.3,Fri,0,Fog,357.19,5.0
T000259,Route_11,Train,21,1.4,44,5.88,2.3,Sat,0,Clear,238.61,5.0
T000260,Route_10,Ferry,9,30.4,22,14.55,1.2,Fri,0,Clear,372.78,61.38
T000261,Route_10,Train,4,18.2,30,4.94,3.8,Sun,0,Rain,166.53,27.25
T000262,Route_12,Train,20,28.4,30,10.7,4.3,Sat,0,Snow,258.62,84.11
T000263,Route_10,Ferry,16,19.1,22,12.06,0.5,Fri,0,Clear,236.9,35.52
T000264,Route_10,Train,20,23.2,12,3.14,9.2,Thu,0,Clear,31.81,62.19
T000265,Route_16,Ferry,18,1.4,37,7.99,2.9,Tue,1,Clear,285.9,5.0
T000266,Route_5,Tram,0,31.1,39,14.56,10.7,Sun,0,Clear,606.75,77.93
T000267,Route_3,Subway,12,14.9,32,11.74,5.5,Sun,0,Clear,327.19,43.92
T000268,Route_10,Bus,2,25.3,26,12.05,0.0,Sun,0,Clear,322.46,64.18
T000269,Route_1,Subway,16,21.6,32,4.16,6.7,Tue,0,Rain,124.7,56.99
T000270,Route_12,Tram,20,26.6,38,6.34,16.6,Fri,0,Snow,211.02,64.33
T000271,Route_18,Train,10,21.1,26,9.8,3.1,Tue,0,Clear,273.24,46.0
T000272,Route_12,Bus,1,34.2,32,2.74,6.5,Tue,0,Rain,92.97,78.22
T000273,Route_2,Tram,13,25.0,25,2.09,4.5,Sun,0,Clear,47.41,71.29
T000274,Route_20,Ferry,7,3.2,32,3.63,3.2,Tue,0,Fog,134.34,5.0
T000275,Route_2,Bus,8,25.7,30,14.13,1.3,Sun,0,Clear,481.93,75.77
T000276,Route_6,Tram,1,12.7,28,9.08,0.5,Fri,0,Clear,277.94,26.96
T000277,Route_11,Train,13,26.8,18,3.18,0.8,Wed,0,Clear,58.91,57.85
T000278,Route_13,Bus,18,1.2,31,12.18,7.5,Tue,0,Rain,444.54,6.05
T000279,Route_14,Bus,20,37.0,28,13.07,5.2,Sun,0,Clear,435.15,99.42
T000280,Route_11,Bus,21,4.9,31,5.47,7.1,Sun,0,Clear,189.1,5.0
T000281,Route_14,Bus,5,25.8,23,7.29,4.1,Fri,0,Clear,152.86,66.98
T000282,Route_2,Tram,22,41.7,36,14.1,0.6,Mon,0,Rain,564.22,99.53
T000283,Route_9,Ferry,3,38.5,31,4.21,2.9,Sun,0,Fog,138.25,109.88
T000284,Route_20,Train,17,13.8,28,14.55,2.8,Tue,0,Rain,348.43,36.51
T000285,Route_18,Subway,19,35.0,30,2.38,2.8,Mon,0,Clear,80.75,85.33
T000286,Route_1,Bus,10,32.1,40,13.58,2.7,Mon,0,Snow,628.89,90.39
T000287,Route_9,Bus,3,30.1,41,10.5,8.3,Wed,0,Rain,348.29,66.53
T000288,Route_2,Ferry,7,41.1,25,1.99,1.9,Thu,1,Clear,43.27,105.04
T000289,Route_1,Bus,2,26.5,27,4.85,8.8,Mon,0,Rain,127.85,63.57
T000290,Route_11,Bus,5,5.3,31,2.52,3.0,Sun,0,Snow,71.68,5.0
T000291,Route_20,Subway,2,5.0,27,12.03,1.9,Wed,0,Rain,266.79,5.76
T000292,Route_16,Tram,6,14.0,24,3.85,6.9,Tue,0,Clear,93.66,44.15
T000293,Route_10,Ferry,5,39.0,23,3.01,2.1,Sun,0,Clear,82.75,105.13
T000294,Route_14,Train,17,32.7,35,7.02,2.1,Tue,0,Clear,266.84,73.33
