trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,origin_lat,origin_lon,dest_lat,dest_lon
T000121,Route_13,Subway,13,11.7,32,3.98,4.9,Sun,0,Rain,40.90821,-73.87392,40.53939,-73.7708
T000122,Route_8,Train,12,15.4,28,3.05,0.5,Mon,1,Clear,40.80764,-73.9532,40.72255,-73.7197
T000123,Route_6,Subway,11,0.7,32,13.5,6.9,Mon,0,Clear,40.80942,-73.87938,40.6872,-73.86514
T000124,Route_18,Ferry,0,27.1,29,12.02,1.8,Wed,0,Rain,40.87209,-74.04557,40.82603,-73.94838
T000125,Route_16,Bus,15,6.3,36,7.83,1.5,Thu,0,Snow,40.73138,-73.93047,40.73429,-73.81572
T000126,Route_6,Subway,20,2.0,28,10.12,4.8,Tue,0,Clear,40.78487,-74.03609,40.87486,-73.78487
T000127,Route_16,Ferry,4,26.6,31,5.09,2.6,Fri,0,Clear,40.86619,-73.85539,40.87575,-74.07499
T000128,Route_18,Bus,21,40.0,26,3.53,0.7,Tue,0,Clear,40.74111,-73.82267,40.71593,-74.08093
T000129,Route_9,Train,19,10.4,31,8.1,0.2,Thu,0,Clear,40.78583,-74.05496,40.83693,-73.75093
T000130,Route_5,Train,15,9.6,37,5.22,12.2,Wed,0,Clear,40.67112,-73.80188,40.51169,-73.73118
T000131,Route_14,Tram,3,31.2,26,12.47,1.1,Wed,0,Clear,40.586,-73.82141,40.73313,-74.03838
T000132,Route_8,Subway,0,7.1,25,3.04,0.9,Mon,0,Clear,40.97485,-73.93995,40.69181,-73.85558
T000133,Route_7,Tram,21,36.5,31,10.24,4.0,Wed,0,Rain,40.8852,-74.05413,40.77971,-73.80241
T000134,Route_12,Bus,5,25.4,42,8.96,2.0,Wed,0,Snow,40.53016,-73.96635,40.63896,-73.81038
T000135,Route_16,Tram,8,11.7,42,4.38,6.8,Tue,0,Clear,40.90197,-74.08718,40.97175,-74.09369
T000136,Route_4,Subway,21,11.6,26,9.29,3.5,Wed,0,Fog,40.802,-73.74969,40.63791,-73.72543
T000137,Route_9,Train,5,16.7,34,6.24,6.3,Mon,0,Clear,40.611,-74.09595,40.87607,-73.94053
T000138,Route_18,Train,2,10.3,34,10.22,7.6,Mon,0,Clear,40.86771,-74.07984,40.77553,-73.71406
T000139,Route_15,Ferry,20,24.3,35,5.55,16.5,Mon,0,Rain,40.52167,-73.82143,40.56032,-73.76324
T000140,Route_16,Train,19,38.2,26,4.75,0.8,Sun,0,Clear,40.8229,-73.93099,40.75121,-73.7518
T000141,Route_17,Bus,6,36.2,33,13.2,14.2,Thu,0,Clear,40.60701,-73.79104,40.79609,-73.86842
T000142,Route_16,Train,0,28.4,42,9.89,1.4,Thu,0,Clear,40.8094,-74.03212,40.68775,-74.03477
T000143,Route_1,Ferry,10,8.0,32,7.3,1.8,Thu,0,Clear,40.94575,-73.74973,40.72347,-73.78538
T000144,Route_2,Ferry,18,21.2,30,10.91,0.1,Mon,1,Clear,40.64154,-73.93114,40.89289,-73.97969
T000145,Route_2,Ferry,5,27.8,31,8.12,1.0,Mon,0,Clear,40.9673,-73.9647,40.8825,-73.81934
T000146,Route_18,Train,4,36.9,28,2.64,0.9,Tue,0,Clear,40.9688,-73.8798,40.63754,-73.95829
T000147,Route_11,Train,21,43.5,28,7.41,0.2,Tue,0,Snow,40.52977,-74.04327,40.80853,-73.73241
T000148,Route_11,Bus,5,34.3,28,3.99,10.6,Fri,0,Clear,40.79506,-73.73939,40.51133,-73.88696
T000149,Route_7,Tram,2,3.8,47,5.77,1.3,Fri,0,Clear,40.67857,-73.9334,40.89179,-73.76222
T000150,Route_19,Tram,14,23.9,19,3.18,5.4,Thu,0,Clear,40.98888,-73.97853,40.85813,-73.87105
T000151,Route_3,Tram,0,41.0,18,13.62,3.3,Tue,0,Clear,40.58885,-73.96416,40.5848,-73.72048
T000152,Route_1,Tram,7,36.7,36,11.25,6.9,Mon,0,Clear,40.83397,-73.79892,40.61568,-73.76926
T000153,Route_2,Ferry,3,37.6,30,12.95,1.2,Thu,0,Rain,40.58885,-74.09019,40.515,-74.02514
T000154,Route_1,Ferry,13,3.5,32,4.02,0.4,Mon,0,Snow,40.51001,-74.0469,40.58474,-73.87738
T000155,Route_11,Tram,7,8.2,29,5.37,0.3,Fri,0,Rain,40.66917,-73.91056,40.77374,-74.01771
T000156,Route_5,Train,12,8.0,31,8.79,8.2,Sun,1,Snow,40.79454,-74.0796,40.96797,-73.715
T000157,Route_18,Bus,22,41.6,27,8.61,7.4,Fri,0,Rain,40.93626,-73.77689,40.82609,-73.95094
T000158,Route_20,Subway,10,27.9,30,11.1,13.2,Fri,0,Snow,40.74182,-73.90925,40.79286,-73.86979
T000159,Route_13,Train,13,2.7,36,10.14,0.0,Sun,0,Clear,40.63398,-73.93598,40.9789,-73.74694
T000160,Route_3,Train,6,34.4,42,4.41,5.0,Mon,0,Rain,40.62445,-73.98105,40.79667,-73.86314
T000161,Route_11,Train,21,14.7,34,4.16,0.5,Fri,0,Clear,40.65458,-73.89659,40.95636,-73.94725
T000162,Route_5,Bus,6,30.7,31,12.99,1.1,Tue,0,Rain,40.68777,-73.72036,40.69988,-73.90831
T000163,Route_7,Bus,21,28.9,19,6.67,7.1,Tue,0,Clear,40.50389,-74.03672,40.98973,-73.80454
T000164,Route_7,Ferry,17,24.4,35,12.03,11.3,Mon,0,Clear,40.75042,-74.00689,40.98682,-73.71661
T000165,Route_10,Tram,13,8.1,39,11.79,2.2,Mon,0,Clear,40.78173,-74.05554,40.65028,-73.89376
T000166,Route_16,Train,4,38.1,27,9.73,3.4,Thu,1,Clear,40.57851,-73.87533,40.61363,-74.08232
T000167,Route_18,Ferry,13,26.8,29,8.82,6.1,Tue,0,Clear,40.92565,-73.89214,40.55382,-74.05192
T000168,Route_7,Subway,1,34.4,26,6.0,3.2,Wed,0,Clear,40.55947,-74.03124,40.75294,-73.84608
T000169,Route_17,Subway,17,31.9,25,9.81,19.1,Thu,0,Snow,40.99078,-73.82698,40.65695,-73.98713
T000170,Route_14,Bus,18,0.7,40,14.0,1.0,Mon,0,Snow,40.79855,-74.08479,40.88286,-74.01872
T000171,Route_8,Tram,21,42.1,24,1.81,4.8,Wed,0,Snow,40.68339,-73.92512,40.94047,-73.77833
T000172,Route_4,Bus,18,32.6,30,5.65,18.2,Thu,0,Rain,40.64214,-73.93079,40.80502,-73.90136
T000173,Route_17,Train,10,5.7,33,3.41,11.8,Sat,0,Rain,40.65506,-73.74008,40.67992,-73.99258
T000174,Route_7,Ferry,13,6.2,24,12.98,0.6,Mon,0,Rain,40.54348,-74.04124,40.63797,-73.99339
T000175,Route_9,Subway,16,38.0,29,7.49,4.4,Thu,0,Clear,40.8752,-73.86826,40.84918,-74.08614
T000176,Route_6,Subway,3,37.8,40,5.84,0.7,Wed,1,Rain,40.52384,-74.09916,40.70198,-74.02385
T000177,Route_5,Train,18,19.4,23,6.38,4.7,Wed,0,Rain,40.65921,-73.9817,40.55759,-74.08517
T000178,Route_10,Subway,18,32.0,24,14.92,11.6,Sat,0,Rain,40.73254,-74.01518,40.89749,-73.87636
T000179,Route_4,Subway,4,27.1,28,13.32,2.9,Sun,0,Clear,40.91031,-73.91649,40.94613,-73.89904
T000180,Route_18,Bus,21,34.1,25,7.51,4.7,Mon,0,Clear,40.84355,-73.72843,40.81955,-73.77853
T000181,Route_9,Ferry,7,16.9,30,7.81,7.9,Wed,0,Clear,40.70468,-73.71639,40.78058,-73.78165
T000182,Route_7,Train,15,18.4,31,7.88,4.7,Sat,0,Snow,40.57021,-73.84405,40.53241,-73.91307
T000183,Route_7,Tram,16,23.6,30,13.41,1.1,Thu,0,Rain,40.84574,-73.94865,40.67552,-73.84753
T000184,Route_12,Train,18,28.1,31,7.98,0.8,Fri,0,Clear,40.74966,-74.09556,40.67152,-73.87584
T000185,Route_3,Ferry,15,17.3,43,5.88,0.4,Mon,0,Rain,40.9639,-73.73281,40.5681,-73.84309
T000186,Route_2,Tram,18,36.2,43,10.01,2.6,Sat,0,Rain,40.83047,-73.86109,40.55752,-73.76868
T000187,Route_4,Tram,2,24.2,36,5.57,4.7,Sat,0,Clear,40.82136,-73.89951,40.85583,-73.93149
T000188,Route_4,Subway,1,40.0,26,7.83,0.5,Wed,0,Clear,40.6678,-73.92529,40.92114,-73.90357
T000189,Route_19,Tram,0,20.2,35,12.43,5.4,Mon,0,Rain,40.7305,-74.06677,40.58839,-73.87227
T000190,Route_11,Ferry,20,41.3,32,8.57,6.4,Mon,0,Snow,40.78282,-73.71714,40.62293,-73.76142
T000191,Route_16,Subway,13,21.8,22,8.76,12.6,Mon,0,Clear,40.90685,-74.07658,40.95868,-73.96602
T000192,Route_17,Bus,0,37.0,32,11.43,20.2,Wed,0,Rain,40.53735,-74.04347,40.70953,-74.08831
T000193,Route_19,Bus,11,4.3,35,4.08,14.5,Tue,0,Clear,40.74844,-73.92917,40.95739,-74.09964
T000194,Route_13,Train,11,2.0,33,13.67,2.4,Tue,0,Clear,40.91837,-73.87101,40.73824,-73.82035
T000195,Route_8,Ferry,9,41.4,19,8.37,1.4,Sun,0,Snow,40.73527,-73.84922,40.73037,-73.93338
T000196,Route_15,Train,22,41.5,35,4.39,10.7,Sat,0,Clear,40.50903,-73.87582,40.99649,-74.09578
T000197,Route_4,Tram,17,25.3,26,2.98,5.8,Wed,0,Rain,40.8705,-73.89207,40.94359,-73.985
T000198,Route_5,Subway,12,8.6,47,2.11,6.0,Sat,0,Clear,40.69569,-73.81627,40.86964,-73.79534
T000199,Route_19,Ferry,16,41.9,35,14.93,1.6,Thu,0,Fog,40.54224,-74.06934,40.95312,-73.71618
T000200,Route_19,Train,8,6.7,25,4.29,7.8,Sun,0,Clear,40.52356,-74.01968,40.74217,-73.91222
T000201,Route_12,Ferry,8,4.4,27,6.76,2.0,Wed,0,Snow,40.73256,-73.98574,40.68069,-74.02492
T000202,Route_15,Tram,16,1.2,20,13.25,2.0,Sun,0,Clear,40.63459,-73.7741,40.74772,-73.9977
T000203,Route_15,Tram,4,14.3,24,13.22,2.0,Thu,0,Clear,40.94223,-73.81307,40.60491,-73.91505
T000204,Route_9,Tram,20,3.1,24,2.72,5.5,Sun,0,Clear,40.63152,-74.0502,40.81304,-73.89687
T000205,Route_8,Bus,12,23.2,28,12.58,9.9,Mon,0,Rain,40.96244,-73.74762,40.67069,-73.82543
T000206,Route_18,Bus,22,44.0,25,11.95,3.1,Fri,1,Rain,40.59737,-73.70545,40.90955,-73.76758
T000207,Route_13,Subway,3,18.5,25,14.86,8.8,Sat,0,Clear,40.95438,-73.75384,40.90476,-73.73809
T000208,Route_4,Bus,12,38.9,27,2.53,1.8,Wed,0,Clear,40.61708,-74.06077,40.5174,-73.83258
T000209,Route_1,Tram,17,14.6,28,11.39,0.2,Mon,0,Snow,40.67918,-73.74769,40.64776,-73.83557
T000210,Route_5,Subway,22,35.4,29,10.39,0.9,Sun,0,Clear,40.87124,-73.76149,40.59949,-73.80229
T000211,Route_7,Train,3,38.9,42,8.77,1.6,Tue,0,Clear,40.70238,-74.03566,40.96163,-73.85984
T000212,Route_12,Bus,10,36.2,27,1.68,2.4,Tue,1,Fog,40.80673,-73.74351,40.83415,-73.86878
T000213,Route_1,Subway,21,37.5,34,5.46,2.9,Mon,0,Clear,40.962,-74.00364,40.96425,-74.0895
T000214,Route_18,Tram,0,10.5,22,5.03,5.9,Sat,0,Rain,40.78461,-73.91412,40.53179,-73.88454
T000215,Route_8,Subway,1,19.0,21,9.09,0.2,Mon,1,Clear,40.89794,-73.77353,40.96505,-74.07384
T000216,Route_11,Ferry,15,8.1,27,11.86,5.7,Wed,0,Clear,40.5935,-73.78889,40.83132,-74.07456
T000217,Route_7,Subway,7,1.2,32,7.84,7.8,Thu,0,Snow,40.73425,-73.77748,40.99438,-73.72962
T000218,Route_10,Subway,20,26.1,30,11.5,18.1,Sun,0,Clear,40.57729,-74.09514,40.88168,-73.86726
T000219,Route_3,Tram,12,21.8,43,12.88,3.1,Mon,0,Clear,40.63963,-74.02293,40.66781,-73.8921
T000220,Route_8,Ferry,5,12.7,33,5.73,2.3,Wed,0,Clear,40.99777,-74.02681,40.51103,-73.87267
T000221,Route_17,Subway,5,23.1,23,13.43,5.7,Fri,0,Rain,40.87013,-73.92214,40.82066,-74.0481
T000222,Route_1,Train,14,21.3,20,8.15,2.3,Fri,0,Clear,40.9474,-73.91035,40.81658,-74.07489
T000223,Route_1,Tram,10,39.8,27,8.82,1.8,Fri,0,Clear,40.85436,-73.86482,40.7839,-73.82943
T000224,Route_12,Tram,21,23.2,28,1.72,2.8,Thu,0,Snow,40.73112,-74.03347,40.77606,-73.78204
T000225,Route_8,Subway,11,32.9,24,12.9,1.1,Sun,0,Rain,40.61503,-73.98123,40.5014,-74.09591
T000226,Route_14,Tram,12,26.8,39,3.34,0.3,Fri,0,Clear,40.93254,-73.97606,40.73061,-73.99676
