player_id,position,team,seasons,games,batting_avg,home_runs,rbi,war,awards_count,all_star,salary_m
P0116,3B,Yankees,4,103,0.245,15,61,3.2,0,0,5.15
P0117,SS,Giants,9,45,0.28,14,72,-1.2,0,0,2.18
P0118,1B,Cubs,7,108,0.292,9,59,3.3,1,1,2.15
P0119,Pitcher,Cardinals,16,56,0.302,15,57,6.1,0,0,2.01
P0120,SS,Giants,7,43,0.314,10,65,1.1,0,0,3.66
P0121,Pitcher,Cubs,3,92,0.232,13,60,0.2,1,1,12.57
P0122,Catcher,Dodgers,12,144,0.268,14,43,-2.9,0,0,2.39
P0123,Catcher,Cubs,5,96,0.304,11,58,3.7,0,0,0.43
P0124,OF,Cubs,19,123,0.25,18,64,4.0,1,1,2.26
P0125,2B,Cardinals,2,161,0.256,13,56,1.0,0,0,2.58
P0126,Catcher,Cubs,18,74,0.289,16,57,4.2,1,1,0.45
P0127,Catcher,Cardinals,14,153,0.254,19,62,0.9,0,0,0.63
P0128,OF,Cardinals,1,129,0.258,13,68,1.8,0,0,1.57
P0129,OF,Cubs,13,31,0.263,13,59,3.2,1,1,20.71
P0130,1B,Braves,19,24,0.302,18,44,0.5,1,1,3.31
P0131,2B,Cubs,7,59,0.278,13,61,5.0,0,0,3.94
P0132,3B,Dodgers,7,111,0.295,15,57,0.6,0,0,3.04
P0133,SS,Braves,10,77,0.279,13,63,-1.0,0,0,3.97
P0134,Pitcher,Cubs,11,71,0.252,12,50,3.8,1,1,1.3
P0135,3B,Cardinals,10,40,0.274,8,74,0.2,2,1,1.74
P0136,Pitcher,Braves,17,106,0.2,15,66,1.4,0,0,4.9
P0137,1B,Red Sox,13,36,0.225,13,64,-0.4,0,0,5.94
P0138,Catcher,Cardinals,15,131,0.244,26,67,-1.1,0,0,2.71
P0139,SS,Cubs,14,124,0.279,19,62,7.4,1,1,3.11
P0140,Catcher,Braves,9,78,0.24,16,51,2.5,0,0,7.48
P0141,Pitcher,Astros,3,141,0.274,12,59,2.7,1,1,1.59
P0142,SS,Cardinals,11,108,0.28,23,51,4.0,0,0,7.99
P0143,1B,Braves,12,41,0.334,15,61,4.7,1,1,2.41
P0144,Catcher,Yankees,16,91,0.279,12,58,2.7,1,1,1.1
P0145,1B,Yankees,9,131,0.273,13,51,5.6,2,1,25.2
P0146,SS,Dodgers,5,73,0.253,17,63,0.6,1,1,57.87
P0147,Catcher,Braves,4,139,0.314,19,68,4.4,0,0,3.78
P0148,SS,Yankees,6,136,0.251,19,59,0.2,0,0,0.69
P0149,2B,Red Sox,15,76,0.271,14,67,3.4,0,0,3.09
P0150,Pitcher,Yankees,16,88,0.298,11,56,2.4,0,0,0.76
P0151,3B,Dodgers,10,54,0.296,19,68,1.5,0,0,4.36
P0152,Pitcher,Astros,4,89,0.318,7,50,1.9,0,0,10.1
P0153,2B,Yankees,7,33,0.24,18,67,-0.3,0,0,0.4
P0154,OF,Cardinals,15,139,0.292,12,63,-1.3,1,1,50.14
P0155,Pitcher,Giants,9,136,0.243,20,60,-0.0,2,1,6.55
P0156,SS,Cardinals,6,117,0.319,15,76,0.9,0,0,33.45
P0157,3B,Braves,12,107,0.256,19,56,2.6,0,0,9.93
P0158,OF,Astros,8,98,0.289,12,35,4.2,0,0,4.15
P0159,2B,Dodgers,6,42,0.252,11,55,4.9,0,0,14.7
P0160,OF,Braves,16,123,0.281,15,61,-1.9,1,1,16.41
P0161,SS,Red Sox,1,27,0.274,10,63,3.9,2,1,4.14
P0162,OF,Giants,13,23,0.279,17,64,0.7,1,1,1.27
P0163,Pitcher,Cubs,6,153,0.235,15,59,4.8,0,0,2.72
P0164,Catcher,Astros,1,53,0.295,13,66,-1.8,1,1,15.55
P0165,OF,Dodgers,3,52,0.276,13,46,0.0,1,1,2.69
P0166,OF,Dodgers,4,66,0.288,13,63,2.9,1,1,7.31
P0167,Catcher,Dodgers,1,153,0.285,9,59,6.7,0,0,5.77
P0168,SS,Dodgers,17,44,0.263,14,82,3.4,2,1,10.86
P0169,Pitcher,Dodgers,19,161,0.254,8,42,1.3,0,0,9.44
P0170,Pitcher,Cubs,4,27,0.238,20,63,0.7,0,0,9.93
P0171,1B,Astros,14,69,0.321,12,60,4.1,0,0,1.46
P0172,1B,Yankees,8,40,0.262,16,65,-0.4,0,0,4.62
P0173,3B,Dodgers,12,110,0.266,17,54,6.2,0,0,3.6
P0174,SS,Dodgers,16,103,0.203,11,53,1.2,1,1,2.11
P0175,SS,Yankees,11,73,0.26,9,49,3.7,0,0,4.4
P0176,1B,Cardinals,19,158,0.297,10,58,4.1,1,1,3.74
P0177,Pitcher,Giants,7,27,0.289,12,67,3.3,0,0,13.9
P0178,Pitcher,Red Sox,12,141,0.331,13,58,4.0,0,0,6.08
P0179,SS,Yankees,19,137,0.279,18,68,-0.7,0,0,1.94
P0180,OF,Yankees,5,81,0.262,16,65,3.2,0,0,10.44
P0181,1B,Giants,9,141,0.223,14,62,3.2,0,0,3.41
P0182,2B,Red Sox,7,53,0.263,11,56,2.1,1,1,3.81
P0183,OF,Dodgers,11,68,0.302,16,48,2.3,1,1,4.61
P0184,3B,Cubs,14,126,0.278,14,59,1.8,1,1,5.63
P0185,2B,Red Sox,17,48,0.219,13,51,-1.7,0,0,8.48
P0186,1B,Dodgers,10,117,0.28,12,44,-2.9,0,0,9.47
P0187,3B,Dodgers,13,130,0.249,18,55,3.4,1,1,2.24
P0188,3B,Red Sox,5,137,0.279,21,61,2.8,0,0,3.03
P0189,Pitcher,Astros,9,65,0.266,9,60,3.6,0,0,64.94
P0190,OF,Braves,11,101,0.294,14,62,2.4,0,0,4.45
P0191,3B,Red Sox,17,132,0.234,13,53,0.0,2,1,4.85
P0192,SS,Giants,16,54,0.297,17,55,3.8,1,1,7.51
P0193,3B,Cubs,9,146,0.275,9,65,3.7,1,1,7.17
P0194,SS,Cubs,13,53,0.209,20,49,1.7,0,0,0.89
P0195,Catcher,Giants,15,53,0.291,22,72,0.4,0,0,8.46
P0196,3B,Giants,19,72,0.228,14,52,1.7,1,1,13.33
P0197,2B,Astros,18,33,0.218,13,61,1.5,2,1,7.82
P0198,Pitcher,Cubs,17,98,0.289,9,67,4.2,0,0,5.52
P0199,Pitcher,Cardinals,5,140,0.26,16,62,2.4,1,1,8.19
P0200,1B,Giants,17,79,0.26,17,65,2.2,0,0,5.46
P0201,3B,Cubs,19,159,0.192,20,49,1.9,1,1,3.37
P0202,3B,Giants,4,50,0.275,18,70,4.9,1,1,7.95
P0203,Pitcher,Astros,8,26,0.276,28,64,0.5,0,0,12.21
P0204,SS,Yankees,12,66,0.281,19,57,1.5,0,0,0.32
P0205,Pitcher,Cubs,11,141,0.326,13,67,2.5,1,1,3.53
P0206,SS,Braves,1,74,0.271,15,57,4.5,2,1,1.16
P0207,1B,Astros,1,64,0.217,8,54,-0.1,1,1,4.58
P0208,OF,Astros,9,36,0.272,11,50,3.0,0,0,18.41
P0209,3B,Astros,8,87,0.312,12,73,-0.5,0,0,6.23
P0210,Catcher,Yankees,17,133,0.284,14,79,2.0,1,1,0.88
P0211,SS,Cardinals,18,97,0.199,6,59,5.8,0,0,7.01
P0212,2B,Cubs,6,35,0.276,17,58,-1.8,0,0,5.06
P0213,Catcher,Dodgers,6,137,0.281,13,58,3.9,1,1,6.74
P0214,2B,Braves,1,58,0.281,16,67,5.4,0,0,5.66
P0215,Catcher,Cubs,8,85,0.307,12,58,2.2,0,0,147.8
P0216,OF,Red Sox,3,136,0.221,4,59,5.1,0,0,0.66
P0217,Pitcher,Yankees,1,77,0.241,24,64,3.9,0,0,7.33
P0218,3B,Dodgers,12,45,0.316,19,58,1.2,2,1,13.51
P0219,Catcher,Cubs,13,155,0.248,20,46,-0.6,1,1,15.89
P0220,OF,Giants,4,43,0.254,13,60,1.6,0,0,8.72
P0221,Pitcher,Red Sox,6,120,0.239,11,59,3.6,0,0,2.47
P0222,1B,Braves,4,160,0.236,14,56,0.8,0,0,7.11
P0223,1B,Braves,4,58,0.286,15,57,0.1,1,1,5.12
P0224,Pitcher,Dodgers,10,36,0.213,16,65,2.1,0,0,1.72
P0225,2B,Red Sox,9,146,0.281,18,73,4.2,2,1,2.62
P0226,3B,Cardinals,6,103,0.281,17,61,-4.0,0,0,4.16
P0227,2B,Yankees,17,102,0.253,19,69,2.7,0,0,29.44
P0228,Pitcher,Red Sox,8,102,0.265,14,60,2.5,1,1,5.64
P0229,Catcher,Astros,19,76,0.246,16,43,3.9,0,0,1.6
P0230,Pitcher,Cardinals,1,24,0.224,18,55,-0.8,0,0,15.42
P0231,OF,Braves,4,52,0.307,16,58,4.9,0,0,1.71
P0232,Catcher,Red Sox,8,81,0.236,15,84,5.8,1,1,2.43
P0233,1B,Red Sox,12,90,0.24,15,55,0.3,1,1,4.12
P0234,SS,Cubs,12,103,0.271,9,63,4.5,0,0,0.6
P0235,SS,Red Sox,4,78,0.296,23,53,2.7,1,1,3.56
P0236,2B,Braves,17,156,0.264,14,52,1.9,0,0,3.76
P0237,1B,Giants,15,34,0.267,12,64,5.4,0,0,12.93
P0238,OF,Astros,15,82,0.28,13,57,3.2,0,0,1.16
P0239,SS,Astros,10,101,0.28,22,52,3.2,1,1,2.09
P0240,Catcher,Red Sox,9,153,0.266,19,70,0.9,1,1,17.51
P0241,SS,Yankees,8,133,0.281,12,60,2.5,0,0,2.74
P0242,Catcher,Red Sox,1,121,0.308,10,46,4.0,1,1,6.3
P0243,1B,Cubs,5,148,0.232,15,57,-0.1,2,1,1.43
P0244,Catcher,Yankees,7,99,0.224,20,57,-1.5,1,1,4.55
P0245,Pitcher,Cubs,16,76,0.195,18,60,-0.7,2,1,2.28
P0246,SS,Red Sox,17,145,0.294,11,54,1.5,0,0,3.29
P0247,2B,Dodgers,14,66,0.224,16,58,0.6,0,0,13.28
P0248,Pitcher,Giants,18,117,0.297,14,63,2.6,0,0,1.79
P0249,3B,Braves,17,90,0.274,17,62,0.9,1,1,3.45
P0250,Catcher,Cubs,16,44,0.276,18,66,1.3,0,0,6.28
P0251,SS,Red Sox,7,102,0.254,15,58,5.0,0,0,1.83
P0252,SS,Cardinals,12,123,0.245,26,63,5.0,0,0,2.74
P0253,3B,Dodgers,10,86,0.246,13,57,-1.0,1,1,8.6
P0254,Pitcher,Red Sox,2,80,0.231,9,62,5.0,0,0,70.11
P0255,Catcher,Cubs,17,118,0.297,18,66,5.8,1,1,28.92
P0256,Catcher,Cubs,10,32,0.298,18,62,4.6,2,1,5.96
P0257,Pitcher,Yankees,2,159,0.21,24,61,-3.2,1,1,5.26
P0258,2B,Giants,14,32,0.219,17,45,1.6,2,1,16.58
P0259,2B,Cubs,1,47,0.259,12,71,-1.7,1,1,3.14
P0260,SS,Dodgers,8,123,0.308,17,66,8.1,0,0,1.38
P0261,3B,Red Sox,3,67,0.234,10,58,4.8,0,0,5.44
P0262,1B,Dodgers,2,93,0.247,10,62,-1.7,1,1,1.11
P0263,3B,Dodgers,12,69,0.299,18,43,3.4,1,1,7.83
P0264,3B,Cubs,5,106,0.26,17,63,3.0,0,0,1.61
P0265,OF,Astros,12,112,0.26,14,72,-1.2,2,1,6.99
P0266,SS,Yankees,11,127,0.296,13,47,-0.8,2,1,8.35
P0267,3B,Braves,9,56,0.273,20,56,4.1,4,1,2.3
P0268,2B,Yankees,2,39,0.26,8,51,3.4,0,0,1.33
P0269,2B,Yankees,7,47,0.306,7,68,-0.8,0,0,4.34
P0270,OF,Dodgers,14,115,0.24,10,67,2.3,0,0,4.05
P0271,OF,Braves,10,76,0.235,13,56,4.5,2,1,20.43
P0272,2B,Yankees,18,96,0.276,18,60,4.4,0,0,3.11
P0273,OF,Braves,4,108,0.293,15,60,2.1,0,0,1.86
P0274,OF,Cardinals,3,150,0.294,11,55,2.2,0,0,6.99
P0275,SS,Astros,3,157,0.243,16,67,1.4,1,1,6.74
P0276,OF,Braves,4,32,0.256,16,43,0.1,0,0,1.87
P0277,3B,Red Sox,8,128,0.269,16,67,3.4,1,1,29.59
P0278,3B,Astros,18,113,0.269,15,66,-1.0,1,1,8.61
P0279,2B,Braves,1,76,0.301,10,59,1.5,0,0,2.53
P0280,Pitcher,Astros,8,31,0.275,14,57,2.8,0,0,2.87
P0281,3B,Giants,8,75,0.246,15,53,1.6,0,0,4.91
P0282,1B,Braves,17,25,0.273,17,71,-0.4,1,1,1.68
P0283,Pitcher,Red Sox,4,102,0.232,8,54,-1.2,2,1,8.5
P0284,2B,Dodgers,9,130,0.259,10,59,1.5,1,1,0.88
P0285,Catcher,Dodgers,3,24,0.259,20,65,5.7,0,0,2.0
P0286,OF,Astros,1,108,0.295,16,68,-0.6,2,1,4.31
P0287,OF,Cardinals,5,89,0.257,18,74,3.8,0,0,9.32
P0288,Catcher,Yankees,17,80,0.274,18,46,2.4,0,0,1.94
P0289,1B,Astros,2,123,0.267,15,51,1.5,0,0,4.2
P0290,OF,Yankees,12,148,0.279,14,63,-2.7,2,1,12.54
P0291,3B,Astros,8,36,0.233,8,60,0.4,0,0,14.88
P0292,SS,Giants,13,79,0.251,10,64,1.9,0,0,2.68
P0293,SS,Dodgers,18,151,0.317,8,49,3.2,2,1,9.16
P0294,Catcher,Astros,12,123,0.204,13,59,7.8,0,0,31.67
P0295,OF,Braves,4,59,0.275,11,61,1.2,0,0,6.38
P0296,2B,Dodgers,7,144,0.257,16,66,0.2,1,1,27.61
P0297,3B,Braves,5,113,0.301,14,73,2.4,1,1,0.64
P0298,2B,Cardinals,16,139,0.269,26,65,4.6,1,1,8.03
P0299,OF,Dodgers,13,22,0.195,13,58,-1.4,2,1,0.78
P0300,Catcher,Cardinals,10,77,0.324,13,43,0.6,0,0,3.58
P0301,3B,Giants,13,154,0.254,14,57,0.7,0,0,4.1
P0302,2B,Cubs,13,151,0.264,12,57,1.8,2,1,2.45
P0303,2B,Giants,8,88,0.269,12,56,0.7,2,1,31.11
P0304,2B,Dodgers,13,125,0.26,11,73,-0.1,0,0,16.03
P0305,Catcher,Giants,4,49,0.312,11,54,-0.1,1,1,2.8
P0306,SS,Cubs,15,98,0.222,19,68,3.2,0,0,2.23
P0307,Catcher,Cubs,12,53,0.263,15,51,0.8,1,1,3.11
P0308,Catcher,Yankees,2,79,0.31,17,63,-2.2,0,0,2.63
P0309,3B,Cubs,7,130,0.236,18,70,0.3,0,0,2.85
P0310,Catcher,Dodgers,17,68,0.292,17,58,0.2,1,1,9.22
P0311,3B,Astros,9,137,0.274,20,66,-0.5,0,0,3.64
P0312,2B,Yankees,9,29,0.281,8,58,0.6,2,1,1.88
P0313,2B,Giants,7,43,0.287,19,67,-3.3,0,0,10.82
P0314,3B,Cubs,1,37,0.286,16,66,1.4,0,0,7.72
P0315,OF,Braves,14,159,0.3,16,50,-1.1,2,1,3.61
P0316,1B,Cardinals,15,62,0.239,13,61,2.2,0,0,1.93
P0317,3B,Giants,8,148,0.246,14,62,1.3,0,0,1.98
P0318,3B,Cubs,6,27,0.216,13,63,6.3,1,1,9.05
P0319,2B,Dodgers,19,121,0.269,17,55,1.6,1,1,5.93
P0320,Catcher,Astros,19,45,0.22,12,67,0.1,0,0,4.29
P0321,Catcher,Dodgers,11,57,0.212,14,63,2.4,1,1,2.23
P0322,1B,Giants,5,65,0.3,13,63,-1.0,0,0,13.29
P0323,Pitcher,Braves,13,42,0.288,13,59,-2.4,0,0,4.48
P0324,1B,Astros,14,112,0.243,20,101,5.8,0,0,19.72
P0325,Catcher,Cardinals,10,26,0.277,10,62,2.3,0,0,1.95
P0326,3B,Cubs,2,23,0.254,18,44,4.5,0,0,5.78
P0327,3B,Astros,19,55,0.241,14,50,2.2,0,0,2.1
P0328,SS,Yankees,16,58,0.27,15,56,1.4,0,0,8.89
P0329,OF,Braves,1,146,0.282,15,75,-0.0,0,0,2.28
P0330,OF,Yankees,7,136,0.253,9,52,2.9,1,1,5.62
P0331,1B,Cubs,18,132,0.242,15,70,2.0,0,0,4.42
P0332,Catcher,Giants,5,61,0.255,12,61,3.1,0,0,2.37
P0333,1B,Cardinals,12,130,0.255,11,61,3.4,1,1,2.68
P0334,OF,Braves,7,121,0.255,15,56,-3.2,3,1,0.64
P0335,SS,Red Sox,4,140,0.27,18,74,1.1,0,0,1.71
P0336,2B,Dodgers,15,156,0.28,14,56,5.8,0,0,8.71
P0337,SS,Giants,13,44,0.269,11,49,0.7,1,1,19.42
P0338,1B,Dodgers,7,72,0.303,18,63,1.6,0,0,4.66
P0339,2B,Braves,1,47,0.275,10,61,2.7,0,0,1.71
P0340,SS,Astros,12,104,0.314,14,58,4.7,1,1,1.79
P0341,3B,Dodgers,18,106,0.287,11,53,-1.1,1,1,2.47
P0342,1B,Cardinals,9,128,0.264,14,60,-2.6,1,1,2.45
P0343,2B,Red Sox,2,44,0.241,21,48,-2.3,0,0,5.5
P0344,Pitcher,Astros,19,135,0.234,14,72,4.3,0,0,5.39
P0345,1B,Braves,19,44,0.275,16,54,2.5,0,0,7.56
P0346,SS,Giants,6,115,0.21,19,65,3.5,0,0,23.55
P0347,3B,Red Sox,15,23,0.305,20,61,5.0,3,1,8.58
P0348,OF,Cardinals,9,136,0.254,14,73,7.0,1,1,5.14
P0349,OF,Giants,14,108,0.252,7,63,-0.3,0,0,3.08
P0350,2B,Astros,5,78,0.251,13,50,1.5,2,1,4.74
P0351,1B,Astros,18,99,0.273,13,70,2.5,0,0,6.24
P0352,3B,Cardinals,17,94,0.269,15,56,1.7,1,1,6.3
P0353,1B,Cubs,16,78,0.242,17,63,2.4,2,1,7.68
P0354,Pitcher,Yankees,4,146,0.294,15,75,6.6,1,1,3.38
P0355,2B,Astros,18,69,0.233,8,70,-1.0,1,1,4.76
P0356,SS,Cubs,17,32,0.275,13,60,2.0,0,0,12.78
P0357,SS,Cardinals,8,110,0.26,17,58,1.7,1,1,7.37
P0358,Pitcher,Dodgers,17,99,0.297,12,60,4.0,0,0,3.97
P0359,Pitcher,Giants,8,85,0.279,11,45,3.7,1,1,4.64
P0360,Catcher,Dodgers,11,78,0.234,16,49,1.7,1,1,2.85
P0361,3B,Dodgers,7,98,0.286,13,55,4.8,1,1,2.96
P0362,Catcher,Cardinals,9,95,0.284,24,78,-1.3,0,0,5.26
P0363,Pitcher,Braves,3,81,0.293,21,56,1.2,1,1,1.56
P0364,SS,Braves,15,129,0.233,21,55,6.3,0,0,3.79
P0365,1B,Giants,8,45,0.312,22,52,2.2,0,0,1.12
P0366,SS,Astros,7,115,0.217,17,55,3.6,1,1,10.08
P0367,3B,Yankees,6,153,0.25,24,41,1.8,0,0,3.0
P0368,OF,Cardinals,16,97,0.273,15,63,5.9,2,1,0.37
P0369,1B,Braves,9,20,0.322,22,68,3.7,0,0,2.9
P0370,1B,Braves,15,70,0.22,17,65,0.8,0,0,7.64
P0371,Catcher,Yankees,2,146,0.304,13,62,-0.8,0,0,2.62
P0372,3B,Red Sox,2,115,0.257,15,53,4.5,0,0,5.06
P0373,3B,Red Sox,18,61,0.232,18,62,-1.7,0,0,3.52
P0374,3B,Braves,19,109,0.215,22,59,3.7,0,0,3.48
P0375,Pitcher,Cubs,17,82,0.291,19,56,3.6,0,0,3.13
P0376,Pitcher,Yankees,16,111,0.314,16,64,2.6,0,0,1.78
