trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,revenue,operational_cost,on_time_pct,passenger_satisfaction
T000076,Route_20,Tram,20,3.6,28,13.92,1.2,Fri,0,Clear,329.88,19.08,0.863,2.8
T000077,Route_8,Ferry,16,18.7,30,5.41,8.6,Sun,0,Snow,191.99,42.06,0.863,4.1
T000078,Route_4,Ferry,9,8.9,29,2.14,6.2,Wed,0,Clear,65.71,21.31,0.895,5.0
T000079,Route_13,Train,14,13.0,30,2.93,3.9,Tue,0,Clear,86.14,46.23,0.887,2.5
T000080,Route_11,Train,9,16.7,24,3.13,0.3,Tue,0,Clear,74.17,49.38,0.826,3.1
T000081,Route_5,Tram,4,17.9,30,5.25,0.0,Thu,0,Rain,157.12,24.36,0.802,1.9
T000082,Route_19,Ferry,11,7.3,27,5.96,4.8,Thu,0,Clear,171.07,5.0,0.852,3.3
T000083,Route_20,Bus,7,25.6,23,4.51,0.7,Thu,0,Clear,89.95,49.62,0.84,4.6
T000084,Route_6,Ferry,13,34.7,25,11.57,3.8,Fri,0,Clear,315.48,105.9,0.844,4.1
T000085,Route_1,Bus,22,19.2,19,13.32,5.8,Fri,0,Clear,207.68,51.74,0.775,3.3
T000086,Route_14,Ferry,21,17.9,26,13.22,4.6,Mon,1,Rain,349.29,49.22,0.966,4.1
T000087,Route_2,Train,12,21.2,24,5.9,2.3,Wed,0,Rain,140.63,52.59,0.771,2.8
T000088,Route_19,Train,1,31.5,26,9.55,4.7,Fri,0,Clear,205.72,73.0,0.922,1.7
T000089,Route_6,Train,1,37.2,22,4.6,2.2,Sat,0,Clear,97.68,102.62,0.63,4.1
T000090,Route_14,Tram,5,29.2,29,2.1,2.8,Fri,0,Rain,65.91,85.29,0.71,3.7
T000091,Route_7,Ferry,18,13.9,29,12.74,0.4,Fri,0,Clear,368.25,30.48,0.919,4.8
T000092,Route_15,Train,12,24.0,42,7.54,0.3,Thu,0,Clear,302.49,66.05,0.893,2.8
T000093,Route_6,Ferry,11,31.4,20,13.4,1.8,Mon,0,Rain,309.25,82.05,0.879,3.6
T000094,Route_7,Bus,20,30.2,35,14.29,23.5,Mon,0,Clear,570.31,86.43,0.672,5.0
T000095,Route_18,Bus,20,41.8,32,7.83,5.9,Sat,0,Clear,275.51,97.19,0.869,2.9
T000096,Route_6,Bus,19,38.8,29,9.24,17.1,Fri,0,Clear,260.13,91.32,0.804,3.5
T000097,Route_7,Tram,10,15.8,31,9.99,0.9,Fri,0,Clear,348.56,42.03,0.777,2.9
T000098,Route_15,Bus,21,39.4,28,3.18,1.2,Sat,0,Clear,79.02,102.55,0.892,4.0
T000099,Route_2,Tram,14,39.4,29,13.64,2.5,Fri,0,Clear,348.62,80.01,0.775,2.1
T000100,Route_20,Tram,21,10.2,21,11.97,13.3,Mon,0,Clear,217.62,33.73,0.779,1.7
T000101,Route_16,Bus,16,37.5,25,6.89,1.6,Fri,0,Rain,154.05,100.51,0.637,3.2
T000102,Route_19,Tram,4,40.9,37,6.9,4.5,Fri,0,Clear,262.69,100.7,0.915,2.9
T000103,Route_1,Tram,3,4.9,27,9.61,0.1,Sat,0,Rain,238.31,6.01,0.843,4.8
T000104,Route_17,Tram,1,33.3,32,12.52,8.7,Sat,0,Clear,399.88,89.13,0.794,4.5
T000105,Route_1,Ferry,4,17.2,33,10.02,4.4,Wed,0,Rain,273.08,43.59,0.942,2.1
T000106,Route_14,Subway,0,4.7,27,2.24,6.5,Sun,1,Clear,64.84,10.29,0.955,4.1
T000107,Route_14,Bus,4,21.7,32,1.85,0.3,Thu,0,Clear,61.15,66.88,0.972,4.2
T000108,Route_11,Bus,16,22.7,33,11.42,2.8,Sat,0,Fog,385.52,52.83,0.917,3.3
T000109,Route_5,Ferry,10,17.6,28,3.75,9.8,Sun,0,Clear,89.82,47.14,0.864,3.4
T000110,Route_19,Bus,3,29.3,29,4.04,5.5,Wed,0,Snow,113.4,85.27,0.817,5.0
T000111,Route_7,Subway,9,22.3,32,12.22,3.1,Sat,0,Clear,336.42,42.0,0.738,4.3
T000112,Route_12,Train,21,21.7,32,3.36,0.1,Sat,0,Rain,87.52,52.17,0.81,4.7
T000113,Route_16,Bus,20,29.6,27,9.69,4.3,Thu,0,Clear,283.66,71.24,0.984,3.3
T000114,Route_18,Tram,4,5.2,35,12.99,2.3,Tue,0,Rain,508.15,11.07,0.748,4.0
T000115,Route_5,Subway,22,38.9,28,6.64,16.3,Sun,0,Rain,211.05,99.46,0.991,3.5
T000116,Route_8,Train,12,1.4,27,14.42,6.2,Sun,0,Rain,340.48,15.46,0.944,2.3
T000117,Route_14,Subway,14,27.8,32,14.01,18.3,Fri,0,Clear,507.6,67.23,0.759,3.0
T000118,Route_2,Train,11,25.8,34,11.1,6.1,Wed,0,Rain,315.19,49.1,0.928,3.5
T000119,Route_1,Train,15,14.6,30,7.5,15.1,Sat,0,Clear,255.06,28.8,0.779,4.1
T000120,Route_3,Subway,5,21.3,33,8.0,1.8,Sat,1,Clear,222.13,40.64,0.878,4.0
T000121,Route_1,Train,10,20.5,34,12.04,0.7,Tue,0,Clear,466.69,22.95,0.892,4.2
T000122,Route_1,Tram,10,29.9,33,12.52,5.7,Sun,0,Rain,444.75,68.6,0.817,4.4
T000123,Route_9,Train,0,16.3,31,3.68,3.8,Thu,0,Clear,112.19,51.12,0.829,2.6
T000124,Route_11,Train,12,2.8,34,4.53,3.4,Sat,0,Fog,175.73,18.14,0.844,3.6
T000125,Route_6,Bus,22,15.8,29,8.56,6.5,Sun,0,Clear,219.4,39.67,0.783,3.2
T000126,Route_3,Ferry,5,20.1,23,11.2,1.6,Wed,0,Clear,216.16,47.1,0.744,3.3
T000127,Route_15,Ferry,12,12.8,32,3.03,2.2,Sat,0,Clear,98.21,28.12,0.871,1.7
T000128,Route_10,Bus,7,19.0,30,3.8,0.5,Thu,0,Clear,129.14,50.37,0.922,2.6
T000129,Route_11,Tram,18,41.9,27,9.83,0.7,Tue,0,Clear,237.28,103.4,0.915,4.2
T000130,Route_4,Subway,1,23.8,29,13.5,5.1,Wed,1,Rain,318.6,73.67,0.769,3.8
T000131,Route_20,Tram,15,19.0,49,4.9,6.5,Sat,0,Rain,280.5,63.22,0.873,2.6
T000132,Route_7,Subway,2,19.9,30,14.02,11.8,Mon,0,Snow,490.18,45.07,0.705,3.1
T000133,Route_2,Ferry,12,19.7,34,2.54,2.7,Wed,0,Clear,100.7,50.35,1.0,3.1
T000134,Route_13,Tram,21,34.2,20,2.18,2.4,Thu,0,Clear,41.7,83.3,0.822,2.9
T000135,Route_9,Train,2,32.9,29,5.93,0.9,Sun,0,Clear,193.77,77.65,0.763,3.1
T000136,Route_7,Train,9,24.7,28,6.88,8.7,Mon,0,Clear,225.81,53.49,0.771,3.4
T000137,Route_5,Bus,8,24.4,33,10.3,5.8,Mon,0,Rain,294.19,55.31,0.789,3.4
T000138,Route_13,Train,1,20.6,35,1.52,1.5,Mon,0,Clear,57.58,67.12,0.637,3.6
T000139,Route_8,Ferry,3,18.7,29,10.91,2.0,Wed,0,Rain,277.98,37.0,0.855,3.8
T000140,Route_1,Train,1,24.1,37,14.61,0.3,Sun,0,Fog,613.69,68.51,0.905,3.5
T000141,Route_7,Ferry,1,31.1,34,4.72,2.0,Mon,0,Clear,191.29,67.15,0.886,3.4
T000142,Route_12,Tram,7,18.6,22,10.84,3.2,Fri,0,Clear,194.07,44.07,0.769,3.7
T000143,Route_14,Ferry,8,44.5,37,2.44,0.5,Tue,1,Fog,103.97,131.29,0.796,3.6
T000144,Route_3,Tram,22,14.5,32,4.66,9.2,Sun,0,Clear,175.86,43.68,0.826,3.6
T000145,Route_7,Train,19,30.8,30,7.74,7.3,Sun,0,Clear,237.02,90.25,0.754,5.0
T000146,Route_1,Train,15,7.6,17,10.34,3.5,Thu,0,Rain,155.64,13.9,0.883,3.8
T000147,Route_20,Ferry,12,2.6,30,12.36,1.4,Thu,0,Rain,435.7,5.0,0.747,4.1
T000148,Route_20,Train,12,4.7,25,4.06,6.3,Mon,0,Clear,102.81,14.71,0.96,3.8
T000149,Route_10,Ferry,4,43.3,21,10.87,0.3,Wed,0,Rain,230.21,87.24,0.86,1.4
T000150,Route_2,Subway,6,20.3,39,3.0,7.9,Thu,0,Clear,120.15,49.9,0.897,3.2
T000151,Route_17,Bus,7,35.6,27,13.54,1.2,Tue,0,Clear,343.68,90.77,0.747,4.1
T000152,Route_8,Subway,9,19.0,25,14.26,3.3,Tue,0,Snow,406.39,55.38,0.88,3.8
T000153,Route_15,Ferry,12,3.9,37,11.81,0.0,Mon,0,Clear,514.79,8.85,0.858,3.3
T000154,Route_8,Ferry,2,25.7,30,11.44,0.3,Thu,1,Clear,311.76,64.6,0.891,2.8
T000155,Route_4,Ferry,14,9.2,28,14.96,6.8,Thu,1,Clear,474.12,20.46,0.92,3.8
T000156,Route_7,Bus,1,24.7,30,13.54,2.4,Sat,1,Clear,412.37,57.81,0.798,4.4
T000157,Route_2,Train,18,20.9,24,10.17,4.2,Thu,0,Clear,260.11,59.87,0.879,4.8
T000158,Route_5,Tram,5,13.4,36,11.34,7.8,Mon,0,Clear,453.81,51.04,0.988,2.7
T000159,Route_6,Subway,16,1.0,38,9.65,1.9,Mon,1,Clear,293.6,6.97,0.936,3.8
T000160,Route_10,Train,5,11.9,27,10.72,4.2,Wed,1,Clear,296.02,32.74,0.87,2.3
T000161,Route_13,Ferry,22,14.3,31,11.49,1.1,Tue,0,Clear,399.89,29.9,0.793,3.1
T000162,Route_13,Train,17,28.9,27,11.95,2.8,Fri,0,Clear,284.97,72.24,0.792,5.0
T000163,Route_2,Train,1,37.7,29,8.58,0.1,Tue,0,Clear,224.27,94.01,1.0,4.0
T000164,Route_16,Tram,6,16.9,21,6.98,22.4,Sat,0,Clear,170.76,46.13,0.838,5.0
T000165,Route_5,Bus,7,3.9,29,9.37,10.9,Mon,1,Rain,250.78,8.31,0.78,4.2
T000166,Route_7,Subway,18,14.4,28,1.86,3.4,Sun,0,Rain,43.11,29.56,0.775,2.4
T000167,Route_14,Ferry,8,24.1,23,6.17,6.8,Fri,0,Clear,136.08,52.53,0.815,3.9
T000168,Route_3,Ferry,4,16.9,35,3.75,2.2,Sat,0,Fog,119.85,47.33,0.915,3.3
T000169,Route_9,Ferry,15,4.5,31,13.24,3.8,Sat,0,Rain,381.04,17.03,0.935,3.4
T000170,Route_3,Train,8,6.8,31,3.41,1.5,Thu,0,Rain,94.0,14.07,1.0,3.8
T000171,Route_14,Bus,13,19.9,19,5.02,1.7,Tue,0,Clear,95.57,42.78,0.707,3.4
T000172,Route_3,Ferry,14,13.0,30,12.06,11.5,Fri,1,Clear,425.8,27.55,0.933,3.2
T000173,Route_20,Tram,8,26.4,28,2.12,1.7,Mon,0,Clear,57.6,62.62,0.805,3.6
T000174,Route_13,Bus,13,1.2,27,1.56,3.4,Tue,0,Fog,41.61,5.24,0.808,4.3
T000175,Route_18,Subway,21,19.5,30,5.05,9.6,Fri,0,Clear,135.01,34.51,0.674,3.0
T000176,Route_4,Bus,4,2.6,20,10.07,3.6,Sat,0,Clear,200.76,10.83,0.632,4.0
T000177,Route_20,Train,7,8.8,35,5.09,7.0,Thu,0,Clear,182.72,14.09,0.992,3.2
T000178,Route_10,Ferry,3,39.3,27,1.86,2.5,Sun,0,Clear,54.08,115.66,0.875,4.1
T000179,Route_9,Train,12,20.1,24,5.09,19.4,Fri,0,Clear,129.47,39.66,0.874,5.0
T000180,Route_7,Train,13,11.4,22,12.17,3.8,Wed,1,Clear,264.41,13.16,0.966,3.2
T000181,Route_1,Train,13,24.4,30,14.25,2.5,Wed,0,Clear,512.23,70.9,0.886,2.3
T000182,Route_18,Subway,18,44.7,32,5.02,4.7,Tue,0,Clear,173.64,91.55,0.791,4.5
T000183,Route_14,Tram,1,12.6,34,13.97,3.1,Fri,0,Rain,410.53,19.65,0.704,4.2
T000184,Route_20,Ferry,3,26.3,25,6.85,17.2,Fri,0,Rain,147.62,72.78,0.791,3.6
T000185,Route_16,Ferry,10,41.6,31,10.94,4.2,Thu,0,Clear,294.02,100.55,0.764,3.6
T000186,Route_17,Tram,7,20.7,28,3.59,1.0,Sat,0,Rain,114.89,41.62,1.0,2.4
T000187,Route_6,Train,13,44.9,22,2.97,10.4,Thu,0,Clear,72.01,126.97,0.852,4.3
T000188,Route_2,Bus,19,32.7,20,10.49,1.4,Sat,0,Clear,245.28,84.75,0.86,2.0
T000189,Route_6,Bus,15,5.0,36,9.3,0.3,Tue,0,Fog,311.96,20.89,0.977,3.5
T000190,Route_5,Tram,10,21.1,30,3.12,32.7,Wed,0,Clear,105.37,66.82,0.952,2.9
T000191,Route_6,Subway,14,36.2,41,12.62,11.9,Wed,0,Rain,609.31,89.85,0.711,4.2
T000192,Route_14,Subway,7,42.0,36,5.16,6.4,Wed,0,Clear,191.29,90.98,0.909,3.3
T000193,Route_15,Train,20,41.4,25,6.35,1.9,Mon,0,Fog,156.34,114.51,0.944,3.2
T000194,Route_8,Tram,11,37.5,33,12.61,1.0,Wed,0,Rain,335.49,97.93,0.682,3.2
T000195,Route_11,Tram,11,30.1,31,2.59,5.2,Sat,1,Clear,91.38,88.74,0.914,2.9
T000196,Route_9,Subway,22,42.9,25,12.1,1.0,Sun,0,Clear,362.38,109.53,0.96,3.2
T000197,Route_9,Subway,8,1.6,35,10.61,0.3,Wed,0,Clear,308.69,7.51,0.802,3.5
T000198,Route_12,Ferry,1,14.0,31,8.57,3.0,Sat,1,Clear,314.67,45.98,0.948,4.3
T000199,Route_8,Ferry,20,27.0,23,12.21,2.7,Sat,0,Rain,233.25,49.91,0.653,3.8
T000200,Route_15,Tram,10,26.7,31,5.45,4.4,Tue,0,Fog,174.58,61.97,0.856,2.0
T000201,Route_5,Train,6,20.6,39,5.3,12.3,Sun,0,Rain,192.13,68.93,0.716,3.2
T000202,Route_1,Bus,21,40.7,36,5.8,17.2,Fri,0,Clear,205.58,91.48,0.805,2.0
T000203,Route_17,Bus,13,15.3,26,3.21,2.1,Thu,0,Clear,88.94,44.05,0.665,3.7
T000204,Route_9,Bus,14,2.6,28,5.14,4.9,Tue,0,Rain,159.29,14.66,0.809,3.4
T000205,Route_9,Ferry,16,23.2,33,14.28,8.1,Sat,0,Clear,562.21,59.06,0.865,3.1
T000206,Route_9,Tram,6,19.6,36,3.71,1.5,Mon,0,Clear,152.9,40.43,0.932,3.4
T000207,Route_4,Bus,14,3.4,25,8.97,1.3,Sat,0,Clear,215.59,7.28,0.912,3.0
T000208,Route_11,Tram,11,8.4,27,6.69,5.5,Sat,0,Snow,207.71,5.0,0.803,2.9
T000209,Route_3,Subway,11,35.8,31,13.61,3.4,Sun,0,Clear,361.47,88.98,1.0,3.6
T000210,Route_5,Ferry,3,44.6,31,11.72,1.8,Sun,1,Clear,316.3,99.77,0.903,5.0
T000211,Route_20,Bus,3,31.7,30,13.16,0.5,Thu,0,Rain,367.7,68.1,0.849,2.9
T000212,Route_20,Ferry,19,32.5,39,3.32,1.8,Fri,0,Clear,115.99,89.76,0.853,3.4
T000213,Route_2,Ferry,2,31.9,32,2.41,0.2,Sat,0,Clear,85.96,62.49,1.0,3.1
T000214,Route_12,Bus,3,26.1,26,1.99,1.3,Tue,0,Clear,52.61,47.57,0.908,3.6
T000215,Route_19,Ferry,19,26.0,25,2.93,3.3,Sat,0,Rain,62.56,54.91,0.897,4.7
T000216,Route_8,Bus,21,36.8,40,9.47,5.0,Thu,0,Snow,355.24,106.85,0.853,2.1
T000217,Route_19,Bus,16,16.5,26,11.44,3.7,Thu,0,Clear,256.82,37.59,0.764,4.7
T000218,Route_2,Train,16,19.7,23,3.33,0.1,Sat,0,Rain,90.19,42.65,0.797,4.1
T000219,Route_17,Subway,9,16.7,43,6.76,2.5,Thu,0,Snow,281.61,31.15,0.876,3.6
T000220,Route_4,Subway,21,22.0,26,8.04,3.6,Sun,0,Clear,218.15,52.01,0.84,2.7
T000221,Route_15,Ferry,6,10.6,29,11.91,17.3,Tue,0,Clear,387.99,20.64,0.699,2.3
T000222,Route_19,Train,0,23.1,21,6.44,5.5,Sun,1,Rain,154.81,52.93,0.75,2.9
T000223,Route_2,Train,19,39.4,40,4.63,9.9,Wed,1,Snow,173.95,95.4,1.0,4.1
T000224,Route_11,Bus,0,2.3,36,2.73,6.8,Fri,1,Rain,93.77,7.16,0.663,3.3
T000225,Route_9,Subway,9,26.2,43,13.48,4.9,Tue,0,Clear,541.1,58.64,0.789,3.4
T000226,Route_5,Bus,14,11.6,35,2.06,4.6,Sat,0,Clear,73.08,26.92,0.816,4.5
T000227,Route_11,Subway,19,23.2,22,4.13,1.2,Thu,0,Clear,85.12,51.2,0.817,4.1
T000228,Route_10,Ferry,5,7.2,32,11.64,15.1,Tue,0,Clear,414.09,37.64,0.74,3.6
T000229,Route_14,Subway,16,23.5,29,9.98,2.6,Sat,0,Rain,333.41,62.39,0.864,4.3
T000230,Route_14,Tram,14,26.3,37,14.26,9.3,Thu,0,Rain,457.9,56.32,0.84,3.1
T000231,Route_11,Ferry,21,42.0,32,7.34,4.2,Fri,1,Clear,188.54,111.94,0.837,3.9
T000232,Route_14,Train,14,8.5,23,11.41,3.2,Mon,0,Rain,278.36,36.58,0.979,3.9
T000233,Route_17,Train,17,19.0,32,12.64,1.3,Mon,0,Clear,394.33,48.17,1.0,3.4
T000234,Route_7,Bus,18,18.8,30,8.93,2.0,Fri,0,Clear,312.68,38.93,0.841,3.4
T000235,Route_6,Bus,7,35.7,27,4.47,1.6,Fri,0,Clear,119.34,79.9,0.704,4.3
T000236,Route_20,Ferry,10,3.0,24,11.12,4.8,Mon,0,Snow,259.95,12.43,0.842,5.0
T000237,Route_13,Tram,11,38.4,28,5.36,7.7,Thu,0,Snow,155.6,78.27,0.91,4.4
T000238,Route_16,Bus,11,40.2,30,7.43,0.3,Tue,0,Rain,191.15,95.87,0.947,3.6
T000239,Route_7,Bus,10,1.6,39,1.96,3.3,Mon,0,Clear,84.92,5.0,0.97,3.8
T000240,Route_6,Subway,1,21.0,26,12.16,6.6,Wed,0,Rain,365.98,47.21,0.824,2.6
T000241,Route_12,Subway,15,35.7,29,2.82,20.7,Sat,0,Clear,71.79,97.88,0.909,3.3
T000242,Route_9,Tram,13,27.7,36,8.16,3.8,Sat,0,Clear,348.57,69.54,0.914,2.5
T000243,Route_20,Bus,12,34.8,31,2.66,1.1,Mon,0,Rain,68.05,98.76,1.0,2.7
T000244,Route_3,Bus,2,36.5,31,7.4,4.7,Tue,0,Clear,210.33,113.78,0.65,1.7
T000245,Route_1,Tram,8,13.0,29,5.42,8.2,Sun,0,Clear,143.33,29.51,0.917,2.4
T000246,Route_3,Train,13,38.1,25,8.49,1.2,Sat,0,Rain,245.24,103.1,0.813,3.7
T000247,Route_13,Bus,5,42.8,47,2.01,9.4,Sat,0,Rain,97.73,129.3,0.766,3.0
T000248,Route_13,Bus,14,2.6,34,14.02,17.5,Mon,0,Rain,534.52,12.12,0.786,3.8
T000249,Route_5,Ferry,0,9.0,32,11.95,2.1,Fri,0,Clear,415.09,25.68,0.782,3.0
T000250,Route_2,Bus,16,16.0,27,10.84,2.9,Wed,0,Clear,337.57,41.41,0.955,3.4
T000251,Route_10,Train,16,30.2,37,12.9,4.6,Fri,0,Clear,452.57,79.6,0.985,3.9
