emp_id,department,role,experience_years,education,performance_score,age,gender,salary
E0072,Finance,Accountant,17,Bachelors,1,44,M,113167
E0073,Operations,Supervisor,12,Associate,5,38,F,120793
E0074,Finance,Manager,19,Associate,2,49,M,164101
E0075,Operations,Manager,1,Masters,3,29,M,139854
E0076,HR,Coordinator,8,Bachelors,4,39,F,78195
E0077,Sales,Director,18,Bachelors,5,48,F,195698
E0078,HR,Coordinator,16,Bachelors,3,43,F,98900
E0079,Marketing,Coordinator,15,Associate,2,44,F,90411
E0080,Engineering,Senior,15,Bachelors,5,46,M,127742
E0081,Engineering,Senior,17,Associate,2,47,M,126749
E0082,Finance,Manager,5,Associate,5,33,M,141125
E0083,Finance,Analyst,10,Associate,1,36,F,82748
E0084,Finance,Analyst,4,Bachelors,1,33,F,69767
E0085,Sales,Director,8,Bachelors,2,31,F,182919
E0086,HR,Coordinator,22,Associate,3,52,M,120410
E0087,Finance,Analyst,14,PhD,3,42,F,123625
E0088,Sales,Senior,18,Bachelors,3,42,M,130397
E0089,Sales,Director,6,Masters,4,34,F,180373
E0090,Finance,Accountant,6,Masters,5,30,M,106556
E0091,Engineering,Lead,23,Masters,3,50,F,166190
E0092,Engineering,Lead,3,Masters,2,34,M,135901
E0093,Marketing,Coordinator,5,Bachelors,2,32,M,84463
E0094,HR,Generalist,14,Bachelors,2,44,F,118053
E0095,Engineering,Lead,22,Bachelors,3,44,F,164425
E0096,Operations,Supervisor,23,Masters,2,54,F,142285
E0097,Marketing,Manager,7,Masters,3,30,F,143642
E0098,Engineering,Lead,5,Bachelors,1,27,M,109727
E0099,Operations,Supervisor,12,Bachelors,5,37,M,127443
E0100,Finance,Accountant,15,Masters,2,44,F,121229
E0101,Engineering,Manager,19,Bachelors,5,46,F,180409
E0102,Marketing,Coordinator,6,Masters,1,32,F,95275
E0103,Finance,Accountant,6,Bachelors,4,35,M,100380
E0104,Operations,Supervisor,17,Masters,3,47,F,134162
E0105,Marketing,Specialist,19,Associate,5,46,F,116894
E0106,Engineering,Manager,17,Masters,1,48,F,152561
E0107,Operations,Coordinator,11,Associate,5,35,M,86016
E0108,Finance,Manager,10,Associate,5,39,F,137890
E0109,HR,Coordinator,5,Bachelors,1,34,F,53838
E0110,Engineering,Junior,12,Masters,5,41,M,90739
E0111,Engineering,Senior,12,Bachelors,1,41,F,121342
E0112,Marketing,Coordinator,5,Bachelors,3,31,M,76035
E0113,Finance,Manager,14,Masters,4,44,M,183674
E0114,Operations,Manager,6,Masters,1,36,M,151599
E0115,Engineering,Lead,23,Masters,5,52,F,173921
E0116,Operations,Manager,7,PhD,2,32,M,162296
E0117,Finance,Analyst,20,PhD,3,45,M,130325
E0118,Finance,Manager,23,Bachelors,4,50,F,171201
E0119,Sales,Rep,10,Bachelors,5,35,M,87841
E0120,Finance,Analyst,15,Masters,5,38,M,112170
E0121,Marketing,Manager,4,Masters,3,30,F,132770
E0122,Sales,Senior,11,Bachelors,5,40,F,133968
E0123,Sales,Rep,1,Bachelors,4,26,F,72848
E0124,Sales,Rep,9,Masters,5,38,M,99791
E0125,Operations,Manager,23,Bachelors,5,49,F,201310
E0126,Finance,Manager,9,PhD,2,34,M,168192
E0127,Finance,Accountant,9,Bachelors,4,39,F,98161
E0128,Sales,Manager,2,Associate,3,26,F,138025
E0129,Engineering,Lead,20,Masters,1,42,M,177792
E0130,HR,Generalist,21,Masters,1,46,M,129013
E0131,Engineering,Manager,22,Associate,5,51,M,170518
E0132,Operations,Manager,19,Bachelors,3,41,M,158056
E0133,Finance,Accountant,16,Masters,2,38,F,119879
E0134,Operations,Coordinator,18,Masters,3,43,M,124544
E0135,Finance,Manager,7,PhD,2,38,M,151115
E0136,HR,Generalist,7,Masters,1,37,M,106018
E0137,Marketing,Manager,8,Bachelors,5,32,M,141223
E0138,Sales,Manager,24,PhD,3,49,F,202704
E0139,Finance,Accountant,21,Masters,2,49,F,114642
E0140,Sales,Rep,15,Masters,3,46,M,118117
E0141,Sales,Manager,23,Bachelors,4,49,M,187974
E0142,Sales,Rep,12,Bachelors,2,39,F,67641
E0143,Engineering,Senior,24,Associate,1,47,M,149611
E0144,Sales,Rep,7,Bachelors,3,32,F,78702
E0145,Sales,Rep,13,Masters,5,40,F,116774
E0146,Engineering,Senior,2,Masters,1,29,F,103014
E0147,HR,Manager,21,Bachelors,5,51,M,179048
E0148,HR,Coordinator,21,Bachelors,5,43,F,119862
E0149,Finance,Accountant,14,Bachelors,4,41,M,108200
E0150,HR,Coordinator,7,Masters,2,35,M,94661
E0151,Operations,Supervisor,5,Masters,2,30,M,110861
E0152,Marketing,Coordinator,13,Bachelors,1,44,F,71847
E0153,Finance,Analyst,9,Bachelors,1,39,M,80984
E0154,Marketing,Manager,18,PhD,4,42,F,202500
E0155,Operations,Supervisor,12,Bachelors,4,34,M,121310
E0156,Engineering,Lead,12,Masters,3,41,M,161081
E0157,Finance,Analyst,23,PhD,1,46,M,144839
E0158,Engineering,Junior,15,Bachelors,1,43,F,91229
E0159,Finance,Accountant,7,Bachelors,5,35,M,97458
E0160,Marketing,Manager,18,PhD,4,46,M,186768
E0161,Sales,Manager,10,Masters,3,33,M,150660
E0162,HR,Manager,15,Associate,4,42,M,172223
E0163,Finance,Accountant,1,Associate,2,24,M,80049
E0164,Marketing,Manager,13,Masters,3,41,F,164841
E0165,HR,Coordinator,17,Masters,5,47,F,110436
E0166,HR,Coordinator,1,Bachelors,3,30,F,77627
E0167,Sales,Director,18,Bachelors,1,40,M,198723
E0168,Engineering,Junior,24,Bachelors,3,55,M,108874
E0169,Finance,Analyst,11,Masters,3,34,M,105223
E0170,HR,Coordinator,22,Masters,5,53,M,124435
E0171,Sales,Rep,9,Bachelors,3,38,F,86122
E0172,Engineering,Junior,3,Masters,1,34,M,78553
E0173,Sales,Senior,17,Bachelors,3,44,M,129623
E0174,Engineering,Manager,14,Associate,3,44,F,144874
E0175,Marketing,Manager,9,Bachelors,2,40,M,148054
E0176,Marketing,Manager,2,Masters,3,28,F,141394
E0177,Sales,Senior,6,Associate,5,32,M,111869
E0178,Operations,Coordinator,19,Associate,2,48,M,108507
E0179,Finance,Analyst,1,Associate,3,30,F,82564
E0180,Engineering,Junior,10,Bachelors,3,37,F,83058
E0181,Finance,Manager,13,Associate,3,41,F,152037
E0182,Operations,Manager,18,Associate,5,46,F,164332
E0183,Finance,Accountant,17,Masters,2,46,M,117538
E0184,Operations,Manager,10,Masters,2,36,M,157753
E0185,Operations,Supervisor,4,Bachelors,1,31,M,76520
E0186,Sales,Director,18,Associate,5,43,M,218720
E0187,Marketing,Coordinator,12,Bachelors,3,34,F,97093
E0188,Marketing,Specialist,23,Masters,2,48,M,128344
E0189,Marketing,Coordinator,9,Bachelors,5,34,F,89950
E0190,Operations,Manager,3,Associate,4,32,F,133487
E0191,Finance,Analyst,15,Masters,3,40,F,111250
E0192,Marketing,Coordinator,6,Bachelors,5,30,F,94394
E0193,Engineering,Junior,24,Bachelors,4,53,F,112157
E0194,Finance,Manager,14,Masters,3,40,F,165160
E0195,HR,Generalist,3,Bachelors,1,31,M,62591
E0196,Engineering,Senior,16,Masters,5,42,F,146849
E0197,Marketing,Coordinator,17,Bachelors,2,40,F,104721
E0198,HR,Generalist,9,Bachelors,3,38,M,97937
E0199,Engineering,Manager,14,Bachelors,4,39,M,158232
E0200,HR,Coordinator,2,Masters,1,24,M,72215
E0201,HR,Generalist,22,Bachelors,2,53,F,117815
E0202,Finance,Manager,6,Masters,1,34,M,146062
E0203,Engineering,Senior,12,Associate,2,37,F,112317
E0204,Marketing,Specialist,22,Masters,3,52,F,152307
E0205,Sales,Senior,11,PhD,4,39,F,130747
E0206,Finance,Manager,19,Bachelors,2,43,F,159766
E0207,Finance,Analyst,3,Bachelors,3,27,M,77941
E0208,Operations,Coordinator,24,Masters,4,49,F,111651
E0209,Sales,Rep,19,Masters,4,50,M,127550
E0210,Sales,Director,6,Masters,3,30,F,178652
E0211,Operations,Coordinator,12,Bachelors,2,41,M,79995
E0212,HR,Generalist,23,Masters,2,51,M,130166
E0213,Finance,Accountant,13,Masters,4,42,M,127190
E0214,Operations,Coordinator,2,Associate,5,24,F,60082
E0215,HR,Coordinator,23,Masters,3,54,M,104651
E0216,Finance,Accountant,12,Associate,1,38,F,91738
E0217,Marketing,Coordinator,22,Bachelors,1,48,M,99427
E0218,Engineering,Manager,12,Masters,4,37,F,182614
E0219,Operations,Supervisor,9,Masters,4,40,M,110101
E0220,Finance,Analyst,5,Bachelors,3,36,F,89034
E0221,Finance,Accountant,24,Masters,2,54,F,134542
E0222,Marketing,Specialist,23,Masters,4,51,F,141201
E0223,Operations,Coordinator,20,PhD,2,48,F,116010
E0224,Finance,Manager,22,Bachelors,1,50,M,182312
E0225,Sales,Manager,10,Bachelors,2,32,F,147609
E0226,HR,Manager,8,PhD,4,30,M,176405
E0227,Marketing,Manager,16,Associate,5,46,F,159080
E0228,Operations,Manager,9,Associate,1,39,M,137480
E0229,Finance,Manager,9,Bachelors,2,36,F,143108
E0230,Sales,Senior,13,PhD,3,35,F,146143
E0231,Operations,Supervisor,7,Bachelors,1,38,M,80844
E0232,Finance,Analyst,1,Bachelors,1,25,F,78571
E0233,Operations,Supervisor,11,Masters,2,34,F,143136
E0234,Sales,Senior,21,Associate,1,47,F,130264
E0235,Finance,Manager,12,Masters,3,40,F,169839
E0236,Marketing,Coordinator,21,Bachelors,5,51,F,119835
E0237,Marketing,Manager,15,Bachelors,5,42,M,164731
E0238,Finance,Accountant,15,Masters,2,40,F,108397
E0239,Sales,Senior,17,Associate,2,47,F,129400
E0240,Sales,Manager,13,Bachelors,1,44,M,141253
E0241,Sales,Director,4,Masters,1,33,M,184776
E0242,Operations,Supervisor,21,Associate,1,52,M,126114
E0243,Sales,Director,10,Associate,1,41,M,177253
E0244,Marketing,Manager,10,Associate,3,35,F,156159
E0245,Engineering,Lead,18,Bachelors,1,42,F,146167
E0246,Engineering,Senior,16,Bachelors,3,44,F,129628
E0247,Marketing,Specialist,9,Bachelors,5,39,F,99521
E0248,Finance,Accountant,3,Masters,5,31,M,95473
E0249,Engineering,Lead,7,Bachelors,3,32,F,138450
E0250,Finance,Accountant,4,Bachelors,1,29,M,78812
E0251,Engineering,Manager,1,Bachelors,1,29,F,134908
E0252,HR,Coordinator,12,Bachelors,5,41,F,92281
E0253,Sales,Manager,22,Bachelors,2,46,F,175560
E0254,Sales,Manager,20,Bachelors,4,51,F,187572
E0255,Finance,Analyst,15,Bachelors,2,45,M,95116
E0256,HR,Manager,16,Bachelors,4,40,F,173889
E0257,Operations,Coordinator,20,Associate,4,42,M,101811
E0258,Operations,Supervisor,8,PhD,1,34,F,121187
E0259,HR,Generalist,20,PhD,4,42,M,130712
E0260,Finance,Accountant,9,Masters,3,34,F,96350
E0261,Sales,Director,18,Masters,3,45,M,228518
E0262,HR,Generalist,12,Associate,2,39,F,110144
E0263,Finance,Manager,24,Masters,3,52,F,182630
E0264,Marketing,Specialist,2,Bachelors,4,25,F,93849
E0265,Sales,Rep,2,Bachelors,1,27,M,81719
E0266,Operations,Supervisor,20,Masters,1,47,M,130599
E0267,Finance,Analyst,2,Bachelors,2,27,M,74136
E0268,HR,Coordinator,14,Associate,5,41,F,97450
E0269,Finance,Manager,2,Masters,3,26,M,141292
E0270,Sales,Senior,11,PhD,1,39,M,141926
E0271,Engineering,Lead,21,Bachelors,3,49,F,168498
E0272,HR,Manager,8,Associate,4,33,M,160171
E0273,HR,Generalist,7,PhD,5,32,M,103065
E0274,Marketing,Specialist,14,Bachelors,5,41,M,111202
E0275,Operations,Manager,2,Bachelors,5,29,F,145905
E0276,Sales,Director,7,Masters,5,33,F,192628
E0277,Sales,Rep,21,Bachelors,5,46,M,112957
E0278,Finance,Manager,21,Masters,4,44,F,176215
E0279,HR,Generalist,8,Associate,5,33,M,107769
E0280,Finance,Analyst,9,Bachelors,1,39,M,84325
E0281,Sales,Director,16,Bachelors,2,39,F,204471
E0282,HR,Manager,23,Masters,3,50,F,179316
E0283,Engineering,Lead,17,Bachelors,5,41,M,159709
E0284,Finance,Analyst,8,Bachelors,3,30,M,103777
E0285,Marketing,Manager,24,Bachelors,4,50,F,169223
E0286,Marketing,Manager,19,Masters,4,43,M,172227
E0287,Sales,Rep,5,Masters,2,32,M,88968
E0288,Engineering,Junior,2,Masters,3,24,F,66946
E0289,Operations,Supervisor,9,Masters,2,37,F,111532
E0290,HR,Manager,8,Bachelors,5,34,F,156496
E0291,HR,Generalist,11,Bachelors,1,40,F,85242
E0292,Marketing,Specialist,18,Associate,4,44,F,107750
E0293,Marketing,Specialist,17,Masters,3,48,F,128969
E0294,HR,Coordinator,15,Bachelors,5,41,F,97118
E0295,Operations,Supervisor,7,Bachelors,3,34,F,106198
E0296,Marketing,Specialist,15,Masters,4,42,M,116789
E0297,Finance,Analyst,1,Masters,3,29,M,87301
E0298,Engineering,Manager,5,Bachelors,2,36,F,129150
E0299,Engineering,Manager,5,Associate,4,34,M,152304
E0300,Marketing,Coordinator,10,PhD,3,33,M,100618
E0301,Finance,Analyst,20,Masters,2,51,F,109401
E0302,Marketing,Manager,23,Masters,3,49,F,176150
E0303,HR,Manager,4,PhD,3,35,M,153848
E0304,Finance,Analyst,23,Associate,5,47,F,122705
E0305,Finance,Accountant,23,PhD,2,46,M,148227
E0306,Engineering,Lead,14,Bachelors,5,45,F,148591
E0307,Finance,Manager,4,Masters,5,29,F,147265
E0308,Sales,Manager,20,Bachelors,4,50,F,157068
E0309,Operations,Coordinator,1,Masters,4,26,F,83361
E0310,Operations,Manager,7,Masters,5,37,F,151453
E0311,Finance,Accountant,18,Bachelors,3,40,F,110778
E0312,Engineering,Lead,13,PhD,3,44,M,171172
E0313,Operations,Supervisor,19,Bachelors,5,44,M,138551
E0314,HR,Generalist,4,Bachelors,2,28,M,78177
E0315,Engineering,Manager,6,Bachelors,4,36,M,143570
E0316,Finance,Accountant,24,Bachelors,4,52,M,136504
E0317,HR,Generalist,24,Associate,2,54,M,113257
E0318,HR,Manager,20,Masters,3,50,M,175125
E0319,HR,Generalist,1,PhD,2,30,M,93536
E0320,Finance,Accountant,12,PhD,1,38,F,121128
E0321,Finance,Accountant,5,Masters,2,31,F,85842
E0322,Finance,Analyst,9,Bachelors,5,34,M,89412
E0323,Sales,Rep,7,Masters,1,29,F,79636
E0324,Operations,Coordinator,17,Masters,2,39,F,106219
E0325,Finance,Analyst,2,Masters,1,25,F,63097
E0326,Finance,Manager,22,Bachelors,4,53,M,167922
E0327,Marketing,Manager,17,Bachelors,5,42,F,178295
E0328,Operations,Manager,24,Bachelors,4,54,F,173853
E0329,Sales,Director,17,Bachelors,1,46,F,186736
E0330,Sales,Director,3,Bachelors,4,31,M,170625
E0331,Marketing,Specialist,11,PhD,3,40,F,106354
E0332,HR,Coordinator,4,Bachelors,1,33,F,67605
E0333,Sales,Director,20,Masters,2,48,F,213322
E0334,Finance,Manager,5,Masters,3,35,F,145771
E0335,Marketing,Specialist,23,Associate,5,51,M,140190
E0336,HR,Generalist,23,Bachelors,5,53,M,137459
E0337,Engineering,Manager,20,Associate,5,44,M,164930
E0338,Operations,Supervisor,6,PhD,4,36,M,115927
E0339,Sales,Manager,12,Masters,5,41,F,170073
E0340,Operations,Supervisor,16,PhD,2,38,M,138902
E0341,Marketing,Specialist,9,PhD,2,40,M,123737
E0342,Operations,Coordinator,5,Associate,3,29,M,86171
E0343,HR,Coordinator,16,Bachelors,3,45,F,92783
E0344,Marketing,Specialist,15,Bachelors,5,39,M,119194
E0345,Finance,Analyst,14,PhD,4,36,M,127258
E0346,Operations,Manager,23,Bachelors,2,52,F,177972
E0347,Operations,Supervisor,4,Bachelors,3,28,F,96218
E0348,Engineering,Junior,8,PhD,2,35,M,103294
E0349,Operations,Coordinator,19,Associate,3,50,M,109109
E0350,HR,Manager,15,Masters,5,40,F,170786
E0351,Engineering,Senior,9,Bachelors,4,39,F,102149
E0352,Marketing,Specialist,9,Bachelors,4,38,F,106234
E0353,Engineering,Junior,14,Bachelors,5,36,F,93665
E0354,Operations,Supervisor,21,Masters,5,46,M,143263
E0355,Marketing,Coordinator,21,Bachelors,5,51,F,107857
E0356,Operations,Supervisor,15,Bachelors,3,46,F,120928
E0357,Finance,Accountant,8,Associate,4,38,M,109213
E0358,HR,Generalist,12,Masters,4,35,F,119872
E0359,Sales,Manager,23,Associate,1,46,M,169849
E0360,Marketing,Manager,10,Associate,5,32,M,151244
E0361,Operations,Manager,16,Bachelors,1,43,M,163676
E0362,Engineering,Manager,10,Bachelors,1,40,F,138380
E0363,Finance,Analyst,9,Associate,5,33,M,106608
E0364,Finance,Manager,14,Associate,5,36,F,163170
E0365,HR,Manager,12,Associate,5,38,M,146350
E0366,Finance,Accountant,7,Associate,5,36,M,106160
E0367,Marketing,Specialist,23,PhD,1,48,F,145549
E0368,Engineering,Lead,4,Bachelors,3,33,F,117360
E0369,Engineering,Junior,12,Bachelors,1,40,F,86811
E0370,Sales,Manager,11,Masters,2,35,F,167257
E0371,Engineering,Junior,7,Associate,4,34,M,77679
E0372,Marketing,Specialist,8,Associate,1,32,M,102493
E0373,Engineering,Lead,13,Bachelors,5,39,F,135325
E0374,Engineering,Senior,21,Masters,2,46,M,148861
E0375,Finance,Manager,9,Bachelors,2,32,F,146310
E0376,Engineering,Lead,23,Bachelors,2,53,F,164083
E0377,HR,Coordinator,24,Bachelors,4,50,M,107285
E0378,Finance,Accountant,18,Masters,3,40,M,121559
E0379,Operations,Coordinator,8,Bachelors,4,37,F,75495
E0380,Engineering,Junior,18,Masters,3,42,M,106135
E0381,Finance,Accountant,14,Bachelors,3,45,M,92570
E0382,Finance,Accountant,5,Associate,5,29,M,92160
E0383,Operations,Supervisor,9,Associate,5,34,M,100433
E0384,HR,Coordinator,5,Masters,5,28,M,80986
E0385,Operations,Coordinator,23,Masters,2,46,F,110120
E0386,Finance,Accountant,12,Bachelors,3,40,F,107455
E0387,Marketing,Coordinator,24,Associate,5,47,M,123048
E0388,Marketing,Specialist,8,Bachelors,2,32,M,86767
E0389,Finance,Analyst,17,PhD,3,43,F,130127
E0390,HR,Generalist,21,PhD,4,47,M,153153
E0391,HR,Coordinator,14,Bachelors,1,38,M,78725
E0392,HR,Generalist,23,Bachelors,3,45,F,120231
E0393,Marketing,Manager,19,Masters,3,45,F,159403
E0394,HR,Manager,13,Masters,1,42,F,145300
E0395,Finance,Analyst,17,Associate,3,44,M,112748
E0396,Operations,Coordinator,23,Bachelors,5,50,M,92477
E0397,Marketing,Specialist,10,Bachelors,5,33,M,97845
E0398,Engineering,Senior,15,Associate,2,44,F,115528
E0399,Engineering,Manager,7,Bachelors,3,29,F,147120
E0400,Finance,Analyst,8,Associate,4,38,M,98725
